"Finale du Championnat Interrégional - Vinon sur Verdon - Qualification - 2014-05-31","Qualification","2014-05-31","Nationale 3","132"
"Mathieu Cheze","K1H","105.11","249.35","359.15",""
"Pierrealain Clerc","K1H","105.18","347.52","360.01",""
"Pierre De La Morinerie","K1H","105.67","233.56","366.04",""
"Pablo Guillem","K1H","105.76","319.18","367.15",""
"Ugo Guillois","K1H","106.04","335.22","370.59",""
"Dimitri Thauvin","K1H","106.13","343.51","371.7",""
"Yohann Biglia","K1H","106.5","303.97","376.25",""
"Benoit Jacquot-bertrand","K1H","106.58","283.9","377.23",""
"Allan Cousset","K1H","106.93","236.25","381.54",""
"Arthur Gaudron","K1H","107.62","291.12","390.03",""
"Herve Clerc","K1H","107.79","297.56","392.12",""
"Anthony Poux","K1H","108.49","241.65","400.73",""
"Thibault Gache","K1H","108.93","348.78","406.15",""
"Yannis Brousset","K1H","109.01","374.28","407.13",""
"Sebastien Riou","K1H","109.86","416.21","417.59",""
"Camille Sahuc","K1H","110.39","376.02","424.11",""
"Denis Delaleux","K1H","111.29","283.64","435.18",""
"Nicolas Alran","K1H","111.51","528.35","437.89",""
"Christophe Einsargueix","K1H","111.7","314.98","440.22",""
"Tom Deconchy","K1H","111.86","391.98","442.19",""
"Pierre Dehaudt","K1H","111.96","332.98","443.42",""
"Romain Delpui","K1H","112.18","342.82","446.13",""
"Antoine Marigil","K1H","112.47","352.24","449.7",""
"Christophe Prigent","K1H","112.62","316.6","451.54",""
"Maxime Garcia","K1H","112.96","516.18","455.73",""
"Hugo Mouffle","K1H","113.26","387.46","459.42",""
"Antoine Dumaye","K1H","113.57","313.59","463.23",""
"Ronan Cordier","K1H","113.63","338.81","463.97",""
"Gregoire Pouille","K1H","113.71","374.13","464.95",""
"Nicolas Boulesteix","K1H","114.33","396.58","472.58",""
"Lucas Lavit","K1H","114.41","394.66","473.57",""
"Edouard Lecomte","K1H","115.12","456.47","482.3",""
"Theo Viens","K1H","115.5","359.29","486.98",""
"Alexis Dorey","K1H","115.76","390.36","490.17",""
"Micael Rodriguez Alves Lato","K1H","116.04","351.47","493.62",""
"Florent Iraundegui","K1H","116.11","413.38","494.48",""
"Jacques Roisin","K1H","116.68","363.24","501.49",""
"Julien Delaleux","K1H","116.93","414.46","504.57",""
"Jean Baptsite Cans","K1H","116.94","423.22","504.69",""
"Quentin Sablayrolles","K1H","117.01","315.4","505.55",""
"Ludovic Smal","K1H","117.56","379.04","512.32",""
"Olivier Cail","K1H","118.08","410.63","518.72",""
"Matthieu Demarty","K1H","118.15","372.18","519.58",""
"Quentin Clerc","K1H","118.78","389.67","527.33",""
"Mahe Dersoir","K1H","118.98","503.64","529.79",""
"Fabien Leist","K1H","119.1","437.85","531.27",""
"Vincent Ardonceau","K1H","119.3","611.79","533.73",""
"Cyril Audoit","K1H","119.47","436.94","535.82",""
"Ollivier Paumier","K1H","122.53","519.54","573.47",""
"Moana Durand","K1H","122.68","656.97","575.31",""
"Pioerre-calixte Gaydon-ohl","K1H","123.63","496.87","587",""
"Francois Giondini","K1H","124.22","374.19","594.26",""
"Clement Caillard","K1H","125.12","566.95","605.33",""
"Frederic Reus","K1H","125.95","481","615.54",""
"Marc Cailhol","K1H","129.18","494.14","655.28",""
"Ayoub Roger","K1H","129.92","797.03","664.38",""
"Antoine Lanet","K1H","131.14","627.4","679.39",""
"Paul Ballery","K1H","132.58","530.27","697.11",""
"Luc Sarramea","K1H","132.91","637.6","701.17",""
"Antoine Laye","K1H","135.39","434.79","731.68",""
"Robin Plancade","K1H","135.94","759.3","738.45",""
"Lucas Maurin","K1H","136.31","636.26","743",""
"Louis Foissac","K1H","138.82","673.85","773.88",""
"Theo Ducasse","K1H","139.26","552.26","779.29",""
"Valentin Affortit","K1H","140.65","588.15","796.39",""
"Sebastien Martel","K1H","160.12","356.48","1035.93",""
"Maurice Pubert","K1H","165.8","767.45","1105.81",""
"Paul Roubaud","K1H","166.02","491.21","1108.52",""
"Yvannick Moisan","K1H","189.3","590.35","1394.93",""
"Morgan Hoarau","K1H","Nt","-","-",""
"Theau Le Loch","K1H","Nt","-","-",""
"Pierre-louis Saussereau","K1H","Nt","-","-",""
"Vincent Laulhe","K1H","Nt","-","-",""
"Robin Vandenbossche","K1H","Nt","-","-",""
"Gaetan Coat","K1H","Nt","-","-",""
"Paul Commenges","K1H","Nt","-","-",""
"Raphael Merlet","K1H","Nt","-","-",""
