"Sélectif N2 Oyonnax - Oyonnax - Lavancia - 2008-05-25","Course 1","2008-05-25","Nationale 2","137"
"Xavier Jourdain","K1H","201.12","114","128",""
"Bertrand Gutierrez","K1H","201.51","138","130",""
"Anthony Thuillier","K1H","201.61","170","131",""
"Enrick Cunsolo","K1H","201.97","124","133",""
"Paul Graton","K1H","202.36","189","135",""
"Nathan Barbier","K1H","202.85","172","138",""
"Yoann Rebours","K1H","203.08","137","139",""
"Julien Daumont","K1H","203.99","124","143",""
"Maxime Faivre","K1H","204.04","173","143",""
"Julien Beltrami","K1H","204.10","156","144",""
"Childeric Thoreau","K1H","204.39","151","145",""
"Remi Thomas","K1H","204.86","168","148",""
"Romain Viry","K1H","205.16","169","150",""
"Lois Desroches","K1H","205.77","188","153",""
"Michel Gombert","K1H","205.87","167","154",""
"Mehdi Amini","K1H","207.10","172","160",""
"Samuel Lhegu","K1H","207.28","132","161",""
"Sebastien Lepaulard","K1H","207.35","191","161",""
"Sylvain Herrbach","K1H","208.03","188","165",""
"Pascal Ferry","K1H","208.04","165","165",""
"Venceslas Viseur","K1H","208.42","160","167",""
"Quentin Moreaux","K1H","208.52","194","168",""
"Yves Lecointe","K1H","208.67","157","169",""
"Guillaume Jacobe","K1H","208.89","149","170",""
"Frederic Tinchant","K1H","208.96","190","170",""
"Axel Marais","K1H","209.16","178","170",""
"Christophe Siffert","K1H","209.76","177","174",""
"Nicolas Burgi","K1H","210.11","166","176",""
"Philippe Daumont","K1H","210.11","150","176",""
"Jules Domine","K1H","210.32","188","177",""
"Luc Doye","K1H","210.46","170","178",""
"Stefan Stanik","K1H","210.48","191","178",""
"Julien Tous","K1H","211.57","162","184",""
"Antoine Devillez","K1H","212.45","205","188",""
"Florent Tamburini","K1H","213.50","219","194",""
"Olivier Bourgey","K1H","213.53","204","194",""
"Ragot Laurent","K1H","214.54","163","200",""
"Le Berte Maxime","K1H","215.36","205","203",""
"Paul Poulet","K1H","218.09","213","218",""
"Didier Niel","K1H","219.19","202","224",""
"Mathieu Cataldo","K1H","219.80","230","227",""
"Jeremy Poux","K1H","220.00","242","229",""
"Thomas Monvoisin","K1H","223.93","186","249",""
"Billel Khenchouche","K1H","229.21","225","277",""
"Anthony Mottais","K1H","258.44","126","432",""
"Bertrand Avril","K1H","264.79","203","466",""
"Boris Doye","K1H","271.71","169","502",""
