"Sélectif Régional Slalom (Double) - Nancy - Course n°1 | Finale - 2018-04-21","Course n°1 | Finale","2018-04-21","Régional","137"
"Margot Perrin","K1D","115.49","324.97","409.61","Course n°1 | Finale A"
"Justine Clerc","K1D","116.51","363.93","421.71","Course n°1 | Finale A"
"Sophie Staudt","K1D","120.3","346.6","466.69","Course n°1 | Finale A"
"Julia Budzinski","K1D","121.35","362.96","479.15","Course n°1 | Finale A"
"Mylene Guilcher","K1D","124.48","427.03","516.29","Course n°1 | Finale A"
"Lucille Meunier-cheyssac","K1D","125.3","482.85","526.03","Course n°1 | Finale A"
"Axelle Armanini","K1D","129.78","310.52","579.2","Course n°1 | Finale A"
"Jeanne Bernard","K1D","146.01","370.13","771.8","Course n°1 | Finale A"
"Alina Rassel","K1D","174.6","461.99","1111.09","Course n°1 | Finale A"
"Marion Gillet","K1DM","122.4","486.55","491.62","Course n°1 | Finale A"
"Mae Bianco","K1DM","123.09","457.79","499.8","Course n°1 | Finale A"
"Zoe Laurent","K1DM","149.12","427.75","808.72","Course n°1 | Finale A"
"Alyssa Lhomme","K1DM","187.26","513.89","1261.34","Course n°1 | Finale A"
"Lucas Latimier","K1H","86.05","81.45","192.98","Course n°1 | Finale A"
"Gelindo Chiarello","K1H","86.94","274.08","204.92","Course n°1 | Finale A"
"Benjamin Dodane","K1H","88.29","209.5","223.02","Course n°1 | Finale A"
"Bertrand Gutierrez","K1H","88.72","269.48","228.79","Course n°1 | Finale A"
"Lucas Galmiche","K1H","90.63","169.56","254.4","Course n°1 | Finale A"
"Florient Tagnon","K1H","90.84","247.18","257.22","Course n°1 | Finale A"
"Corentin Monasse","K1H","90.96","176.33","258.83","Course n°1 | Finale A"
"Silvere Desongins","K1H","91.62","244.69","267.68","Course n°1 | Finale A"
"Jerome Olhagaray","K1H","92.26","228.31","276.26","Course n°1 | Finale A"
"Thomas L'huillier","K1H","92.95","316.02","285.51","Course n°1 | Finale A"
"Otello Willmann Rosso","K1H","93.41","234.5","291.68","Course n°1 | Finale A"
"Johan De Mareuil","K1H","93.46","200.3","292.35","Course n°1 | Finale A"
"Loric Bertrand Delorme","K1H","94.04","250.31","300.13","Course n°1 | Finale A"
"Jean Charles Hacquart","K1H","94.05","224.89","300.26","Course n°1 | Finale A"
"Nicolas Mangeolle","K1H","94.58","270.93","307.37","Course n°1 | Finale A"
"Yann Zaepffel","K1H","95.37","292.41","317.97","Course n°1 | Finale A"
"LoÏc Winiarski","K1H","95.73","218.97","322.79","Course n°1 | Finale A"
"Erwan Rouch","K1H","95.76","218.28","323.2","Course n°1 | Finale A"
"Pitt Rohrer","K1H","96.41","333.79","331.91","Course n°1 | Finale A"
"Leo Collard","K1H","96.42","338.65","332.05","Course n°1 | Finale A"
"Maxime Aubertin","K1H","96.79","280.27","337.01","Course n°1 | Finale A"
"Anthony Rouhier","K1H","97.03","316.46","340.23","Course n°1 | Finale A"
"Hugo Latimier","K1H","97.25","366.75","343.18","Course n°1 | Finale A"
"Pierre Biagui","K1H","97.34","358.6","344.38","Course n°1 | Finale A"
"Antonin Robert","K1H","97.92","316.86","352.16","Course n°1 | Finale A"
"Thomas Stutzmann","K1H","98.86","683.41","364.77","Course n°1 | Finale A"
"Aurelien Merieux Danneaux","K1H","99.05","338.99","367.32","Course n°1 | Finale A"
"Loic Trenchant","K1H","99.69","351.01","375.9","Course n°1 | Finale A"
"Guerlain Robin","K1H","100.11","384.98","381.53","Course n°1 | Finale A"
"Jules Andrien","K1H","101.93","349.63","405.94","Course n°1 | Finale A"
"Christophe Siffert","K1H","104.19","415.26","436.25","Course n°1 | Finale A"
"Jorg Blees","K1H","104.61","391.09","441.88","Course n°1 | Finale A"
"Matthieu Walfard","K1H","104.68","355.18","442.82","Course n°1 | Finale A"
"Axel Ganthier","K1H","105.1","471.4","448.45","Course n°1 | Finale A"
"Theo Beucler","K1H","106.09","456.81","461.72","Course n°1 | Finale A"
"Paul Frommer","K1H","106.58","386.63","468.3","Course n°1 | Finale A"
"Florent Tamburini","K1H","106.67","404.54","469.5","Course n°1 | Finale A"
"Thomas Descotes","K1H","108.18","452.2","489.75","Course n°1 | Finale A"
"Louis Sibille","K1H","108.3","517.63","491.36","Course n°1 | Finale A"
"Simon Munch","K1H","110.09","398.93","515.37","Course n°1 | Finale A"
"Vincent Idriss Achaoui","K1H","110.18","375.3","516.57","Course n°1 | Finale A"
"Oscar Pasteur","K1H","111.86","530.5","539.1","Course n°1 | Finale A"
"Julien Michelin","K1H","113.64","734.25","562.97","Course n°1 | Finale A"
"Vincent Morabito","K1H","114.33","809.27","572.23","Course n°1 | Finale A"
"Matthieu Koffel","K1H","115.24","426.78","584.43","Course n°1 | Finale A"
"Alexis Sevrez","K1H","115.77","480.26","591.54","Course n°1 | Finale A"
"Flavien Portier","K1H","115.92","500.87","593.55","Course n°1 | Finale A"
"Mehdi Moussaid","K1H","120.29","605.72","652.15","Course n°1 | Finale A"
"Leonard Painteaux","K1H","121.01","415.7","661.81","Course n°1 | Finale A"
"Antoine Leroy","K1H","123.14","514.26","690.37","Course n°1 | Finale A"
"Robin Giurlando","K1H","130.85","666.31","793.77","Course n°1 | Finale A"
"Philippe Koffel","K1H","135.46","486.72","855.59","Course n°1 | Finale A"
"Gregoire Rozain","K1H","136.29","864.22","866.72","Course n°1 | Finale A"
"Gael Ettwiller","K1H","140.99","537.87","929.75","Course n°1 | Finale A"
"Frederic Caillet","K1H","148.92","611.34","1036.09","Course n°1 | Finale A"
"Tanguy Malingre","K1H","155.51","369.22","1124.47","Course n°1 | Finale A"
"Theo Lejeune","K1H","162.28","905.67","1215.25","Course n°1 | Finale A"
"Louis Gasser","K1H","173.57","410.41","1366.66","Course n°1 | Finale A"
"Sebastian Militaru","K1H","186.21","1113.41","1536.16","Course n°1 | Finale A"
"Anthony Menissier","K1H","227.03","512.61","2083.57","Course n°1 | Finale A"
"Loic Schmit","K1H","239.79","864.86","2254.69","Course n°1 | Finale A"
"Leo Bayard","K1H","263.34","755.29","2570.5","Course n°1 | Finale A"
"Leo Hauck","K1H","322.6","919.65","3365.2","Course n°1 | Finale A"
"Victor Hirschmann-rodriguez","K1H","366.17","1064.61","3949.49","Course n°1 | Finale A"
"Hugo Ronseaux - Dury","K1H","Abd","-","-","Course n°1 | Finale A"
"Nathan Frison","K1HM","102.6","502.93","414.92","Course n°1 | Finale A"
"Theo Reby","K1HM","103.76","338.96","430.48","Course n°1 | Finale A"
"Hugo Monasse","K1HM","105.91","342.58","459.31","Course n°1 | Finale A"
"Arnaud Caillet","K1HM","113.14","515.16","556.27","Course n°1 | Finale A"
"Remy Perrin","K1HM","119.62","610.78","643.17","Course n°1 | Finale A"
"Louis Guggenbuhl","K1HM","161.48","937.45","1204.52","Course n°1 | Finale A"
"Jean Charles Hacquart","C1H","107.62","427.31","418.51","Course n°1 | Finale B"
"Simon Munch","C1H","116.99","591.8","538.19","Course n°1 | Finale B"
"Anthony Menissier","C1H","118.92","514.54","562.84","Course n°1 | Finale B"
"Aurelien Merieux Danneaux","C1H","119.45","425.47","569.61","Course n°1 | Finale B"
"Angelino Castagnetti","C1H","124.65","489.96","636.02","Course n°1 | Finale B"
"Alexis Sevrez","C1H","139.81","613.9","829.64","Course n°1 | Finale B"
"Alexandre L'huillier","C1H","150.1","1237.82","961.06","Course n°1 | Finale B"
"Vincent Chamois","C1H","153.13","943.47","999.76","Course n°1 | Finale B"
"Oscar Pasteur","C1H","235.01","847.86","2045.51","Course n°1 | Finale B"
"Antoine Leroy","C1H","Abd","-","-","Course n°1 | Finale B"
"Axel Ganthier","C1H","Abs","-","-","Course n°1 | Finale B"
"Celia Grandadam","K1D","108.29","254.53","329.16","Course n°1 | Finale B"
"Lolita Seguy","K1D","118.5","329.28","450.32","Course n°1 | Finale B"
"Maude Dominique","K1D","123.13","569.25","505.28","Course n°1 | Finale B"
"Jade Robin","K1D","130.57","475.19","593.57","Course n°1 | Finale B"
"Heloise Stemmelen","K1D","169.61","1111.46","1056.87","Course n°1 | Finale B"
"Lou-anne Cointin","K1D","180.82","455.54","1189.92","Course n°1 | Finale B"
"Fiona Gille","K1D","185.7","481.95","1247.82","Course n°1 | Finale B"
"Charlotte Doucet","K1D","191.38","789.79","1315.24","Course n°1 | Finale B"
"Agathe Caillet","K1D","229.19","536.88","1763.95","Course n°1 | Finale B"
"Margaux Cornet","K1D","229.44","788.7","1766.91","Course n°1 | Finale B"
"Carole Dolmaire","K1D","Abd","-","-","Course n°1 | Finale B"
"Alexandre L'huillier","K1H","112.76","570.69","556.17","Course n°1 | Finale B"
"Oskar Hillion","K1HM","111.03","468.2","532.97","Course n°1 | Finale B"
"Maxime Devis","K1HM","120.52","568.01","660.24","Course n°1 | Finale B"
"Nicolas Bougnon","K1HM","134.06","708.28","841.81","Course n°1 | Finale B"
"Max Cantenot","K1HM","Abd","-","-","Course n°1 | Finale B"
