"SÈlectif RÈgional de Slalom - Chasseneuil Du Poitou - Finale - 2017-01-29","Finale","2017-01-29","RÈgional","165"
"Louis Bouchiat","K1H","141.6","494.81","517.05","Finale A"
"Corentin Bechu","K1H","142.4","508.21","525.5","Finale A"
"Maxime Dubois","K1H","142.61","527.42","527.71","Finale A"
"Axel Forgerit","K1H","147.24","-","576.58","Finale A"
"Julien Beneteau","K1H","148.38","520.75","588.61","Finale A"
"Laurence Scrimgeour","K1H","149.85","457.89","604.12","Finale A"
"Thibault Beneteau","K1H","150.19","513.47","607.71","Finale A"
"Adrien Pardoux","K1HM","135.27","530.74","450.25","Finale A"
"Titouan Doreau","K1HM","139.02","561.76","489.83","Finale A"
"Alexandre Medge","K1HM","142.65","-","528.13","Finale A"
"Cl…ment Corbeil","K1HM","144.39","508.85","546.5","Finale A"
"Louis Rathier","K1HM","145.01","545.76","553.04","Finale A"
"Theo Jeanlouis","K1HM","145.29","589.42","556","Finale A"
"Clement Riera","K1HM","150.67","546.27","612.78","Finale A"
"Matt…o Rainaud","K1HM","159.38","-","704.7","Finale A"
"Simon Tourtois","K1HM","162.25","764.65","734.99","Finale A"
"Titouan Conseil","K1HM","165.61","867.62","770.45","Finale A"
"Adrien Baty","K1HM","166.37","752.37","778.47","Finale A"
"Leo Guillaumin","K1HM","170.31","-","820.05","Finale A"
"Adrien Roux","C1H","141.81","343.39","453","Finale B"
"Isaac Dufrene","C1H","142.06","297.07","455.51","Finale B"
"Mathias Pannetier","C1H","142.06","362.78","455.51","Finale B"
"Christian Boob","C1H","145.42","348.05","489.28","Finale B"
"Karl Bouthegourd","C1H","150.48","436.48","540.14","Finale B"
"Hugo Martin","C1H","157.57","624.16","611.41","Finale B"
"Louis Bouchiat","C1H","159.1","647.43","626.79","Finale B"
"Yanis Koubaiti","C1H","160.72","-","643.07","Finale B"
"Laurence Scrimgeour","C1H","161.45","-","650.41","Finale B"
"Killyan Moreau","C1H","170.32","-","739.56","Finale B"
"Nicolas Cappy","C1H","175.8","-","794.64","Finale B"
"Mael Verheyde","C1H","284.59","-","1888.1","Finale B"
"Cl…ment Corbeil","C1HM","178.26","-","819.36","Finale B"
"Simon Tourtois","C1HM","185.36","-","890.72","Finale B"
"Lucas Deleplancque","C1HM","206.7","-","1105.22","Finale B"
"Thibault Alcaras-Ulysse Giel","C2H","167.84","-","637.95","Finale B"
"Tom Delens-Antoine Rambeau","C2H","243.43","-","1363.18","Finale B"
"Matthias Reviron-Julien Beneteau","C2H","283.74","1456.95","1749.92","Finale B"
"Tom Babin-Arnaud Verrons","C2H","Abs","-","-","Finale B"
"Claire Verrons","K1D","154.91","-","474.45","Finale B"
"Elise Doreau","K1D","160.43","514.82","525.99","Finale B"
"Barbara Lassechere","K1D","165.46","569.42","572.97","Finale B"
"Sophielaure B…n…teau","K1D","167.8","566.26","594.83","Finale B"
"Celine Duprat","K1D","397.49","4684.66","2740.02","Finale B"
"Marion Beneteau","K1DM","181.71","743.82","724.74","Finale B"
"Alice Bureau","K1DM","190.75","794.96","809.17","Finale B"
"Agathe Grosset","K1DM","201.63","737.06","910.79","Finale B"
"Lucas Augu","K1H","121.87","257.27","313.83","Finale B"
"Ulysse Giel","K1H","124.64","399.2","343.06","Finale B"
"Henri Chenu","K1H","129.72","450.72","396.68","Finale B"
"Thilbault Rucher","K1H","136.45","473.57","467.7","Finale B"
"Antoine Rambeau","K1H","139.31","596.52","497.89","Finale B"
"Nils Venier","K1H","146.56","506.4","574.4","Finale B"
"Michel Daupeux","K1H","148.52","575.82","595.08","Finale B"
"Arthur Pringault","K1H","149.57","-","606.17","Finale B"
"Christophe Joubert","K1H","149.77","603.25","608.28","Finale B"
"Luca Gri","K1H","150.02","1160.18","610.92","Finale B"
"Adrien Ricaud","K1H","151.46","592.03","626.11","Finale B"
"Jean-noel Biteau","K1H","152.5","628.05","637.09","Finale B"
"Simon Diogo","K1H","153.02","608.64","642.58","Finale B"
"Bruno Beneteau","K1H","153.11","560.91","643.53","Finale B"
"Anatole Fourcade","K1H","153.96","720.69","652.5","Finale B"
"Julien Brice","K1H","154.61","513.96","659.36","Finale B"
"Lucas Bruimaud","K1H","155.15","-","665.06","Finale B"
"Christian Belouin","K1H","157.36","682.3","688.38","Finale B"
"Lucas Mesquita","K1H","157.86","730.81","693.66","Finale B"
"Nicolas Cappy","K1H","158.24","690.45","697.67","Finale B"
"Tristan Favennec","K1H","160.13","847.05","717.61","Finale B"
"Julien Vinet","K1H","161.54","-","732.49","Finale B"
"Gerard Lemonnier","K1H","161.8","708.63","735.24","Finale B"
"Jacob Chaygneaud Dupuy","K1H","164.89","911.84","767.85","Finale B"
"Killyan Moreau","K1H","165.24","858.96","771.54","Finale B"
"Titouan Maricourt","K1H","165.47","742.29","773.97","Finale B"
"Eymric Princet","K1H","168.44","918.29","805.31","Finale B"
"Hugo Martin","K1H","168.91","707.76","810.27","Finale B"
"Thierry Le Bonniec","K1H","169.26","774.89","813.97","Finale B"
"Florient Charmillon","K1H","175.3","-","877.71","Finale B"
"Mael Verheyde","K1H","175.74","874.37","882.36","Finale B"
"Noe Joseph","K1H","184.56","-","975.44","Finale B"
"Ludovik Fresnel","K1H","185.91","778.75","989.69","Finale B"
"Stewen Sourbe","K1H","209.52","664.36","1238.86","Finale B"
"Nathanael Bordes","K1H","214.39","1048.02","1290.25","Finale B"
"Valentin Poisson","K1H","228.64","-","1440.64","Finale B"
"Tom Morillon","K1H","230.46","-","1459.85","Finale B"
"Ludovic Phan Dang","K1H","251.42","-","1681.06","Finale B"
"Quentin Alcaras","K1HM","145.14","629.85","559.41","Finale B"
"Adrien Favennec","K1HM","173.05","1104.3","853.97","Finale B"
"Killian Dal-cin","K1HM","177.87","-","904.83","Finale B"
"Rodrigue Culos","K1HM","193.5","937.4","1069.79","Finale B"
"Natan Bignaud","K1HM","201.36","1082.33","1152.74","Finale B"
"Maxime Pham Dang","K1HM","217.1","-","1318.85","Finale B"
"Antoine Metais","K1HM","221.53","-","1365.61","Finale B"
"Pierre Chollet","K1HM","252.14","-","1688.65","Finale B"
