"Sélectif Régional Slalom (Double) - Bassin Epinal - Course n°1 | Finale - 2016-10-01","Course n°1 | Finale","2016-10-01","Régional","185"
"Thomas L'huillier","C1H","106.06","310.37","341.48","Course n°1 | Finale A"
"Eludes Houillon","C1H","106.2","329.79","343.26","Course n°1 | Finale A"
"Julien Gaspard","C1H","106.87","-","351.79","Course n°1 | Finale A"
"Silvere Desongins","C1H","107.77","366.93","363.25","Course n°1 | Finale A"
"Corentin Monasse","C1H","108.74","531.76","375.61","Course n°1 | Finale A"
"Vincent Idriss Achaoui","C1H","112.44","475.73","422.76","Course n°1 | Finale A"
"Leo Collard","C1HM","123.75","755.42","566.84","Course n°1 | Finale A"
"Vivien Stemmelen","C1HM","124.49","601.74","576.27","Course n°1 | Finale A"
"Jules Latimier","C1HM","125.88","655","593.98","Course n°1 | Finale A"
"Hugo Humbrecht","C1HM","145.99","-","850.18","Course n°1 | Finale A"
"Tanguy Malingre","C1HM","149.92","1034.88","900.25","Course n°1 | Finale A"
"Constant Jeandon","C1HM","207.18","1194.64","1629.75","Course n°1 | Finale A"
"Marlene Dumoulin-Sarah Rothenbuhler","C2D","156.77","814.34","603.43","Course n°1 | Finale A"
"Lou-anne Cointin-Maurine Laugel","C2D","213.07","858.27","1182.76","Course n°1 | Finale A"
"Mathieu Biazizzo-Antoine Runet","C2H","107.65","-","299.39","Course n°1 | Finale A"
"Hugo Latimier-Eludes Houillon","C2H","110.84","322.24","338.19","Course n°1 | Finale A"
"Marcantoine Hacquart-Bertrand Gutierrez","C2H","111.4","-","344.99","Course n°1 | Finale A"
"Jeancharles Reby-Gregory Ganthier","C2H","115.88","386.21","399.47","Course n°1 | Finale A"
"Philippe Thevenin-Olivier Urbain","C2H","118.16","374.69","427.2","Course n°1 | Finale A"
"Lucas Galmiche-Erwan Rouch","C2H","119.65","-","445.32","Course n°1 | Finale A"
"Theophile Didierjean-Stanislas Ledore","C2HM","145.2","946.6","756.03","Course n°1 | Finale A"
"Sophie Colbus-Johann Thevenin","C2M","121.1","448.63","340.23","Course n°1 | Finale A"
"Christine Poix-Emmanuel Del Rey","C2M","125.43","446.53","388.5","Course n°1 | Finale A"
"Christophe Billaud-Elodie Delavelle","C2M","130.52","357.38","445.24","Course n°1 | Finale A"
"Gaelle Aumer-Olivier Urbain","C2M","163.1","775.42","808.43","Course n°1 | Finale A"
"Maeva Auriol-Charles Billon","C2M","205.85","688.4","1284.99","Course n°1 | Finale A"
"Joana Palermo","K1D","101.16","112.12","187.8","Course n°1 | Finale A"
"Claire Gaigeot","K1D","101.3","144.79","189.46","Course n°1 | Finale A"
"Fanchon Janssen","K1D","102.6","119.89","204.85","Course n°1 | Finale A"
"Sophie Colbus","K1D","104.49","309.18","227.22","Course n°1 | Finale A"
"Angelique Guilcher","K1D","106.34","272.61","249.12","Course n°1 | Finale A"
"Marie Hilger","K1D","107.33","311.72","260.84","Course n°1 | Finale A"
"Elise Pierron","K1D","108.18","199.47","270.91","Course n°1 | Finale A"
"Alexane Galmiche","K1D","108.29","265.57","272.21","Course n°1 | Finale A"
"Charlotte Abba","K1D","108.68","-","276.82","Course n°1 | Finale A"
"Elodie Delavelle","K1D","108.89","321.81","279.31","Course n°1 | Finale A"
"Justine Clerc","K1D","111.67","397.24","312.22","Course n°1 | Finale A"
"Alicia Gallot","K1D","113.46","336.82","333.41","Course n°1 | Finale A"
"Julia Budzinski","K1D","116.89","384.57","374.01","Course n°1 | Finale A"
"Margot Perrin","K1D","117.2","408.33","377.69","Course n°1 | Finale A"
"Pauline Clerc","K1DM","117.05","-","375.91","Course n°1 | Finale A"
"Coline Husson","K1DM","118.9","463.06","397.81","Course n°1 | Finale A"
"MaÏa Gombert","K1DM","125.68","495.41","478.07","Course n°1 | Finale A"
"Melyne Jost","K1DM","127.35","572.61","497.84","Course n°1 | Finale A"
"Eva Klipfel","K1DM","129.48","557.46","523.06","Course n°1 | Finale A"
"Lucille Meunier-cheyssac","K1DM","135.02","572.51","588.65","Course n°1 | Finale A"
"Mathieu Biazizzo","K1H","84.32","31.9","118.21","Course n°1 | Finale A"
"Martin Daviet","K1H","85.37","61.43","132.26","Course n°1 | Finale A"
"Lucas Latimier","K1H","88.43","158.71","173.19","Course n°1 | Finale A"
"Lucas Galmiche","K1H","89.14","178.88","182.69","Course n°1 | Finale A"
"Robin Pottelette","K1H","89.69","187.01","190.05","Course n°1 | Finale A"
"Johan De Mareuil","K1H","91.57","179.11","215.2","Course n°1 | Finale A"
"Antoine Saul","K1H","92.04","274.15","221.48","Course n°1 | Finale A"
"Jerome Olhagaray","K1H","93","157.4","234.33","Course n°1 | Finale A"
"Bertrand Gutierrez","K1H","94.31","87.16","251.85","Course n°1 | Finale A"
"Erwan Rouch","K1H","94.64","239.83","256.26","Course n°1 | Finale A"
"Florient Tagnon","K1H","94.67","249.09","256.67","Course n°1 | Finale A"
"Gabriel De Coster","K1H","95.35","331.11","265.76","Course n°1 | Finale A"
"Silvere Desongins","K1H","95.99","236.72","274.32","Course n°1 | Finale A"
"Arthur Favennec","K1H","96.35","317.71","279.14","Course n°1 | Finale A"
"Nicolas Mangeolle","K1H","96.65","271.97","283.15","Course n°1 | Finale A"
"Damien Ganthier","K1H","97.65","232.87","296.53","Course n°1 | Finale A"
"Alex Louveau","K1H","98.31","285.29","305.36","Course n°1 | Finale A"
"Thomas Brochard","K1H","98.43","288.42","306.96","Course n°1 | Finale A"
"Corentin Monasse","K1H","98.83","275.7","312.31","Course n°1 | Finale A"
"Anthony Rouhier","K1H","99.38","375.11","319.67","Course n°1 | Finale A"
"Olivier Urbain","K1H","99.48","313.93","321.01","Course n°1 | Finale A"
"Thomas L'huillier","K1H","100.09","330","329.17","Course n°1 | Finale A"
"Victor Hennin","K1H","100.77","400.83","338.27","Course n°1 | Finale A"
"Alexis Pacholak","K1H","101.25","378.11","344.69","Course n°1 | Finale A"
"Florent Tamburini","K1H","102.12","312.39","356.33","Course n°1 | Finale A"
"Eddy Cassard","K1H","103.71","381.06","377.59","Course n°1 | Finale A"
"Dyclan Plessis","K1H","103.91","406.3","380.27","Course n°1 | Finale A"
"Jules Andrien","K1H","106.82","416.71","419.2","Course n°1 | Finale A"
"Maxime Aubertin","K1H","108.52","447.92","441.94","Course n°1 | Finale A"
"Jean Charles Hacquart","K1HM","98.4","283.65","306.56","Course n°1 | Finale A"
"Loic Petel","K1HM","101.84","413.76","352.58","Course n°1 | Finale A"
"Leo Collard","K1HM","109.57","533.68","455.98","Course n°1 | Finale A"
"Jules Latimier","K1HM","113.29","555.41","505.75","Course n°1 | Finale A"
"Tanguy Malingre","K1HM","122.31","696.29","626.41","Course n°1 | Finale A"
"Vivien Stemmelen","K1HM","214.88","591","1864.73","Course n°1 | Finale A"
"Claire Gaigeot","C1D","117.34","-","303.31","Course n°1 | Finale B"
"Alicia Gallot","C1D","135.18","453.92","502.19","Course n°1 | Finale B"
"Jeanne Bernard","C1D","137.98","838.25","533.4","Course n°1 | Finale B"
"Margot Perrin","C1D","138.86","935.7","543.21","Course n°1 | Finale B"
"Justine Clerc","C1D","139.59","723.06","551.35","Course n°1 | Finale B"
"Emma Vaubourg","C1D","154.06","-","712.65","Course n°1 | Finale B"
"Maurine Laugel","C1D","164.72","767.36","831.49","Course n°1 | Finale B"
"Jules Vonderscher","C1H","106.91","389.91","357.3","Course n°1 | Finale B"
"Nicolas Mangeolle","C1H","108.25","645.42","374.37","Course n°1 | Finale B"
"Robin Pottelette","C1H","108.94","396.89","383.16","Course n°1 | Finale B"
"Vincent Ganthier","C1H","110.47","398.29","402.66","Course n°1 | Finale B"
"Guillaume Goury","C1H","112.27","453.65","425.59","Course n°1 | Finale B"
"Victor Hennin","C1H","112.65","512.01","430.43","Course n°1 | Finale B"
"Simon Clerc","C1H","114.25","434.08","450.82","Course n°1 | Finale B"
"Guerlain Robin","C1H","115.66","566.96","468.77","Course n°1 | Finale B"
"Yann Becker","C1H","116","500.43","473.1","Course n°1 | Finale B"
"Jerome Olhagaray","C1H","116.43","534.19","478.59","Course n°1 | Finale B"
"Marvin Tulpin","C1H","118.74","470.28","508.02","Course n°1 | Finale B"
"Anthony Rouhier","C1H","122.26","785.61","552.86","Course n°1 | Finale B"
"Jules Andrien","C1H","122.42","691.15","554.89","Course n°1 | Finale B"
"Maxime Aubertin","C1H","122.86","-","560.51","Course n°1 | Finale B"
"Christophe Billaud","C1H","124.46","574.26","580.88","Course n°1 | Finale B"
"Alexis Sevrez","C1H","141.98","-","804.09","Course n°1 | Finale B"
"Bastien Delaubier","C1H","145.65","867.96","850.85","Course n°1 | Finale B"
"Arthur Favennec","C1H","Abs","-","-","Course n°1 | Finale B"
"Raphael Benmimoune","C1HM","150.02","-","906.52","Course n°1 | Finale B"
"Thibault Blaise-Yann Becker","C2H","118.77","-","439.62","Course n°1 | Finale B"
"Leo Collard-Thomas L'huillier","C2H","124.17","-","505.29","Course n°1 | Finale B"
"Titouan Auriol-Dyclan Plessis","C2H","125.25","599.82","518.43","Course n°1 | Finale B"
"Loric Bertrand Delorme-Pierre Biagui","C2H","145.53","753.08","765.05","Course n°1 | Finale B"
"Alexis Sevrez-Louis Gasser","C2H","213.56","-","1592.36","Course n°1 | Finale B"
"Marilyn Giroux","K1D","113.47","402.86","338.53","Course n°1 | Finale B"
"Jade Robin","K1D","114.72","401.81","353.33","Course n°1 | Finale B"
"Maeva Auriol","K1D","117.21","433.53","382.81","Course n°1 | Finale B"
"Jeanne Bernard","K1D","117.62","422.6","387.65","Course n°1 | Finale B"
"Emma Vaubourg","K1D","120.44","465.07","421.04","Course n°1 | Finale B"
"Marlene Dumoulin","K1D","122.52","447.81","445.67","Course n°1 | Finale B"
"Lou-anne Cointin","K1D","122.71","477.69","447.92","Course n°1 | Finale B"
"Maurine Laugel","K1D","122.98","534.38","451.11","Course n°1 | Finale B"
"Carole Dolmaire","K1D","137.53","580.65","623.36","Course n°1 | Finale B"
"Maude Dominique","K1D","138.73","652.54","637.56","Course n°1 | Finale B"
"Nathalie Latimier Ragot","K1D","141.85","-","674.5","Course n°1 | Finale B"
"Heloise Stemmelen","K1D","152.98","671","806.26","Course n°1 | Finale B"
"Sarah Rothenbuhler","K1D","174.08","586.99","1056.04","Course n°1 | Finale B"
"Mylene Guilcher","K1DM","130.28","570.57","537.53","Course n°1 | Finale B"
"Damien Burteaux","K1H","99.91","365.6","331.76","Course n°1 | Finale B"
"Antoine Runet","K1H","101.65","-","355.04","Course n°1 | Finale B"
"Vincent Idriss Achaoui","K1H","102.22","417.65","362.66","Course n°1 | Finale B"
"Vincent Morabito","K1H","104.09","-","387.68","Course n°1 | Finale B"
"Patrick Gass","K1H","104.35","479.43","391.16","Course n°1 | Finale B"
"Louis Sibille","K1H","105.1","496.84","401.19","Course n°1 | Finale B"
"Loric Bertrand Delorme","K1H","105.65","421.6","408.55","Course n°1 | Finale B"
"Guerlain Robin","K1H","107.06","433.62","427.41","Course n°1 | Finale B"
"Jean Pierre Latimier","K1H","107.13","499.2","428.34","Course n°1 | Finale B"
"Jules Vonderscher","K1H","107.76","-","436.77","Course n°1 | Finale B"
"Christophe Billaud","K1H","107.88","381.47","438.38","Course n°1 | Finale B"
"Johann Thevenin","K1H","108.36","524.55","444.8","Course n°1 | Finale B"
"Guillaume Goury","K1H","108.76","-","450.15","Course n°1 | Finale B"
"Xavier Rat","K1H","110.97","419.41","479.71","Course n°1 | Finale B"
"Lois Pignon","K1H","113.16","643.81","509.01","Course n°1 | Finale B"
"Pierre Biagui","K1H","113.85","459.74","518.24","Course n°1 | Finale B"
"Titouan Auriol","K1H","113.89","507.73","518.77","Course n°1 | Finale B"
"Louis Gasser","K1H","114.26","636.19","523.72","Course n°1 | Finale B"
"Patrick Thevenin","K1H","117.5","564.03","567.07","Course n°1 | Finale B"
"Charles Billon","K1H","119.99","783.48","600.37","Course n°1 | Finale B"
"Alexis Sevrez","K1H","121.79","810.38","624.45","Course n°1 | Finale B"
"Bastien Delaubier","K1H","122.34","637.36","631.81","Course n°1 | Finale B"
"Etienne Rougeron","K1H","124.14","876.36","655.89","Course n°1 | Finale B"
"Bertrand Bourguignon","K1H","124.71","670.53","663.51","Course n°1 | Finale B"
"Stephane Cassin","K1H","164.45","1457.65","1195.12","Course n°1 | Finale B"
"Benjamin Gerondi","K1H","198.43","1011.78","1649.68","Course n°1 | Finale B"
"Christophe Leone","K1H","199.25","-","1660.65","Course n°1 | Finale B"
"Alexandre L'huillier","K1H","Abd","-","-","Course n°1 | Finale B"
"Antoine Paumier","K1HM","123.25","721.79","643.98","Course n°1 | Finale B"
"Constant Jeandon","K1HM","125.86","698.49","678.9","Course n°1 | Finale B"
"Theophile Didierjean","K1HM","134.06","837.03","788.59","Course n°1 | Finale B"
"Hugo Humbrecht","K1HM","150.63","846.25","1010.25","Course n°1 | Finale B"
"Stanislas Ledore","K1HM","190.61","783.3","1545.07","Course n°1 | Finale B"
"Raphael Benmimoune","K1HM","236.92","1005.29","2164.56","Course n°1 | Finale B"
