"Sélectif National 3 Slalom Nord - La Canche - Finale - 2017-05-14","Finale","2017-05-14","Nationale 3","223"
"Nicolas Candieu-Simon Dubosc","C2H","124.03","-","751.05","Finale A"
"Thomas Martinet-Lucas Walbreq","C2H","137.62","561.02","939.87","Finale A"
"Tiphaine Duboc-Michael Philibert","C2M","103.54","367.58","346.48","Finale A"
"Thibaud Vielliard-Noemie Ramet","C2M","113.4","396.15","472.06","Finale A"
"Theodora Seemann-Eloi Seemann","C2M","113.69","390.13","475.75","Finale A"
"Emilie Delahaye-Nicolas Feuillard","C2M","116.71","481.08","514.21","Finale A"
"Catherine Boulan-Xavier Jourdain","C2M","117.17","414.23","520.07","Finale A"
"Teddy Poulard-Alize Bachelot","C2M","117.95","-","530.01","Finale A"
"Quentin Mannier-Chloe Gatuingt","C2M","121.57","543.78","576.11","Finale A"
"Matteo Figueiredo Alves-Elise Weilbach","C2M","136.33","726.3","764.09","Finale A"
"Mathilde Guillot-le Goff","K1D","103.12","446.43","422.49","Finale A"
"Nelia Barbosa","K1D","104.43","376.9","440.2","Finale A"
"Emma Leroux","K1D","104.73","449.88","444.26","Finale A"
"Elise Weilbach","K1D","106.49","429.08","468.07","Finale A"
"Lison Gautrelet","K1D","107.25","473.9","478.34","Finale A"
"Loan Battistuzzi","K1D","107.26","458.03","478.48","Finale A"
"Margaux Fabijan","K1D","107.42","403.27","480.64","Finale A"
"Melina Letellier","K1D","108.61","467.23","496.74","Finale A"
"Yuna Pernet","K1D","109.13","600.55","503.77","Finale A"
"Zoe Waeles","K1D","110.65","577.53","524.33","Finale A"
"Eloise Riviere","K1D","117.56","538.05","617.78","Finale A"
"Gabrielle Kugler","K1D","123.67","525.52","700.42","Finale A"
"Manon Le Lay","K1D","151.58","401.55","1077.92","Finale A"
"Thibaud Vielliard","K1H","79.48","256.49","242.5","Finale A"
"Vincent Hannedouche","K1H","81.14","266.43","267.87","Finale A"
"Noe Perreau","K1H","81.39","283.67","271.69","Finale A"
"Yvan Leblond","K1H","82.64","305.16","290.79","Finale A"
"Julien Antide","K1H","82.87","247.7","294.31","Finale A"
"Yohann Senechault","K1H","82.89","289.77","294.62","Finale A"
"Lucas Correia","K1H","84.17","301.64","314.18","Finale A"
"Mikael Maupin","K1H","84.83","364.06","324.27","Finale A"
"Quentin Mannier","K1H","85.16","330.6","329.31","Finale A"
"Jeremy Huguenin","K1H","85.85","359.28","339.85","Finale A"
"Nicolas Ducrocq","K1H","86.49","347.59","349.64","Finale A"
"Ianis Fleury","K1H","86.51","363.56","349.94","Finale A"
"Florent Bernard","K1H","86.87","338.3","355.44","Finale A"
"Eden Quevremont","K1H","87.11","384.86","359.11","Finale A"
"LoÏc Pottier","K1H","87.21","345.69","360.64","Finale A"
"Thibaud Collaert","K1H","87.68","325.76","367.82","Finale A"
"Samuel Lhote","K1H","88.36","320.44","378.22","Finale A"
"Simon Philibert","K1H","88.53","397.66","380.81","Finale A"
"Quentin Angot","K1H","88.9","350.15","386.47","Finale A"
"Guillaume Doutreix","K1H","88.98","339.99","387.69","Finale A"
"Clement Font-boinel","K1H","89","345.51","388","Finale A"
"Michael Philibert","K1H","89.3","460.58","392.58","Finale A"
"Dimitry Vandenabeele","K1H","89.56","339.63","396.56","Finale A"
"Bastien Belembert","K1H","89.9","338.45","401.75","Finale A"
"Theo Loury","K1H","90.19","351.38","406.18","Finale A"
"Benoit Guernic","K1H","90.29","377","407.71","Finale A"
"Amaury Brucher","K1H","90.56","410.47","411.84","Finale A"
"Arnaud Delattre","K1H","90.73","417.43","414.44","Finale A"
"Romain Bezies","K1H","91.06","394.86","419.48","Finale A"
"Jean Aussant","K1H","91.95","379.01","433.08","Finale A"
"Melvin Queudeville","K1H","92.01","398.3","434","Finale A"
"Enzo Cozette","K1H","92.31","325.09","438.58","Finale A"
"Jeremie Hepner","K1H","92.35","449.55","439.2","Finale A"
"Nicolas Dupres","K1H","92.89","433.27","447.45","Finale A"
"Eloi Seemann","K1H","93.33","349.03","454.17","Finale A"
"Alan Le Goff","K1H","93.6","434.84","458.3","Finale A"
"Maxime Poupart","K1H","94.45","389.82","471.29","Finale A"
"Marceau Decarsin","K1H","94.63","384.46","474.04","Finale A"
"Louison Laumondais","K1H","94.63","384.78","474.04","Finale A"
"Louis Debureaux","K1H","94.92","330.3","478.47","Finale A"
"Thomas Martinet","K1H","95.49","377.59","487.19","Finale A"
"Hugo Pidoux","K1H","95.61","377.02","489.02","Finale A"
"Hugo Baillet","K1H","97.47","527.27","517.45","Finale A"
"Martin Rohaut","K1H","99.19","457.51","543.73","Finale A"
"Baptiste Duboc","K1H","100.03","470.12","556.57","Finale A"
"Basile Drapier","K1H","101.47","507.67","578.58","Finale A"
"Alexis Agent","K1H","102.46","519.45","593.71","Finale A"
"Isidore Dubuisson","K1H","143.59","394.92","1222.32","Finale A"
"Gaspard Perrio","K1H","146.89","388.28","1272.75","Finale A"
"Valentin Fleury","K1H","Dsq","-","-","Finale A"
"Margaux Fabijan","C1D","130.31","620.7","692.43","Finale B"
"Melina Letellier","C1D","136.42","641.41","770.24","Finale B"
"Clemence Douche","C1D","141.19","609.59","830.99","Finale B"
"Mathilde Guillot-le Goff","C1D","147.26","835.38","908.31","Finale B"
"Marion Matura","C1D","169.75","886.02","1194.73","Finale B"
"Geoffroy Schwentzel","C1H","95.9","439.32","428.66","Finale B"
"Benjamin Soroka","C1H","96.25","393.5","433.75","Finale B"
"Maxime Savalle","C1H","98.13","501.11","461.12","Finale B"
"Jean Aussant","C1H","100.97","495.01","502.46","Finale B"
"Simon Dubosc","C1H","102.44","506.01","523.85","Finale B"
"Nathan Boudaillez","C1H","103.55","466.56","540.01","Finale B"
"Louis Marescot","C1H","104.24","500.64","550.05","Finale B"
"Amaury Brucher","C1H","105.62","619.5","570.13","Finale B"
"LoÏc Pottier","C1H","106.91","511.51","588.91","Finale B"
"Yohan Marck","C1H","107.32","536.15","594.89","Finale B"
"Theo Moalic","C1H","108.11","614.33","606.38","Finale B"
"Geoffroy Lauth","C1H","109.05","518.52","620.06","Finale B"
"Quentin Angot","C1H","109.67","524","629.09","Finale B"
"Fabien Bonvalet","C1H","111.55","614.35","656.45","Finale B"
"Baptiste Duboc","C1H","118.24","711.31","753.84","Finale B"
"Sebastien Masseline","C1H","118.97","699.17","764.46","Finale B"
"Dimitry Vandenabeele","C1H","120.77","658.83","790.66","Finale B"
"Dimitri Houlier","C1H","121.58","738.26","802.44","Finale B"
"Thibaut Evrard","C1H","125","858.64","852.23","Finale B"
"Estephe Decarsin","C1H","126.52","751.49","874.35","Finale B"
"Remi Blaud","C1H","128.63","804.49","905.07","Finale B"
"Mathieu Aussant","C1H","129.47","645.35","917.29","Finale B"
"Dante Bourlet De La Vallee","C1H","131.18","879.79","942.18","Finale B"
"Axel Kottelanne","C1H","133.84","806.88","980.9","Finale B"
"Isidore Dubuisson","C1H","165.75","560.22","1445.37","Finale B"
"Tom Armand-Thomas Gossieaux","C2H","117.24","-","661.71","Finale B"
"Romain Bezies-Ianis Fleury","C2H","121.72","-","723.96","Finale B"
"Nicolas Dupres-Samuel Bonvalet","C2H","130.68","-","848.44","Finale B"
"Hugo Baillet-Thibaut Evrard","C2H","137.59","889.68","944.45","Finale B"
"Fabien Bonvalet-Mathis Pomares","C2H","142.16","829.31","1007.94","Finale B"
"Dimitri Houlier-Jason Leroy","C2H","150.55","-","1124.52","Finale B"
"Theo Zilber-Melvin Queudeville","C2H","158.53","-","1235.39","Finale B"
"Louison Laumondais-Charles Bre","C2H","Abs","-","-","Finale B"
"Alberic Carpentier-Lucien Louchez","C2H","Des","-","-","Finale B"
"Leontine Dubuisson-Nicolas Candieu","C2M","148.03","-","918.1","Finale B"
"Geoffroy Lauth-Rachel Broin","C2M","148.05","598.49","918.36","Finale B"
"Clement Font-boinel-Anna Dufay Leneveu","C2M","148.28","669.11","921.3","Finale B"
"Gabrielle Kugler-Maxence Galy","C2M","148.5","808.6","924.1","Finale B"
"Estephe Decarsin-Eloise Riviere","C2M","153.29","758.42","985.11","Finale B"
"Samuel Bonvalet-Marie Claude Lamoureux","C2M","171.62","891.63","1218.56","Finale B"
"Clemence Douche-Lucas Ferloni","C2M","194.33","-","1507.8","Finale B"
"Lea Feuillard","K1D","113.03","564.64","561.53","Finale B"
"Mylene Despres","K1D","114.04","516.24","575.18","Finale B"
"Elise Sergio","K1D","115.11","584.34","589.65","Finale B"
"Anna Marvillet","K1D","124.83","516.45","721.12","Finale B"
"Julie Dupas","K1D","127.91","759.11","762.78","Finale B"
"Catherine Boulan","K1D","128.25","550.6","767.38","Finale B"
"Sandrine Arnal","K1D","131.54","653.83","811.87","Finale B"
"Anouk Hadad","K1D","132.21","723.31","820.93","Finale B"
"Charline Dole","K1D","136.71","771.87","881.79","Finale B"
"Coralie Delmotte","K1D","141.07","692.05","940.77","Finale B"
"Marion Matura","K1D","143.72","654.48","976.61","Finale B"
"Delphine Brunet","K1D","207.13","882.84","1834.24","Finale B"
"Fabien De Almeida","K1H","81.97","305.04","285.55","Finale B"
"Nicolas Candieu","K1H","88.91","352.76","391.62","Finale B"
"Mathieu Aussant","K1H","95.64","435.56","494.48","Finale B"
"Alberic Carpentier","K1H","96.15","513.49","502.27","Finale B"
"Theo Zilber","K1H","96.38","402.45","505.79","Finale B"
"Benjamin Soroka","K1H","96.99","388.24","515.11","Finale B"
"Thibaut Evrard","K1H","98.84","552.02","543.39","Finale B"
"Vladimir Krsmanovic","K1H","99.09","511.44","547.21","Finale B"
"Enzo Claeys","K1H","100.66","486.42","571.2","Finale B"
"Remi Blaud","K1H","101.53","474.93","584.5","Finale B"
"Estephe Decarsin","K1H","101.82","450.79","588.93","Finale B"
"Philippe Valeri","K1H","102.03","533.04","592.14","Finale B"
"Mathis Piepho","K1H","102.43","585.04","598.25","Finale B"
"Elouan Fouquier","K1H","102.58","539.78","600.55","Finale B"
"Samy Serrakh","K1H","103.08","728.5","608.19","Finale B"
"Johann Sacleux","K1H","104.42","582.88","628.67","Finale B"
"Louis Vanbersel","K1H","104.45","602.04","629.13","Finale B"
"Lucas Walbreq","K1H","105.14","510.93","639.67","Finale B"
"Julien Duahaut","K1H","106.12","538.14","654.65","Finale B"
"Matteo Figueiredo Alves","K1H","108.67","769.14","693.62","Finale B"
"Helwann Rachdi","K1H","109.24","602.2","702.33","Finale B"
"Fabien Bonvalet","K1H","109.52","522.68","706.61","Finale B"
"Dimitri Houlier","K1H","109.65","561.38","708.6","Finale B"
"Damien Marcq","K1H","110.43","527.44","720.52","Finale B"
"Gaetan Laperle","K1H","110.77","717.03","725.72","Finale B"
"Tom Armand","K1H","111.68","744.35","739.62","Finale B"
"Philippe Podvin","K1H","111.76","641.67","740.85","Finale B"
"Eric Beaumont","K1H","112.25","569.46","748.34","Finale B"
"Ilan Foulongani","K1H","112.34","888.96","749.71","Finale B"
"Noe Vannier","K1H","112.53","610.48","752.62","Finale B"
"Lucien Louchez","K1H","113.3","710.81","764.38","Finale B"
"Dante Bourlet De La Vallee","K1H","114.1","632.59","776.61","Finale B"
"Pierre Yves Tempier","K1H","115.29","781.04","794.8","Finale B"
"Sebastien Masseline","K1H","116.09","655.64","807.02","Finale B"
"Alexandre Mauger","K1H","116.2","714.22","808.71","Finale B"
"Thomas Gossieaux","K1H","116.49","741.18","813.14","Finale B"
"Mathis Andrieu","K1H","119.16","775.31","853.94","Finale B"
"Paul Lecomte","K1H","120.32","733.04","871.67","Finale B"
"Axel Kottelanne","K1H","123","767.38","912.63","Finale B"
"Gabriel Benoit","K1H","124.69","668.31","938.46","Finale B"
"Mickael Dubois","K1H","128.38","717.72","994.86","Finale B"
"Jason Leroy","K1H","129.07","830.88","1005.4","Finale B"
"Bruno Brousselle","K1H","129.71","863.44","1015.18","Finale B"
"Mathis Pomares","K1H","131.23","927.81","1038.42","Finale B"
"Lucas Ferloni","K1H","134.13","761.25","1082.74","Finale B"
"Kilian Marais","K1H","141.36","863.58","1193.24","Finale B"
"Vincent Dorchat","K1H","141.98","901.26","1202.71","Finale B"
"Guillaume Munoz","K1H","151.47","532.79","1347.75","Finale B"
"Maxence Galy","K1H","153.83","610.84","1383.82","Finale B"
"Roman Vivier","K1H","Dsq","-","-","Finale B"
