"Sélectif régional slalom - coupe d'Aquitaine - Pau - 2003-12-14","Course 1","2003-12-14","Régional","172"
"Caignard Ronan","K1H","332.23","1100","1010",""
"Fourcade Thomas","K1H","335.41","836","1030",""
"Adisson Marc","K1H","342.15","-","1071",""
"Thomas Dauvet","K1H","349.14","882","1113",""
"Matabos Sylvain","K1H","361.26","818","1186",""
"Merlet Michael","K1H","379.69","-","1296",""
"Nicolas Neveu","K1H","407.09","-","1462",""
"Lagueyte Jean","K1H","409.05","-","1474",""
"Olivier Pegaz","K1H","414.11","-","1504",""
"Simon Dosiere","K1H","446.67","-","1701",""
"Lafenetre Joris","K1H","448.45","-","1711",""
"Maziere Bruno","K1H","551.39","879","2331",""
"Jean-daniel Bost","K1H","567.46","-","2428",""
"Cornier Aurelien","K1H","717.23","-","3331",""
