"Sélectif Régional de Slalom - Parc Des Eaux Vives D'inzinzac-lochrist (la Mecque-2) - Finale - 2017-12-17","Finale","2017-12-17","Régional","309"
"Mael Segaud","K1HM","145.44","651.27","760.91","Finale A"
"Romain Margerie","K1HM","146.87","543.41","778.02","Finale A"
"Matisse Anfray","K1HM","147.24","980.17","782.44","Finale A"
"Ewen L'hereec","K1HM","193.19","870.07","1332.26","Finale A"
"Victor Robert","K1HM","199.79","688.29","1411.24","Finale A"
"Antoine Demarest","K1HM","228.47","638.35","1754.41","Finale A"
"Claire Chaussadas","C1DM","Abs","-","-","Finale B"
"Paul Gestin","C1H","114.81","395.38","333.98","Finale B"
"Julien Caillarec","C1H","121.6","514.36","411.36","Finale B"
"Herve Busson","C1H","123.83","454.94","436.77","Finale B"
"Riwal Le Berre","C1H","126.86","523.89","471.3","Finale B"
"Florian Lohezic","C1H","127.59","481.09","479.62","Finale B"
"Ludovic Roye","C1H","127.93","478.13","483.49","Finale B"
"Antoine Martin","C1H","129.67","496.4","503.32","Finale B"
"Tanguy Odot","C1H","132.15","586.5","531.58","Finale B"
"Olivier Leboeuf","C1H","133.53","516.82","547.31","Finale B"
"Thomas Ollivo","C1H","133.67","535.54","548.91","Finale B"
"Guillaume Maillot","C1H","137.34","591.38","590.73","Finale B"
"Joris Hello","C1H","138.3","660.86","601.67","Finale B"
"Adrien Brulon Lecrenn","C1H","139.49","528.83","615.23","Finale B"
"Baptiste Loy","C1H","141.13","646.93","633.92","Finale B"
"Regis Navinel-dubois","C1H","141.87","680.27","642.35","Finale B"
"Gaetan Le Jeune","C1H","142.9","643.73","654.09","Finale B"
"Maxime Rannou","C1H","145.4","609.04","682.58","Finale B"
"Louis Beaumois","C1H","161.25","516.45","863.2","Finale B"
"Benjamin Pagerie","C1H","236.38","2220.93","1719.37","Finale B"
"Nathan Corfmat","C1HM","151.45","594.63","751.52","Finale B"
"Roman Souffez","C1HM","156.19","850.2","805.54","Finale B"
"Noe Gorvo","C1HM","163.29","881.11","886.45","Finale B"
"Nino Poisson","C1HM","163.98","921.48","894.31","Finale B"
"Corentin Beaumois","C1HM","Des","-","-","Finale B"
"Ewen Moreau Delorme","C1HM","Des","-","-","Finale B"
"Kyliann Godin","C1HM","Abs","-","-","Finale B"
"Younes Kismi-Guillaume Caron","C2H","143.96","581.54","591.6","Finale B"
"Antoine Martin-Romain Bouillon","C2H","147.15","720.08","626.3","Finale B"
"Gaston Guilmard-Matheo Coquel","C2H","200.84","724.18","1210.33","Finale B"
"Valentino Le Guesclou-Elouan Le Fournis","C2H","Abs","-","-","Finale B"
"Mathis Odot-Mael Segaud","C2HM","193.86","950.38","1134.4","Finale B"
"Manon Durand-Guillaume Maillot","C2M","Abd","-","-","Finale B"
"Coline Bertin","K1D","124.79","296.86","347.04","Finale B"
"Jann Le Corre","K1D","131.83","356.32","421.58","Finale B"
"Frederique Piton","K1D","137.51","428.55","481.72","Finale B"
"Lou Renaud","K1D","141.86","395.51","527.79","Finale B"
"Enora Bronsard","K1D","144.05","487.65","550.98","Finale B"
"Aubane Leca","K1D","145.86","542.33","570.15","Finale B"
"CloÉ Curti","K1D","167.88","811.66","803.31","Finale B"
"Bleuenn Le Foll","K1D","170.51","495.2","831.17","Finale B"
"Gwendoline Hall","K1D","171.69","479.43","843.66","Finale B"
"Pauline Guenery","K1D","199.98","509.27","1143.22","Finale B"
"Manon Schlatter","K1D","210.93","853.65","1259.18","Finale B"
"Oceane Nicolas","K1D","225.03","889.33","1408.48","Finale B"
"Zoe Marchand","K1D","Des","-","-","Finale B"
"Taelle Cardin","K1D","Des","-","-","Finale B"
"Elodie Morin - SÉrot","K1D","Des","-","-","Finale B"
"Chan Bessuejouls","K1DM","155.32","581.68","670.31","Finale B"
"Jeanne Bonthonnou","K1DM","168.91","654.28","814.22","Finale B"
"Claire Chaussadas","K1DM","169.37","628.06","819.09","Finale B"
"Maina Maligorne","K1DM","170.75","467.52","833.7","Finale B"
"Mathilde Le Solliec","K1DM","201.36","543.58","1157.84","Finale B"
"Louna Beurel","K1DM","Des","-","-","Finale B"
"Quentin Le Duc","K1H","104","263.15","270.05","Finale B"
"Simon Seuru","K1H","110.75","335.37","350.82","Finale B"
"Simon Cognard","K1H","112.42","304.94","370.8","Finale B"
"Dorian Ollivier","K1H","114.09","325.65","390.78","Finale B"
"Emmanuel Cosse","K1H","114.47","369.89","395.33","Finale B"
"Aurelien Le Duc","K1H","116.12","332.58","415.07","Finale B"
"Adrien Pierre","K1H","116.4","422.54","418.42","Finale B"
"Tom Seguillon","K1H","116.62","404.45","421.06","Finale B"
"Alan Olivo","K1H","116.99","356.02","425.48","Finale B"
"Pierre Yves Tanguy","K1H","117.02","378.59","425.84","Finale B"
"Gaston Guilmard","K1H","117.52","397.62","431.83","Finale B"
"Baptiste Loy","K1H","117.69","449.54","433.86","Finale B"
"Mael Monjaret","K1H","117.87","448.82","436.01","Finale B"
"Younes Kismi","K1H","118.2","455.55","439.96","Finale B"
"Erwan Desbordes","K1H","118.91","465.02","448.46","Finale B"
"Romain Bouillon","K1H","119.23","457.85","452.29","Finale B"
"Alexis Carpentey","K1H","119.54","480.7","456","Finale B"
"Malo Marquet","K1H","119.99","399.67","461.38","Finale B"
"Nicolas Le Belleguic","K1H","120.05","392.12","462.1","Finale B"
"Edouard Cozigou","K1H","120.56","420.79","468.2","Finale B"
"Lilian Bald","K1H","120.8","476.04","471.07","Finale B"
"Ronan Nedelec","K1H","120.98","627.79","473.23","Finale B"
"Arthur Chaumet","K1H","121.8","398.46","483.04","Finale B"
"Louan Le Sommer","K1H","121.81","536.53","483.16","Finale B"
"Elouan Le Fournis","K1H","122.26","454.12","488.54","Finale B"
"Amael Samson","K1H","122.75","495.25","494.41","Finale B"
"Tanguy Odot","K1H","122.81","465.82","495.12","Finale B"
"Valentin Rault","K1H","122.92","388.84","496.44","Finale B"
"Hugo Robert","K1H","123.54","540.22","503.86","Finale B"
"Vincent Salmon","K1H","123.55","487.41","503.98","Finale B"
"Maxime Lignereux","K1H","123.61","427","504.7","Finale B"
"Bastien Demorieux","K1H","124.02","464.38","509.6","Finale B"
"Francois Bonthonnou","K1H","124.15","507.53","511.16","Finale B"
"Yoann Donval","K1H","125.98","390.03","533.05","Finale B"
"Louis Beaumois","K1H","126.7","478.84","541.67","Finale B"
"Philippe Rocher","K1H","127.27","479.77","548.49","Finale B"
"Valentin Soullard","K1H","127.88","544.27","555.79","Finale B"
"Guillaume Caron","K1H","129.73","548.03","577.93","Finale B"
"Pierre Zeo","K1H","130.49","646.9","587.02","Finale B"
"Olivier Brochard","K1H","132.33","522.15","609.04","Finale B"
"Tom Lallican","K1H","132.46","569.77","610.59","Finale B"
"Tom Milon","K1H","132.46","606.44","610.59","Finale B"
"Deverig Cardiec","K1H","132.47","527.15","610.71","Finale B"
"Tanguy Rolland","K1H","138.81","1002.01","686.57","Finale B"
"Matheo Courgeon","K1H","140.31","703.06","704.52","Finale B"
"Marius Benard","K1H","140.38","607.35","705.36","Finale B"
"Romain Foulon","K1H","140.49","640.45","706.68","Finale B"
"Thibault Prono","K1H","141.13","786.19","714.33","Finale B"
"Mael Le Goff","K1H","141.63","489.92","720.32","Finale B"
"Clement Ezanno","K1H","143.01","714.64","736.83","Finale B"
"Sonny Boucher","K1H","144.27","883.04","751.91","Finale B"
"Kevin Langlois","K1H","145.23","593.96","763.39","Finale B"
"Christian Le Parc","K1H","145.38","792.21","765.19","Finale B"
"Jean Christophe Olivo","K1H","145.79","648.27","770.09","Finale B"
"Erwann Le Jeune","K1H","148.23","412.31","799.29","Finale B"
"Regis Navinel-dubois","K1H","150.06","480.93","821.19","Finale B"
"Benjamin Pagerie","K1H","153.36","692.07","860.67","Finale B"
"Antoine Aubert","K1H","155.01","546.17","880.42","Finale B"
"Yann Curti","K1H","171.46","498.55","1077.25","Finale B"
"Maxime Daniel","K1H","178.64","1176.04","1163.16","Finale B"
"Hugo Quistrebert","K1H","178.69","822.04","1163.76","Finale B"
"Baptiste Madic","K1H","186.72","599.47","1259.85","Finale B"
"Thibaut Nohe","K1H","229.25","867.09","1768.74","Finale B"
"Thomas Hado","K1H","Des","-","-","Finale B"
"Julien Buors","K1H","Dsq","-","-","Finale B"
"Pierre Rochon","K1H","Des","-","-","Finale B"
"Ewen Meignen","K1H","Abs","-","-","Finale B"
"Titouan Le Jeune","K1H","Des","-","-","Finale B"
"Hoel Carnot","K1H","Abs","-","-","Finale B"
"Nicolas Bidault","K1HM","123.67","544.14","505.41","Finale B"
"Noe Gorvo","K1HM","129.52","508.31","575.41","Finale B"
"Martin Magras","K1HM","139.93","1408","699.98","Finale B"
"Louis Nivet","K1HM","145.44","781.59","765.91","Finale B"
"Ewann Hervouet","K1HM","147.62","637.28","791.99","Finale B"
"Nino Simon","K1HM","149.51","685.08","814.61","Finale B"
"Logan Toubel","K1HM","149.82","919.29","818.32","Finale B"
"Timeo Cornic","K1HM","156.98","667.68","903.99","Finale B"
"Vincent Donval","K1HM","159.04","695.7","928.64","Finale B"
"Ewen Moreau Delorme","K1HM","159.11","826.4","929.48","Finale B"
"Charly Maherault","K1HM","163.13","835.57","977.58","Finale B"
"Tristan Lacroix","K1HM","165.4","827.81","1004.74","Finale B"
"LoÏg Massot","K1HM","166.38","-","1016.47","Finale B"
"Axel Barre","K1HM","168.83","715.09","1045.78","Finale B"
"Mael Calvez","K1HM","169.34","765.29","1051.88","Finale B"
"Leo Tellier","K1HM","169.39","939.64","1052.48","Finale B"
"Simon Riaud","K1HM","178.51","1976.28","1161.61","Finale B"
"Axel Brin","K1HM","178.83","1118.17","1165.44","Finale B"
"Kyliann Godin","K1HM","184.42","2588.36","1232.33","Finale B"
"Mallory Brochard","K1HM","188.06","781.31","1275.88","Finale B"
"Ambroise Perier","K1HM","191.68","1834.55","1319.2","Finale B"
"Valentin Rolland","K1HM","209.92","-","1537.45","Finale B"
"Paul Perret","K1HM","286.6","1112.46","2454.97","Finale B"
"Tom Corroy","K1HM","328.42","977.37","2955.37","Finale B"
