"Finale N3 ouest - Sablé Sur Sarthe - 2009-06-07","Course 1","2009-06-07","Nationale 3","192"
"Christophe Gergaud","K1H","208.19","383","312",""
"Adrien Corvasier","K1H","208.41","421","313",""
"William Jacopin","K1H","209.08","306","318",""
"Maxime Dreux","K1H","209.16","279","318",""
"Jerome Augustine","K1H","209.78","363","322",""
"Jeremy Escaffre","K1H","211.13","328","331",""
"Gaetan Hamelin","K1H","211.46","402","333",""
"Luc Jauvin","K1H","212.15","424","337",""
"Logan Nannette","K1H","212.87","315","342",""
"Jan Baudet","K1H","212.97","313","343",""
"Florent Regrettier","K1H","213.75","-","348",""
"Olivier Nonnet","K1H","215.04","363","356",""
"Emmanuel L'anton","K1H","215.11","352","357",""
"Francois Prevoteau","K1H","215.27","379","358",""
"Vincent Rondeau","K1H","215.68","370","360",""
"Charlie Baron","K1H","218.50","420","378",""
"Guillaume Chasseriault","K1H","218.68","341","380",""
"Maxime Piedade","K1H","219.37","421","384",""
"Yoann Turowsky","K1H","221.47","297","398",""
"Richard Fradin","K1H","221.94","494","401",""
"Damien Kerangoarec","K1H","222.10","467","402",""
"Quentin Moret De Rocheprise","K1H","222.12","478","402",""
"Ferdinand Malard","K1H","222.33","553","403",""
"Thibaut Mechling","K1H","222.61","434","405",""
"Ludovic Couture","K1H","223.31","505","410",""
"Valentin Soullard","K1H","223.31","416","410",""
"David Couture","K1H","224.08","408","415",""
"Antoine Rioual","K1H","224.69","498","419",""
"Paul Trecul","K1H","224.93","623","420",""
"Alexandre Plumejeau","K1H","225.16","403","422",""
"Anthony Goisneau","K1H","225.57","528","424",""
"Gael Bleunven","K1H","225.63","496","425",""
"Guirec Le Guen","K1H","225.72","429","425",""
"David Ravache","K1H","226.69","378","431",""
"Baptiste Cotta","K1H","227.52","444","437",""
"Romain Foulon","K1H","227.62","399","437",""
"Alban Brochard","K1H","227.79","561","439",""
"Matthieu Laumonier","K1H","228.75","617","445",""
"Pierreyves Renaudin","K1H","228.84","519","445",""
"Christian Belouin","K1H","229.16","506","447",""
"Wilfried Harduin","K1H","229.45","467","449",""
"Jean Francois Clement","K1H","229.81","480","452",""
"Quentin Ferrand","K1H","229.96","487","453",""
"Etienne Baudry","K1H","230.33","451","455",""
"Pierrick Meheust","K1H","231.06","434","460",""
"Julien Grossin","K1H","232.14","548","467",""
"Olivier Ranucci","K1H","232.18","647","467",""
"Francois Madec","K1H","232.50","412","469",""
"Hippolyte Granados","K1H","233.50","601","476",""
"Anthime Larousse","K1H","234.90","449","485",""
"Pierre Bellion","K1H","236.38","677","494",""
"Nicolas Leconte","K1H","236.91","432","498",""
"Flavien Portier","K1H","238.44","587","507",""
"Sylvain Georges","K1H","243.81","571","542",""
"Maxime Lignereux","K1H","244.78","498","548",""
"Aurelien Cosson","K1H","244.84","620","549",""
"Dominique Odile","K1H","245.96","489","556",""
"Maxime Beaulieu","K1H","246.59","216","560",""
"Philippe Beunon","K1H","246.69","610","561",""
"Florian Billat","K1H","247.94","700","569",""
"Simon Gaillardon","K1H","250.75","545","587",""
"Thierry Dugue","K1H","254.11","630","609",""
"Damien Goujard","K1H","257.34","739","630",""
"Simon Vaillant","K1H","258.09","267","635",""
"Maxime Bardieux","K1H","261.06","296","654",""
"Sullivan Kingsland","K1H","262.29","700","662",""
"Vincent Nicolosi","K1H","272.60","392","728",""
"Christophe Mitchell","K1H","275.20","434","745",""
"Jonathan Jouet","K1H","277.47","541","760",""
"Romain Treguier","K1H","286.57","589","819",""
"Victor Azam","K1H","Abs","-","-",""
"Flavien Odile","K1H","Abs","-","-",""
