"RELECTIF REGIONAL SLALOM - St Benoit - 2002-11-17","Course 1","2002-11-17","Régional","122"
"Erwan Desbordes","K1H","217.07","331","399",""
"Bodin Francois","K1H","217.43","576","401",""
"Merrant Yves Gabriel","K1H","217.89","-","404",""
"Kevin Lemenaheze","K1H","218.27","329","406",""
"Stephane Labouille","K1H","218.71","379","409",""
"Thibaud Rottier","K1H","220.77","-","422",""
"Ducom Mathieu","K1H","222.71","384","434",""
"Maelstaf Jeremy","K1H","223.34","-","438",""
"Pierre Dehaudt","K1H","224.45","425","445",""
"Lachenaud Jean","K1H","224.52","480","446",""
"Petit Joachim","K1H","225.25","507","450",""
"Pecheur Mathieu","K1H","225.57","458","452",""
"Desroches Pascal","K1H","226.19","-","456",""
"David Ravache","K1H","226.85","362","460",""
"Mandon Benoit","K1H","226.98","-","461",""
"Braud Sylvain","K1H","227.04","-","461",""
"Chasseloup Christophe","K1H","227.42","283","464",""
"Clement Praille","K1H","227.45","300","464",""
"Jean-noel Biteau","K1H","227.50","396","464",""
"Feuillet Etienne","K1H","232.56","-","496",""
"Fallou Etienne","K1H","236.53","547","521",""
"Xavier Flatreau","K1H","237.68","351","529",""
"Louis Cyril","K1H","237.88","-","530",""
"Damien Caillon","K1H","238.14","470","531",""
"Jaffray Erwan","K1H","238.99","580","537",""
"Duphil Thony","K1H","239.61","-","541",""
"Sinoir Mael","K1H","241.04","-","550",""
"Egreteau Thomas","K1H","242.16","-","557",""
"Duclos Maxime","K1H","242.49","-","559",""
"Proust Mickael","K1H","242.86","-","561",""
"David Peigne","K1H","243.57","-","566",""
"Olivier Tony","K1H","246.65","-","585",""
"Antoine Michaud","K1H","250.24","-","608",""
"Cassier Laurent","K1H","252.20","-","620",""
"Tristan Gaboriau","K1H","254.29","-","633",""
"Paul Storez","K1H","257.16","599","651",""
"Soulier David","K1H","260.26","608","671",""
"Mariaux Sebastien","K1H","272.60","-","749",""
"Pierrealexis Gabriel","K1H","276.85","601","776",""
"Dutilloy Jonas","K1H","277.48","-","780",""
"Barbotin Guillaume","K1H","278.24","-","784",""
"Rivet Martial","K1H","279.90","-","795",""
"Merzeau Michel","K1H","280.98","441","802",""
"Lionel Blank","K1H","284.97","496","827",""
"Rouger Gael","K1H","285.22","648","828",""
"Benoit Couturier","K1H","299.68","598","919",""
"Thibaud Soumagne","K1H","299.95","-","921",""
"Fayoux Pierrick","K1H","305.76","-","958",""
"Micouraud Yohan","K1H","307.11","-","966",""
"Clement Aubry","K1H","311.29","-","993",""
"Content Benjamin","K1H","315.50","715","1019",""
"Villard Benoit","K1H","318.61","-","1039",""
"Scheidt Edouard","K1H","321.88","-","1059",""
"Herve Launay","K1H","341.83","-","1185",""
"Clement Faure","K1H","352.26","-","1250",""
"Marcelly Kevin","K1H","407.67","-","1599",""
"Burgan Alexandre","K1H","438.87","-","1796",""
"Rekkab Aurelien","K1H","445.42","-","1837",""
"Muller Karel","K1H","477.17","-","2038",""
"Hauquin Maxime","K1H","485.10","-","2088",""
"Vanboktael Xavier","K1H","521.00","-","2314",""
"Menudier Clement","K1H","559.02","-","2554",""
"Carter Daniel Olivier","K1H","614.06","-","2901",""
"Moigne Kevin","K1H","652.47","-","3143",""
"Sedze Geoffrey","K1H","675.76","-","3290",""
"Gatinot Alexis","K1H","732.15","-","3644",""
"Dugast Mathieu","K1H","744.00","-","3719",""
