"Sélectif Régional de Slalom - Itxassou - Finale - 2016-10-02","Finale","2016-10-02","Régional","187"
"Hugo Mouffle","K1H","105.82","248.7","310.41","Finale A"
"Antoine Laye","K1H","105.83","310.37","310.54","Finale A"
"Jeremie Palazy","K1H","106.12","295.99","314.15","Finale A"
"Denis Delaleux","K1H","106.21","275.19","315.27","Finale A"
"Nicolas Saurat","K1H","106.52","338.55","319.14","Finale A"
"Fabien Paleau","K1H","107.24","368.56","328.11","Finale A"
"Theau Le Loch","K1H","108.5","320.74","343.81","Finale A"
"Jean Christophe Erdois","K1H","108.7","332.04","346.3","Finale A"
"Antonin Maystre","K1H","108.88","367","348.54","Finale A"
"Natan Brule","K1H","109.25","278.4","353.15","Finale A"
"Gael Adisson","K1H","110.59","318.04","369.85","Finale A"
"Raoul Colin","K1H","110.87","340.74","373.34","Finale A"
"Baptiste Lauroua","K1H","111.5","395.04","381.19","Finale A"
"Julien Delaleux","K1H","111.63","305.15","382.81","Finale A"
"Theo Moulia","K1H","112.09","383.71","388.54","Finale A"
"Thibault Clerc","K1H","113.09","380.13","401","Finale A"
"Vincent Lagrange","K1H","114.35","425.38","416.7","Finale A"
"Florian Giraud","K1H","114.81","384.83","422.44","Finale A"
"Martin Belliot","K1H","115.5","276.63","431.03","Finale A"
"Jeremy Rouchereau","K1H","119.29","384.54","478.26","Finale A"
"Tom Bouchardon","K1HM","106.05","280.67","313.28","Finale A"
"Mael Bernes","K1HM","113.48","513.86","405.86","Finale A"
"Adrien Mesmoudi","K1HM","114.95","360.37","424.18","Finale A"
"Fantin Delage-garez","K1HM","117.54","572.3","456.45","Finale A"
"Gedeon Cothias-faure","K1HM","119.41","590.7","479.75","Finale A"
"Etienne Saint Picq","K1HM","120.13","-","488.73","Finale A"
"Loris Shayam Affre","K1HM","122.21","512.19","514.65","Finale A"
"Tomy Dandonneau","K1HM","122.3","494.73","515.77","Finale A"
"Cedric Landreau","K1HM","123.3","594.34","528.23","Finale A"
"Pablo Chaminade","K1HM","124.25","527.05","540.07","Finale A"
"Baptiste San Nicolas","K1HM","126.21","656.43","564.49","Finale A"
"Tonin Desmet","K1HM","127.87","587.52","585.17","Finale A"
"Maxime Reubrez","K1HM","177.24","616.03","1200.36","Finale A"
"Oceane Baylacq","C1D","131.03","416.46","357.43","Finale B"
"CÉcilia Bourgeois","C1D","138.28","-","432.71","Finale B"
"Lea Baldoni","C1D","155.1","-","607.37","Finale B"
"Jules Bernardet","C1H","103.97","238.46","230.67","Finale B"
"Leo Dujourd'hui","C1H","115.92","408.97","372.48","Finale B"
"Theau Le Loch","C1H","117.1","391.9","386.49","Finale B"
"Clement Ravoteur","C1H","117.36","-","389.57","Finale B"
"Natan Brule","C1H","121.86","480.25","442.97","Finale B"
"Gauthier Beyneix","C1H","122.99","537.01","456.38","Finale B"
"Paul Commenges","C1H","124.58","-","475.26","Finale B"
"Nicolas Scharff","C1H","160.08","963.64","896.55","Finale B"
"Tonin Desmet","C1HM","143.32","-","697.65","Finale B"
"Julien Coric","C1HM","145.48","1138.46","723.28","Finale B"
"Alex Baldoni","C1HM","155.08","-","837.21","Finale B"
"Camille Santa Cruz","K1D","121.35","409.35","334.96","Finale B"
"Agathe Gewiss","K1D","123.48","410.38","358.45","Finale B"
"Laurence Pessoni","K1D","124.18","386.13","366.18","Finale B"
"Axelle Degremont","K1D","131.55","427.52","447.45","Finale B"
"Emmanuelle Monguillet","K1D","134.03","446","474.8","Finale B"
"Emma Angladette","K1D","135.92","553.54","495.63","Finale B"
"Clarisse Hoogland","K1D","137.85","572.04","516.92","Finale B"
"Jeanne Pecot","K1D","138.56","457.08","524.74","Finale B"
"Alice Pradalie","K1D","148.19","720.85","630.95","Finale B"
"Oihana Stockli","K1D","162.41","1108.06","787.75","Finale B"
"Selma Janami-ragu","K1D","172.65","-","900.67","Finale B"
"Youlia Estanguet","K1DM","136.79","797.17","505.23","Finale B"
"Pauline Rouilhet","K1DM","141.51","847.12","557.28","Finale B"
"Ariane Maestri","K1DM","147.93","708.18","628.07","Finale B"
"Noemie Pontaut","K1DM","154.18","-","696.99","Finale B"
"Aurore Poirot","K1DM","162.93","-","793.48","Finale B"
"Robin Vandenbossche","K1H","99.1","208.61","231.68","Finale B"
"Elliot Perez","K1H","106.44","385.57","323.14","Finale B"
"Pascal Dongarra","K1H","107.33","-","334.23","Finale B"
"Jonathan Suc","K1H","108.34","-","346.81","Finale B"
"Marc Sarramea","K1H","108.66","422.22","350.8","Finale B"
"Alois Bertrand","K1H","109.22","440.15","357.78","Finale B"
"Elian Giondini","K1H","110.04","440.77","368","Finale B"
"Loic Thibaut","K1H","110.16","382.15","369.49","Finale B"
"Mathias Rodrigues","K1H","110.36","349.69","371.98","Finale B"
"Theo Ducasse","K1H","110.5","364.18","373.73","Finale B"
"Patrick Clerc","K1H","111.36","357.05","384.45","Finale B"
"Florian Lafitte","K1H","112.14","-","394.16","Finale B"
"Loic Pierre","K1H","112.54","-","399.15","Finale B"
"Nicolas Corbin","K1H","112.6","363.73","399.9","Finale B"
"Pierre Cottereau","K1H","113.23","-","407.75","Finale B"
"Simon Metra","K1H","113.36","473.87","409.37","Finale B"
"Marc Cordier","K1H","115.15","339.21","431.67","Finale B"
"Theo Dunie","K1H","115.43","487.1","435.16","Finale B"
"Dylan Tonnellier","K1H","116.18","-","444.51","Finale B"
"Baptiste Riviere","K1H","116.77","492.65","451.86","Finale B"
"Pierre Adrien Plantion","K1H","118.52","473.02","473.66","Finale B"
"Yoan Dalla Longa","K1H","119.02","-","479.9","Finale B"
"Robin Genty","K1H","119.72","501.3","488.62","Finale B"
"Compton Cruickshank","K1H","122.32","542.87","521.02","Finale B"
"Leo Dujourd'hui","K1H","122.36","-","521.51","Finale B"
"Pierre Gaydier","K1H","122.38","457.65","521.76","Finale B"
"Antonin Beyneix","K1H","123.21","530.14","532.11","Finale B"
"Nicolas Neveu","K1H","124.72","442.64","550.92","Finale B"
"Lucas Mauer","K1H","125.08","559.53","555.41","Finale B"
"Robin Mougel","K1H","125.75","490.03","563.76","Finale B"
"Arthur Accini","K1H","126.42","627.36","572.11","Finale B"
"Alexis Goussebayle","K1H","127.56","-","586.31","Finale B"
"Luc Monpouillan","K1H","130.26","810.46","619.95","Finale B"
"Jean Luc Pessoni","K1H","132.81","654.57","651.73","Finale B"
"Bruno Oteiza","K1H","133.03","681.37","654.47","Finale B"
"Camille Poirot","K1H","134.07","629.12","667.43","Finale B"
"Renaud Clerc","K1H","134.08","662.06","667.55","Finale B"
"Tom Gonzales","K1H","136.26","634.95","694.72","Finale B"
"Guillaume Dufau","K1H","144.76","1023.22","800.64","Finale B"
"David Acero Blondin","K1H","147.42","1629.14","833.78","Finale B"
"Matthieu Desbons","K1H","149.58","-","860.7","Finale B"
"Nicolas Peyroux","K1H","162.47","1275.4","1021.32","Finale B"
"Mattin Larronde","K1H","364.24","-","3535.53","Finale B"
"Angus Cruickshank","K1HM","118.12","502.09","468.68","Finale B"
"Julien Dubarry","K1HM","124.37","724.77","546.56","Finale B"
"Julien Doumecq","K1HM","125.9","649.25","565.63","Finale B"
"Baptiste Delemotte","K1HM","126.72","732.67","575.84","Finale B"
"Paul Gobert","K1HM","133.41","711.75","659.21","Finale B"
"Matt Vidou","K1HM","134.87","727.58","677.4","Finale B"
"Alex Baldoni","K1HM","135.16","-","681.01","Finale B"
"Romain Guichet","K1HM","138.91","-","727.74","Finale B"
"Romain Cadiot","K1HM","140.1","908.72","742.57","Finale B"
"Gabin Allard","K1HM","144.92","890.01","802.63","Finale B"
"Leo Metro","K1HM","155.65","1199.86","936.33","Finale B"
"Julien Coric","K1HM","161.87","790.26","1013.84","Finale B"
