"Manche Coupe de France N1 - Metz - Finale - 2014-04-05","Finale","2014-04-05","Nationale 1","170"
"Ludovic Di Nisi","K1H","96.14","19.9","123.33","Finale A"
"Alexandre Dherbilly","K1H","96.81","72.96","129.65","Finale A"
"James Duvernoy","K1H","97.88","81.2","139.73","Finale A"
"Pol Oulhen","K1H","97.92","70.67","140.11","Finale A"
"Gael Prodeau","K1H","98.38","80.88","144.45","Finale A"
"Antoine Launay","K1H","138.02","38.7","518.2","Finale A"
"Samuel Hernanz","K1H","139.61","33.9","533.19","Finale A"
"Mathieu Doby","K1H","191.97","22.9","1026.86","Finale A"
"Laura Ligeon","C1D","122.87","169.8","187.28","Finale B"
"Ella Bregazzi","C1D","123.46","168.63","191.9","Finale B"
"Anne-lise Moisan-ehrwein","C1D","124.14","262.24","197.25","Finale B"
"Margaux Henry","C1D","127.55","190.03","224.05","Finale B"
"Claire Landrin","C1D","130.78","201.7","249.42","Finale B"
"Laurine Naveau","C1D","131.25","168.85","253.11","Finale B"
"Azenor Philip","C1D","147.37","328.16","379.77","Finale B"
"Lisa Robin","C1D","150.7","268.58","405.93","Finale B"
"Thomas Koechlin","C1H","94.36","95.02","69.18","Finale B"
"Jean Freri","C1H","96.74","81.27","90.55","Finale B"
"Yann Rivallant","C1H","99.85","107.11","118.48","Finale B"
"Kilian Foulon","C1H","99.97","37.74","119.56","Finale B"
"Jean Pierre Bourhis","C1H","103.53","98.07","151.52","Finale B"
"Yann Basille","C1H","104.15","147.09","157.09","Finale B"
"Lucas Roisin","C1H","104.9","128.27","163.82","Finale B"
"Jason Brothier","C1H","106.26","131.34","176.04","Finale B"
"Liam Jegou","C1H","106.57","94.24","178.82","Finale B"
"Antoine Gaillard","C1H","107.07","167.8","183.31","Finale B"
"Charly Chassigneux","C1H","107.41","105.46","186.36","Finale B"
"Antoine Roux","C1H","107.86","105.85","190.41","Finale B"
"Baptiste Le Poncin","C1H","107.86","177.1","190.41","Finale B"
"Gaetan Le Henaff","C1H","108.87","167.02","199.48","Finale B"
"Nathan Rene Corail","C1H","109.66","202.55","206.57","Finale B"
"Charles Dampeyrou","C1H","110.84","167.33","217.16","Finale B"
"Gael Le Noc","C1H","113.8","185.93","243.74","Finale B"
"Guillaume Le Bourdonnec","C1H","115.8","128.53","261.7","Finale B"
"Pierre Labarelle","C1H","148.71","40.8","557.22","Finale B"
"Kevin Marquais","C1H","158.97","133.49","649.35","Finale B"
"Antoine Roux-Gurgen Brun","C2H","108.25","129.9","149.72","Finale B"
"Lucas Roisin-Guillaume Graille","C2H","111.77","223.58","179.89","Finale B"
"Basile Desclos-Victor Desclos-le Peley","C2H","122.12","273.35","268.61","Finale B"
"Antoine Gaillard-Sebastien Nouvel","C2H","127.68","273.82","316.27","Finale B"
"Axel Kournwsky-Adrien Maire","C2H","132.8","305.78","360.15","Finale B"
"Jimy Bercon-Marc Biazizzo","C2H","155.46","58.7","554.38","Finale B"
"Jeremy Cremonesi-Mathieu Voyemant","C2H","160.57","112.01","598.18","Finale B"
"Thomas Schmitt-Yann Rivallant","C2H","169.92","118.98","678.32","Finale B"
"Nicolas Coudert-Yann Le Govic","C2H","Nt","-","-","Finale B"
"Jonathan Chapatte-Sebastien De Kerleau","C2H","Nt","-","-","Finale B"
"Margaux Henry","K1D","106.83","72.16","113.24","Finale B"
"Maria Ferekidi","K1D","107.18","77.76","116.16","Finale B"
"Laura Combot","K1D","107.2","71.44","116.33","Finale B"
"Melanie Ragaru","K1D","109.9","77.02","138.86","Finale B"
"Lucie Prioux","K1D","110.47","101.38","143.61","Finale B"
"Suzon Broute","K1D","112.52","148.48","160.72","Finale B"
"Caroline Bourry","K1D","112.72","87.15","162.39","Finale B"
"Nelly Tornare","K1D","113.51","128.95","168.97","Finale B"
"Heloise Geffray","K1D","116.28","176.23","192.09","Finale B"
"Marine Leveque","K1D","116.75","127","196.02","Finale B"
"Joana Palermo","K1D","116.82","116.86","196.6","Finale B"
"Joey Bercon","K1D","117.62","144.7","203.27","Finale B"
"Marjorie Delassus","K1D","122.52","201.55","244.16","Finale B"
"Marine Schmitt","K1D","123.61","145.05","253.25","Finale B"
"Lea Turmeau","K1D","263.2","220.44","1417.96","Finale B"
"Goulwen Chapelier","K1H","88.67","53.56","57.9","Finale B"
"Boris Chenal","K1H","89.86","70.37","69.12","Finale B"
"Mathurin Madore","K1H","90.49","80.94","75.06","Finale B"
"Samuel Lhegu","K1H","90.93","74.52","79.21","Finale B"
"Enrick Cunsolo","K1H","91.14","38.97","81.19","Finale B"
"Quentin Mignard","K1H","91.4","59.85","83.64","Finale B"
"Jonas Turmeau","K1H","92.98","82.87","98.53","Finale B"
"Jonathan Chapatte","K1H","93.98","109.7","107.96","Finale B"
"Thomas Schmitt","K1H","94.01","72.2","108.25","Finale B"
"Andy Pajani","K1H","94.14","84.8","109.47","Finale B"
"Nicolas Abbal","K1H","95","52.94","117.58","Finale B"
"Fabien Tournadre","K1H","96.96","133.58","136.06","Finale B"
"Theo Quenouillere","K1H","97.33","137.32","139.55","Finale B"
"Tom Scianimanico","K1H","97.57","50.9","141.81","Finale B"
"Nicolas Baudoin","K1H","97.63","90.08","142.38","Finale B"
"Clement Travert","K1H","97.79","97.53","143.89","Finale B"
"Benjamin Jacon","K1H","98.08","118.46","146.62","Finale B"
"Guillaume Graille","K1H","98.33","101.94","148.98","Finale B"
"Pol Euzenes","K1H","98.61","113.97","151.62","Finale B"
"Maxime Tilhet","K1H","98.72","116.6","152.65","Finale B"
"Jonathan Delagnes","K1H","99.48","81.24","159.82","Finale B"
"Bryan Seiler","K1H","99.8","104.35","162.84","Finale B"
"Benjamin Thiboust","K1H","100.56","90.2","170","Finale B"
"Aubry Bertin","K1H","101.27","89.74","176.7","Finale B"
"Gurgen Brun","K1H","101.45","73.01","178.39","Finale B"
"Vincent Ablin","K1H","103.91","146.24","201.59","Finale B"
"Quentin Bove","K1H","144.09","66.77","580.43","Finale B"
"Malo Quemeneur","K1H","145.87","115.77","597.21","Finale B"
"William Desnos","K1H","147.34","56.16","611.07","Finale B"
"Mathieu Douillet","K1H","208.98","112.06","1192.24","Finale B"
