"Coupe de France N1 - Pau - 4ème Manche - 2002-04-21","4ème Manche","2002-04-21","Nationale 1","135"
"Arnaud Lapeze","K1H","197.23","80","87",""
"Thomas Jean Pascal","K1H","197.50","77","88",""
"Le Calve Yann","K1H","197.63","77","88",""
"Estanguet Aldric","K1H","197.79","53","89",""
"Pierre Pans","K1H","198.75","85","93",""
"Julien Dosse","K1H","199.53","73","96",""
"Frederic Walczak","K1H","200.06","60","98",""
"Bernis Camille","K1H","200.26","80","99",""
"Thibaud Delaunay","K1H","200.65","85","101",""
"Matthieu Le Gall","K1H","200.75","84","101",""
"Mathieu Doby","K1H","200.83","54","101",""
"Davy Egraz","K1H","200.97","76","102",""
"Piquard Gregoire","K1H","201.03","81","102",""
"Millet Francois","K1H","201.42","114","104",""
"Leproult Jonathan","K1H","201.94","144","106",""
"Roger Jeremie","K1H","202.14","97","106",""
"Jean Christophe Boivin","K1H","202.19","94","106",""
"Guillaume Picco","K1H","202.90","112","110",""
"Damien Laborde","K1H","203.01","74","110",""
"Julien Arribe","K1H","203.54","82","112",""
"Samuel Hernanz","K1H","207.45","137","127",""
"Charles Edouard Dherment","K1H","207.46","98","128",""
"Bluy Alexandre","K1H","209.75","90","137",""
"Grandemange Jeanleonard","K1H","209.91","148","137",""
"Nicolas Labat","K1H","209.93","160","138",""
"Boris Neveu","K1H","210.39","154","139",""
"Junquet Fabien","K1H","210.79","-","141",""
"Alexandre Schall","K1H","212.45","151","148",""
"Zoungrana Sebastien","K1H","212.98","151","150",""
"Loris Minvielle","K1H","252.47","68","307",""
"Sebastien Halilou","K1H","257.68","142","328",""
"Jean Charles Creusot Walter","K1H","262.55","120","348",""
