"SELECTIF REGIONAL SLALOM FOIX - Rebech Foix - 2003-12-21","Course 1","2003-12-21","Régional","112"
"Remy Faucon","K1H","227.32","250","243",""
"Verchere Thibault","K1H","228.35","260","248",""
"Colin Molinier","K1H","228.42","205","249",""
"Florent Boulet","K1H","229.12","173","252",""
"Paul Storez","K1H","230.52","305","261",""
"Canovas Cedric","K1H","231.16","-","264",""
"Hugo Biso","K1H","233.29","-","276",""
"Jonathan Delagnes","K1H","235.76","300","289",""
"Delahaie Emmanuel","K1H","236.32","291","292",""
"Benjamin Reig","K1H","236.45","243","293",""
"Boutonnet Bastien","K1H","237.65","362","300",""
"Louis Georges Lafont","K1H","238.60","243","305",""
"Boris Lesimple","K1H","238.63","259","306",""
"Processe Christian","K1H","238.71","-","306",""
"Benjamin Wagner","K1H","240.93","303","319",""
"Manuel Legros","K1H","242.55","284","327",""
"Franck Guarderia","K1H","242.85","-","329",""
"Francois Giondini","K1H","243.76","251","334",""
"Chasseloup Christophe","K1H","246.85","252","351",""
"Picco Pierre","K1H","248.22","-","358",""
"Capietto Louis","K1H","251.29","406","376",""
"Eftekhari Boris","K1H","254.85","443","395",""
"Coldebella Mathieu","K1H","254.95","441","396",""
"Hugues Lesimple","K1H","255.64","346","400",""
"Valerian Boulet","K1H","255.79","346","400",""
"Martinez-Arconada Armel","K1H","258.86","488","418",""
"Roso Emilien","K1H","260.80","359","429",""
"Pierre Moreau","K1H","261.03","-","430",""
"Kraemer Nicolas","K1H","262.46","485","438",""
"Tony Deshayes","K1H","265.64","351","455",""
"Lay Matthieu","K1H","271.68","440","489",""
"Audier Fabrice","K1H","273.00","477","496",""
"Delpeyroux Pierre","K1H","273.58","641","499",""
"Dal Castello Benoit","K1H","274.45","-","504",""
"Guillaume Wyart","K1H","274.70","520","505",""
"Sapede Sylvain","K1H","277.60","-","522",""
"Jean Luc Pessoni","K1H","278.51","458","527",""
"Bastien Seger","K1H","280.23","-","537",""
"Sylvain Mendez","K1H","282.42","533","548",""
"Nicolas Neveu","K1H","284.70","-","561",""
"Paradowski Quentin","K1H","285.31","-","565",""
"Lois Desroches","K1H","290.51","667","593",""
"Peyre Maxime","K1H","297.09","674","630",""
"Terret Cedric","K1H","297.92","-","634",""
"Cassagne Geoffroy","K1H","301.31","579","653",""
"Adisson Marc","K1H","303.19","799","664",""
"Denjean Frederic","K1H","306.55","-","683",""
"Denjean Patrice","K1H","306.93","-","685",""
"Lebeau Roland","K1H","307.09","563","686",""
"Saüt Bertrand","K1H","309.16","699","697",""
"Heime Ludovic","K1H","347.23","-","908",""
"Thomas Wingerter","K1H","353.54","826","944",""
"Thomas Dauvet","K1H","364.35","836","1004",""
"Viallon Hugo","K1H","378.65","496","1082",""
"Lafenetre Joris","K1H","444.56","1300","1449",""
"Tom Bar","K1H","488.05","-","1690",""
