"Sélectif Régional Slalom (Double) - Nancy - Course n°2 | Finale - 2018-04-22","Course n°2 | Finale","2018-04-22","Régional","139"
"Angelique Guilcher","K1D","102.93","282.09","283.92","Course n°2 | Finale A"
"Axelle Armanini","K1D","108.54","308.88","351.26","Course n°2 | Finale A"
"MaÏa Gombert","K1D","109","337.79","356.78","Course n°2 | Finale A"
"Sophie Colbus","K1D","109.51","235.31","362.9","Course n°2 | Finale A"
"Margot Perrin","K1D","110.4","324.97","373.58","Course n°2 | Finale A"
"Celia Grandadam","K1D","111.6","254.53","387.98","Course n°2 | Finale A"
"Julia Budzinski","K1D","112.32","362.96","396.63","Course n°2 | Finale A"
"Mylene Guilcher","K1D","117.85","422.05","463","Course n°2 | Finale A"
"Maude Dominique","K1D","124.91","569.25","547.74","Course n°2 | Finale A"
"Agathe Caillet","K1D","131.32","524.95","624.67","Course n°2 | Finale A"
"Fiona Gille","K1D","245.13","481.95","1990.66","Course n°2 | Finale A"
"Jade Robin","K1D","Abd","-","-","Course n°2 | Finale A"
"Zoe Laurent","K1DM","126.35","427.75","565.02","Course n°2 | Finale A"
"Mae Bianco","K1DM","126.64","453.77","568.5","Course n°2 | Finale A"
"Marion Gillet","K1DM","136.7","486.55","689.24","Course n°2 | Finale A"
"Gelindo Chiarello","K1H","86.44","242.59","220.88","Course n°2 | Finale A"
"Jean Charles Hacquart","K1H","88.43","224.89","247.87","Course n°2 | Finale A"
"Lucas Galmiche","K1H","89.21","169.56","258.45","Course n°2 | Finale A"
"Joris Schaffner","K1H","90.97","211.5","282.32","Course n°2 | Finale A"
"Johan De Mareuil","K1H","91.85","200.3","294.25","Course n°2 | Finale A"
"Jules Andrien","K1H","92","348.37","296.29","Course n°2 | Finale A"
"Erwan Rouch","K1H","92.81","218.28","307.27","Course n°2 | Finale A"
"Baptiste Podor","K1H","93.8","280.06","320.7","Course n°2 | Finale A"
"Nicolas Mangeolle","K1H","94.73","270.93","333.31","Course n°2 | Finale A"
"Paul Bostoen","K1H","96.58","329.17","358.4","Course n°2 | Finale A"
"Silvere Desongins","K1H","96.79","244.25","361.25","Course n°2 | Finale A"
"Otello Willmann Rosso","K1H","97.89","234.5","376.17","Course n°2 | Finale A"
"Pitt Rohrer","K1H","98.29","327.06","381.59","Course n°2 | Finale A"
"Loic Trenchant","K1H","98.4","351.01","383.09","Course n°2 | Finale A"
"Anthony Rouhier","K1H","99.31","316.46","395.43","Course n°2 | Finale A"
"Thomas Stutzmann","K1H","100.93","465.69","417.4","Course n°2 | Finale A"
"Loric Bertrand Delorme","K1H","102","250.31","431.91","Course n°2 | Finale A"
"Leo Collard","K1H","102.04","326.87","432.46","Course n°2 | Finale A"
"Paul Frommer","K1H","102.41","386.63","437.47","Course n°2 | Finale A"
"Guerlain Robin","K1H","102.58","383","439.78","Course n°2 | Finale A"
"Jorg Blees","K1H","102.61","391.09","440.19","Course n°2 | Finale A"
"Maxime Aubertin","K1H","102.86","280.27","443.58","Course n°2 | Finale A"
"Christophe Siffert","K1H","102.96","415.26","444.93","Course n°2 | Finale A"
"Florient Tagnon","K1H","104.59","247.17","467.04","Course n°2 | Finale A"
"Matthieu Koffel","K1H","106.89","426.78","498.23","Course n°2 | Finale A"
"Pierre Biagui","K1H","107.62","358.6","508.14","Course n°2 | Finale A"
"Patrice Campioni","K1H","107.85","321.63","511.25","Course n°2 | Finale A"
"LoÏc Winiarski","K1H","107.96","218.97","512.75","Course n°2 | Finale A"
"Antoine Pas","K1H","109.89","406.84","538.92","Course n°2 | Finale A"
"Simon Munch","K1H","110.02","398.93","540.69","Course n°2 | Finale A"
"Alexis Sevrez","K1H","112.67","480.26","576.63","Course n°2 | Finale A"
"Gael Ettwiller","K1H","124.06","522.93","731.11","Course n°2 | Finale A"
"Benjamin Dodane","K1H","146.09","209.5","1029.89","Course n°2 | Finale A"
"Yann Zaepffel","K1H","158.19","292.41","1194","Course n°2 | Finale A"
"Nathan Frison","K1HM","111.88","472.53","565.91","Course n°2 | Finale A"
"Oskar Hillion","K1HM","115.8","468.2","619.08","Course n°2 | Finale A"
"Louis Guggenbuhl","K1HM","121.22","921.77","692.59","Course n°2 | Finale A"
"Theo Reby","K1HM","215.92","338.96","1976.98","Course n°2 | Finale A"
"Margaux Barbier","C1D","Abd","-","-","Course n°2 | Finale B"
"Patrice Campioni","C1H","112.27","393.93","503.7","Course n°2 | Finale B"
"Antonin Robert","C1H","115.73","501.45","548.38","Course n°2 | Finale B"
"Bastien Caillet","C1H","117.97","840.66","577.31","Course n°2 | Finale B"
"Alexis Sevrez","C1H","121.54","613.9","623.43","Course n°2 | Finale B"
"Michel Bert","C1H","125.76","421.43","677.94","Course n°2 | Finale B"
"Angelino Castagnetti","C1H","130.36","489.96","737.35","Course n°2 | Finale B"
"Oscar Pasteur","C1H","149.05","847.86","978.77","Course n°2 | Finale B"
"Antoine Leroy","C1H","168.21","1150.49","1226.26","Course n°2 | Finale B"
"Simon Munch","C1H","271.81","568.23","2564.46","Course n°2 | Finale B"
"Vincent Chamois","C1H","541.43","943.47","6047.11","Course n°2 | Finale B"
"Alexandre L'huillier","C1H","Abd","-","-","Course n°2 | Finale B"
"Lou-anne Cointin","K1D","121.95","455.54","517.2","Course n°2 | Finale B"
"Lucille Meunier-cheyssac","K1D","125.49","482.85","559.7","Course n°2 | Finale B"
"Charlotte Doucet","K1D","134.54","789.79","668.32","Course n°2 | Finale B"
"Maurine Laugel","K1D","156.31","470.67","929.61","Course n°2 | Finale B"
"Emilie Ballan","K1D","186.7","839.71","1294.36","Course n°2 | Finale B"
"Ludivine Jeanray","K1D","220.74","826.49","1702.93","Course n°2 | Finale B"
"Margaux Cornet","K1D","250.73","788.7","2062.88","Course n°2 | Finale B"
"Heloise Stemmelen","K1D","342.61","823.52","3165.67","Course n°2 | Finale B"
"Camila Wagner","K1D","Abd","-","-","Course n°2 | Finale B"
"Perrine Venot","K1D","Abd","-","-","Course n°2 | Finale B"
"Audrey Masson","K1D","Abd","-","-","Course n°2 | Finale B"
"Carole Dolmaire","K1D","Abd","-","-","Course n°2 | Finale B"
"Alyssa Lhomme","K1DM","147.76","513.89","826.99","Course n°2 | Finale B"
"Jerome Olhagaray","K1H","95.28","228.31","345.77","Course n°2 | Finale B"
"Aurelien Merieux Danneaux","K1H","100.1","338.99","411.14","Course n°2 | Finale B"
"Antonin Robert","K1H","100.41","316.86","415.35","Course n°2 | Finale B"
"Louis Gasser","K1H","101.69","410.41","432.71","Course n°2 | Finale B"
"Vincent Idriss Achaoui","K1H","101.89","375.3","435.42","Course n°2 | Finale B"
"Leonard Painteaux","K1H","102.2","415.7","439.63","Course n°2 | Finale B"
"Florent Tamburini","K1H","103.8","404.54","461.33","Course n°2 | Finale B"
"Louis Sibille","K1H","104.92","484.68","476.52","Course n°2 | Finale B"
"Theo Beucler","K1H","106.7","456.81","500.66","Course n°2 | Finale B"
"Tanguy Malingre","K1H","106.84","369.22","502.56","Course n°2 | Finale B"
"Matthieu Walfard","K1H","107.09","355.18","505.95","Course n°2 | Finale B"
"Alexandre L'huillier","K1H","110.36","564.66","550.3","Course n°2 | Finale B"
"Antoine Leroy","K1H","116.67","505.32","635.88","Course n°2 | Finale B"
"Julien Michelin","K1H","117.61","734.25","648.63","Course n°2 | Finale B"
"Vincent Morabito","K1H","118.62","547.07","662.33","Course n°2 | Finale B"
"Guillaume Cochut","K1H","120.05","479.46","681.72","Course n°2 | Finale B"
"Thomas Descotes","K1H","122.52","438.75","715.22","Course n°2 | Finale B"
"Philippe Koffel","K1H","128.03","486.72","789.95","Course n°2 | Finale B"
"Oscar Pasteur","K1H","128.17","530.5","791.85","Course n°2 | Finale B"
"Loic Schmit","K1H","132.56","772.3","851.39","Course n°2 | Finale B"
"Mehdi Moussaid","K1H","133.26","605.51","860.88","Course n°2 | Finale B"
"Hugo Ronseaux - Dury","K1H","137.79","764.96","922.32","Course n°2 | Finale B"
"Christophe Leone","K1H","140.41","1298.28","957.86","Course n°2 | Finale B"
"Leo Hauck","K1H","141.04","919.65","966.4","Course n°2 | Finale B"
"Theo Lejeune","K1H","147.65","905.67","1056.05","Course n°2 | Finale B"
"Loic Merat","K1H","157.68","791.08","1192.09","Course n°2 | Finale B"
"Flavien Portier","K1H","166.53","500.87","1312.12","Course n°2 | Finale B"
"Robin Giurlando","K1H","176.07","666.31","1441.5","Course n°2 | Finale B"
"Anthony Menissier","K1H","178.89","512.61","1479.75","Course n°2 | Finale B"
"Leo Bayard","K1H","197.81","755.29","1736.36","Course n°2 | Finale B"
"Victor Hirschmann-rodriguez","K1H","205.91","1064.61","1846.22","Course n°2 | Finale B"
"Camille Leroy","K1H","210.38","4250.05","1906.84","Course n°2 | Finale B"
"Sebastian Militaru","K1H","221.07","984.03","2051.83","Course n°2 | Finale B"
"Hugo Monasse","K1HM","94.88","342.58","340.35","Course n°2 | Finale B"
"Maxime Devis","K1HM","117.98","568.01","653.64","Course n°2 | Finale B"
"Nicolas Bougnon","K1HM","133.74","708.28","867.39","Course n°2 | Finale B"
"Max Cantenot","K1HM","206.65","1371.85","1856.25","Course n°2 | Finale B"
