"SELECTION N2 DE CERGY - Cergy Neuville - 2006-02-19","Course 1","2006-02-19","Nationale 2","192"
"Jerome Olhagaray","K1H","204.63","148","155",""
"Emmanuel Walczak","K1H","204.77","155","156",""
"Antoine Egreteau","K1H","204.92","138","156",""
"Ludovic Di Nisi","K1H","205.18","185","158",""
"Laurent Rigaud","K1H","205.29","124","159",""
"Nicolas Carduner","K1H","205.52","181","159",""
"Lionel Tinevez","K1H","205.54","150","159",""
"Nicolas Veillard","K1H","205.55","98","159",""
"Nicolas Abbal","K1H","205.76","230","160",""
"Bourgeois Cedric","K1H","206.37","133","164",""
"Pierre Marie Roussel","K1H","206.81","132","165",""
"Franck Dessaint","K1H","206.94","227","166",""
"Andy Pajani","K1H","207.07","153","167",""
"Lemaire Maxime","K1H","207.11","157","167",""
"Ricci Miege Raphael","K1H","207.24","159","168",""
"Sylvain Herrbach","K1H","207.36","161","168",""
"Erwan Le Pen","K1H","207.50","187","169",""
"Frederic Castryck","K1H","207.80","208","171",""
"Alain Droniou","K1H","207.96","209","172",""
"Olivier Machiels","K1H","208.18","196","172",""
"Fontaine Damien","K1H","208.21","133","172",""
"Paul Brier","K1H","208.48","129","174",""
"Fabien Tournadre","K1H","208.52","149","174",""
"Jeremy Poux","K1H","208.59","201","175",""
"Arthur Georges","K1H","209.53","145","179",""
"Kevin Burgi","K1H","210.30","233","183",""
"Mehdi Amini","K1H","210.36","178","184",""
"Thomas Rosset","K1H","210.58","167","185",""
"Christophe Siffert","K1H","210.58","161","185",""
"Vincent Reiter","K1H","210.87","179","186",""
"Nicolas Ciemniewski","K1H","210.98","158","186",""
"Pascal Ferry","K1H","211.56","177","190",""
"Lebourgeois Alexis","K1H","212.05","198","191",""
"Beaudoin Fabien","K1H","212.23","161","192",""
"Guillaume Huppert","K1H","212.26","218","193",""
"Pascal Poitiers","K1H","212.39","210","193",""
"Jeanluc Nitard","K1H","212.80","237","196",""
"Olivier Blanc","K1H","212.81","147","196",""
"Brieuc Cadic","K1H","213.29","180","198",""
"Thibaud Rottier","K1H","213.32","208","198",""
"Emile Devaux","K1H","213.76","169","200",""
"Maubourguet Mathias","K1H","214.11","203","202",""
"Philippe Daumont","K1H","214.20","202","203",""
"Franck Peyrical","K1H","214.54","205","204",""
"Christophe Le Mercier","K1H","215.18","185","207",""
"Manuel Coquelin","K1H","215.34","186","208",""
"Antoine Lebastard","K1H","215.70","182","210",""
"Regis Cabel","K1H","215.77","218","211",""
"Aurel Sebastien","K1H","215.91","211","211",""
"Menager Vincent","K1H","216.07","163","212",""
"Mathieu Godin","K1H","216.67","184","215",""
"Dardilhac Anthony","K1H","216.86","115","216",""
"Lucas Kelifaoui","K1H","217.72","193","220",""
"Sebastien Racault","K1H","217.90","231","221",""
"Florian Perenchio","K1H","219.30","218","228",""
"Childeric Thoreau","K1H","219.54","152","230",""
"Cozigou Edouard","K1H","219.58","255","230",""
"Martelet Romain","K1H","221.09","235","237",""
"Alain Ferry","K1H","221.86","236","241",""
"Pierre Baux","K1H","222.74","221","245",""
"Gilles Flores","K1H","222.89","235","246",""
"Schaller Tobia","K1H","222.90","216","246",""
"Anthony Cadoret","K1H","223.10","194","247",""
"Emmanuel Cosse","K1H","223.31","207","248",""
"Thibaud Kudla","K1H","223.76","228","250",""
"Nicolas Mangeolle","K1H","224.34","220","253",""
"Nivel Cyril","K1H","226.95","192","266",""
"Guillaume Bandelier","K1H","227.53","170","269",""
"Jean-francois Souville","K1H","229.83","199","281",""
"Sullivan Porcher","K1H","247.50","106","369",""
"Coiffe Florion","K1H","250.86","131","386",""
"Gwenael Marquer","K1H","282.37","193","543",""
