"Sélectif Régional - Bertrand - Cessenon sur ORB - 2009-10-04","Course 1","2009-10-04","Régional","129"
"Benoit Morand","K1H","115.49","-","406",""
"Ludovic Smal","K1H","116.39","296","416",""
"Alexis Cordier","K1H","118.42","-","439",""
"Alexis Reigne","K1H","119.60","559","451",""
"Ronan Cordier","K1H","121.38","-","471",""
"Frederic Bordier","K1H","124.21","457","503",""
"Galaad Pereyron","K1H","125.52","1816","517",""
"Florian Aubrespy","K1H","127.95","-","544",""
"Vincent Pitarch","K1H","128.56","-","551",""
"Florent Moray","K1H","129.56","-","562",""
"Sylvain Runel-paulhan","K1H","130.62","-","574",""
"Ludovic Pedrero","K1H","131.99","-","589",""
"Guillaume Gonzalez","K1H","132.21","519","592",""
"Mathieu Lions","K1H","136.36","573","637",""
"Gauthier Vanden  Abeele","K1H","139.74","710","675",""
"Guillaume Affortit","K1H","142.35","-","704",""
"Henrique Almeida","K1H","142.76","-","709",""
"Cedric Cordone","K1H","147.32","682","759",""
"Vincent Garcia","K1H","156.67","-","863",""
"Dylan Fortune","K1H","166.97","-","977",""
"Camille Chaper","K1H","176.72","-","1085",""
"Ben Duwyn","K1H","209.50","-","1449",""
"Aurelien Fualdes","K1H","226.03","-","1633",""
"Yoan Bouchardon","K1H","230.86","-","1686",""
"Herve Valentin","K1H","262.30","-","2035",""
"Victor Pietrocola","K1H","295.71","-","2405",""
"Pierre Bouisson","K1H","Nt","-","-",""
"Pierre Chaleyer","K1H","Nt","-","-",""
"Selim Sebti","K1H","Nt","-","-",""
"Ronan Lecouturier","K1H","Nt","-","-",""
