"Sélectif Régional de Slalom - Conde Sur Vire - Finale - 2018-01-21","Finale","2018-01-21","Régional","163"
"Thibaut Jumetz","K1H","144.9","711.04","925.41","Finale B"
"Geoffroy Lauth","K1H","148.55","777.58","972.97","Finale B"
"Loic Perennes","K1H","155.37","1134.63","1061.84","Finale B"
"Thomas Leblond","K1H","157.11","1206.45","1084.51","Finale B"
"Leo Tellier","K1H","159.11","894.94","1110.58","Finale B"
"Thomas Brunet","K1H","162.71","932.9","1157.49","Finale B"
"Killian Errot","K1H","164.43","1010.36","1179.9","Finale B"
"Andy Bouleux","K1H","166.67","1470.91","1209.09","Finale B"
"Brice Langlois","K1H","172.65","1032","1287.01","Finale B"
"Jacky Bachelot","K1H","456.24","1326.91","4982.37","Finale B"
"Justin Collemiche","K1HM","140.9","744.67","873.29","Finale B"
"Noe Boudinel","K1HM","141.25","910.35","877.85","Finale B"
"Yunis Delahaye","K1HM","142.02","1582.1","887.88","Finale B"
"Sacha Borderie","K1HM","150.96","1054.48","1004.38","Finale B"
"Tom Raynaud","K1HM","223.71","933.21","1952.35","Finale B"
"Tao Lamblin","K1HM","307.96","1739.67","3050.19","Finale B"
