"SELECTIF REGIONAL DE MOUTIERS - Moutiers - 2001-09-23","Course 1","2001-09-23","Régional","176"
"Millet Francois","K1H","166.56","-","165",""
"Bruno Madier","K1H","166.65","132","166",""
"Mugnier Julien","K1H","166.76","-","166",""
"Muller Aurelien","K1H","167.73","195","174",""
"Despax Cedric","K1H","168.66","147","181",""
"Bertrand Bercon","K1H","169.51","159","188",""
"Nivel Cyril","K1H","169.71","137","189",""
"Sebastien Lepaulard","K1H","170.82","162","198",""
"Echivard Sebastien","K1H","171.63","-","204",""
"Demange Marc","K1H","172.76","257","212",""
"Saint Girons Thomas","K1H","173.25","157","216",""
"Medjeberg Jeremy","K1H","173.53","174","218",""
"Guillaume Provost","K1H","174.95","268","229",""
"Bertrand Dubiez","K1H","175.18","241","231",""
"Julien Beltrami","K1H","175.7","238","235",""
"Nadal Benoit","K1H","176.42","280","240",""
"Kevine Cliquet","K1H","176.51","291","241",""
"Olivier Hardonniere","K1H","176.56","259","241",""
"Palix Lorin","K1H","178.11","231","253",""
"Luc Doye","K1H","178.84","244","259",""
"Bertrand Lamy","K1H","179.35","271","263",""
"Renaud Doby","K1H","179.89","279","267",""
"Benjamin Buys","K1H","180.01","225","268",""
"Ballini Yoann","K1H","180.24","-","270",""
"Renaud Metereau","K1H","181.63","330","280",""
"Echivard Laurent","K1H","181.92","-","282",""
"Boris Lutinier","K1H","182.31","299","285",""
"Berthiaud Gregory","K1H","184.63","238","303",""
"Ferrandon Damien","K1H","184.64","-","303",""
"Biard Adrien","K1H","186.98","360","321",""
"Fortier Arnaud","K1H","187.1","-","322",""
"Lefort Stephane","K1H","187.7","-","327",""
"Beltrami Denis","K1H","188.07","361","330",""
"Wadel Florian","K1H","188.4","367","332",""
"Thomas Baudelet","K1H","188.42","638","332",""
"Remi Wolf","K1H","188.52","315","333",""
"Labarriere Boris","K1H","188.66","-","334",""
"Yan Labeye","K1H","190.43","-","348",""
"Thomas Bersinger","K1H","191.29","-","354",""
"Guillaume Gery","K1H","191.71","-","357",""
"Daumas Jeremy","K1H","192.64","714","365",""
"Benkouider Lounes","K1H","192.77","468","366",""
"Delfs Yann","K1H","192.84","481","366",""
"Ledoux Thomas","K1H","194.58","395","379",""
"Dufosse Gregoire","K1H","196.3","452","393",""
"Alain Ferry","K1H","198.35","523","408",""
"Prost Mathieu","K1H","198.53","414","410",""
"Yann Gudefin","K1H","198.54","502","410",""
"Climaque Cedric","K1H","198.77","-","411",""
"Gelloz Sebastien","K1H","199.31","-","416",""
"Sylvain Gelloz","K1H","199.8","610","419",""
"Pascal Ferry","K1H","200.87","-","428",""
"Petex Robin","K1H","201.28","-","431",""
"Keller Paco","K1H","201.98","-","436",""
"Dugua Benoit","K1H","202.94","412","443",""
"Ponson Quentin","K1H","203.71","510","449",""
"Aubrespy Florian","K1H","203.9","-","451",""
"Froissard Jonathan","K1H","204.03","562","452",""
"Andy Pajani","K1H","204.58","-","456",""
"Crozet Julien","K1H","204.71","432","457",""
"Fantino Antoine","K1H","204.75","658","457",""
"Champsaur Jean Marc","K1H","205.05","-","460",""
"Olivier Bourgey","K1H","207.23","655","476",""
"Danneyrolles Eric","K1H","210.85","-","504",""
"Cottet Gaydon Francois","K1H","211.12","-","506",""
"Ploix Kevin","K1H","211.74","-","511",""
"Dunand Alexandre","K1H","215.76","-","542",""
"Hugo Hager","K1H","218.26","-","561",""
"Descharrieres Bruno","K1H","219.04","611","567",""
"Hager Yoan","K1H","219.44","-","570",""
"Bersinger Sylvain","K1H","219.51","-","570",""
"Dufosse Victor","K1H","220.09","-","575",""
"Coulon Jerome","K1H","220.11","-","575",""
"Martelet Romain","K1H","220.71","-","579",""
"King Tom","K1H","222.45","-","593",""
"Stephane Simonpietri","K1H","223.41","466","600",""
"Hogrel Jerome","K1H","224.39","-","608",""
"Lalauze Charly","K1H","226.06","448","620",""
"Julien Vincent","K1H","227.38","-","630",""
"Bessiere Florian","K1H","229.76","851","649",""
"Ghio Yann","K1H","232.3","-","668",""
"Autrand Guilhem","K1H","233.09","-","674",""
"Debicki Baptiste","K1H","233.28","645","676",""
"Vaudaine Florent","K1H","233.3","-","676",""
"Aubert Fabrice","K1H","234.06","-","682",""
"Burdet Gildas","K1H","235.71","-","694",""
"Heuze Taoana","K1H","236.81","-","703",""
"Pierron David","K1H","238.16","666","713",""
"Bline Anthony","K1H","238.3","-","714",""
"Ouvrard Paul","K1H","239.64","-","724",""
"Thomas Burnoud","K1H","241.61","-","739",""
"Jouanneau Bertrand","K1H","243.33","-","753",""
"Contamine Raphael","K1H","246.87","-","780",""
"Samain David","K1H","250.45","-","807",""
"Sabondjian Franck","K1H","251.22","-","813",""
"Defayet Steve","K1H","260.21","-","882",""
"Prost Clement","K1H","260.73","-","886",""
"Kupczyk Julien","K1H","266.59","-","931",""
"Friboulet Mickael","K1H","272.11","-","973",""
"Gourdin Thomas","K1H","281.00","-","1041",""
"Esteban Manuel","K1H","295.54","-","1152",""
"Signe Jeansebastien","K1H","305.74","-","1230",""
"Provost Mathieu","K1H","355.39","-","1610",""
"Mickael Pra","K1H","385.78","-","1843",""
"Bargeot Olivier","K1H","404.09","-","1983",""
"Colombet Florian","K1H","561.38","-","3187",""
