"Sélectif Régional - Porcieu Amblagnieu  sur  Sault Brénaz - 2012-03-11","Course 3","2012-03-11","Régional","216"
"Stephane Boulanger","K1H","189.63","-","905.45",""
"Anthony Claveyroles","K1H","195.2","-","958.34",""
"Loic Burlet","K1H","198.15","434.29","986.35",""
"Anselm Arnaud","K1H","198.56","652.75","990.25",""
"Benoit Renaudier","K1H","202.01","447.62","1023.01",""
"Dylan Bard","K1H","202.87","353.8","1031.18",""
"Cyril Audoit","K1H","206.01","1379.54","1061",""
"Valentin Vibert","K1H","217.99","148.69","1174.76",""
"Thomas Denais","K1H","222.64","273.61","1218.92",""
"Marc Le Morvan","K1H","236.64","398.06","1351.87",""
"Paul Roubaud","K1H","256.04","709.37","1536.1",""
"Gabriel Millan Castells","K1H","258.6","2013.99","1560.41",""
"Morgan Hoarau","K1H","281.73","2564.57","1780.06",""
"Aymeric Briere","K1H","Nt","-","-",""
"Maxime Pierre","K1H","Nt","-","-",""
"Henri Molet","K1H","Nt","-","-",""
"Mathieu Septier","K1H","Nt","-","-",""
"Enzo Bigi","K1H","Nt","-","-",""
"Matteo Dardonville","K1H","Nt","-","-",""
"Maxime Pilard","K1H","Nt","-","-",""
"Ollivier Paumier","K1H","Nt","-","-",""
"Clement Sempastous","K1H","Nt","-","-",""
"Guillaume Affortit","K1H","Nt","-","-",""
"Damien Ferraud","K1H","Nt","-","-",""
"Mehdi Amini","K1H","Nt","-","-",""
"Sylvain Ferry","K1H","Nt","-","-",""
"Elie Miquel","K1H","Nt","-","-",""
"Pierrealain Clerc","K1H","Nt","-","-",""
"Remi Parayre","K1H","Nt","-","-",""
"Arnaud Pellizzoni","K1H","Nt","-","-",""
"Jean Philippe Winiarski","K1H","Nt","-","-",""
"Arthur Bernot","K1H","Nt","-","-",""
"Virgile Pigache-donnet","K1H","Nt","-","-",""
"Bertrand Bercon","K1H","Nt","-","-",""
"Emeric Vibert","K1H","Nt","-","-",""
"Jules Bevalot","K1H","Nt","-","-",""
