"Championnats de France N1 - L'argentière La Bessée - 8ème Manche - 2005-06-05","8ème Manche","2005-06-05","Nationale 1","111"
"Christophe Augu","K1H","195.38","33","38",""
"Samuel Hernanz","K1H","195.57","41","39",""
"Bernis Camille","K1H","195.61","32","39",""
"Damien Boudet","K1H","196.64","40","41",""
"Benoit Molinier","K1H","197.06","64","43",""
"Benoit Lepage","K1H","197.35","44","43",""
"Johan De Mareuil","K1H","198.11","55","45",""
"Yoan Minvielle","K1H","199.29","44","49",""
"Julien Arribe","K1H","200.53","45","53",""
"Michael Guyon","K1H","200.72","40","53",""
"Damien Laborde","K1H","200.92","42","54",""
"Florian Berail","K1H","201.93","54","56",""
"Bazin Patryce","K1H","202.16","64","57",""
"Leproult Jonathan","K1H","202.55","55","58",""
"Lambert Guillaume","K1H","202.73","57","59",""
"Guillaume Picco","K1H","203.39","55","61",""
"Venceslas Viseur","K1H","205.41","41","67",""
"Jean Christophe Boivin","K1H","207.97","44","74",""
"Julien Tous","K1H","208.40","43","75",""
"Patrice Fischer","K1H","209.25","57","78",""
"Roger Jeremie","K1H","209.34","60","78",""
"Bernard Babi","K1H","209.92","85","79",""
"Jean Charles Creusot Walter","K1H","213.83","63","91",""
"Ciaran Heurteau","K1H","218.82","62","105",""
"Julien Billaut","K1H","238.34","10","161",""
"Sebastien Halilou","K1H","238.80","30","162",""
"Frederic Walczak","K1H","241.95","25","171",""
"Baillon Nicolas","K1H","246.16","29","183",""
"Benoit Rouffet","K1H","255.47","59","210",""
"Christophe Marechal","K1H","289.11","23","306",""
