"Sélectif N3 Nord Ouest - Sablé Sur Sarthe - 2005-05-21","Course 1","2005-05-21","Nationale 3","133"
"Cornu Jeremy","K1H","254.95","534","535",""
"Le Jacques François","K1H","255.71","571","540",""
"Le Roux Vincent","K1H","256.31","732","544",""
"Jerome Trousson","K1H","256.43","586","544",""
"Gil Justin","K1H","257.20","670","549",""
"Dallois Jeremi","K1H","258.83","580","559",""
"Keuterick Yohan","K1H","260.44","641","569",""
"Arnoult Jeanmichel","K1H","263.39","530","587",""
"Alan Reveillere","K1H","264.99","558","597",""
"Morais Julien","K1H","274.21","759","653",""
"Robert Marc Antoine","K1H","274.83","611","658",""
"Baudry Erwan","K1H","278.86","674","682",""
"Emmanuel Despont","K1H","283.55","625","711",""
"Rouxel Adrien","K1H","287.47","799","735",""
"Cheron Valentin","K1H","291.62","681","761",""
"Cachau Heneillat Emmanuel","K1H","303.78","627","835",""
"Laurent Ernou","K1H","310.65","732","877",""
"Emmanuel L'anton","K1H","318.20","590","924",""
