"Sélectif N3 Est - Sélestat - 2010-05-23","Course 1","2010-05-23","Nationale 3","133"
"Billel Khenchouche","K1H","110.65","199","276",""
"Patrick Gass","K1H","110.77","294","277",""
"Frederic Blanrue","K1H","111.59","257","286",""
"Philippe Thevenin","K1H","112.50","318","297",""
"Xavier Rat","K1H","113.00","302","302",""
"Pierre Cassin","K1H","113.21","240","305",""
"Arnaud Pellizzoni","K1H","113.72","336","311",""
"Laurent Graillot","K1H","113.97","320","314",""
"Christophe Godinat","K1H","114.45","330","319",""
"Florian Baumann","K1H","114.71","359","322",""
"Clement Martin","K1H","114.92","463","324",""
"Tom Jackson","K1H","115.58","303","332",""
"Jason Bauge","K1H","115.75","429","334",""
"Gabriel Schnetz","K1H","115.94","396","336",""
"Quentin Robert","K1H","116.33","299","341",""
"Pierre Baudoin","K1H","116.82","359","346",""
"Even Perot","K1H","118.16","368","361",""
"Jean-baptiste Wolff","K1H","118.47","365","365",""
"Mickael Alves","K1H","118.72","438","368",""
"Frederic Caillet","K1H","118.74","340","368",""
"Maxime Battaini","K1H","119.53","384","377",""
"Gilles Barthelemy","K1H","119.67","566","379",""
"Antoine Leroy","K1H","120.25","410","386",""
"Jean Guyot","K1H","120.56","442","389",""
"Nathan Robert","K1H","121.06","383","395",""
"Anthony Oudot","K1H","121.28","439","398",""
"Amelien Marchal","K1H","121.71","477","402",""
"Vincent Maire","K1H","122.05","531","406",""
"Riyad Khelil","K1H","123.35","426","421",""
"Bastien Goujon","K1H","123.59","373","424",""
"Thomas Garnier","K1H","123.88","484","428",""
"Alexandre Allemang","K1H","124.91","455","440",""
"Loic Joly","K1H","128.10","463","476",""
"Valentin Maire","K1H","129.57","474","492",""
"Gauthier Cuny","K1H","131.11","673","511",""
"Alexandre Lambert","K1H","132.61","604","527",""
"Louison Helye","K1H","133.17","614","534",""
"Eric Louis","K1H","134.45","630","549",""
"Paul-andre Montemont","K1H","134.61","626","551",""
"Arthur Hitier","K1H","136.84","665","576",""
"Jeremy Peltier","K1H","137.07","586","579",""
"Tristan Vauchey","K1H","138.96","620","600",""
"Sebastien Varin","K1H","139.84","698","610",""
"Marco Rodrigues","K1H","Nt","-","-",""
"Gary Allemann","K1H","Nt","-","-",""
