"SELECTIF REGIONAL SLALOM - Quimperle Roches Du Diable - 2002-01-06","Course 1","2002-01-06","Régional","207"
"Craig Hannah","K1D","240.83","134","286",""
"Elisa Venet","K1D","244.3","273","306",""
"Veronique Vourch","K1D","244.97","279","309",""
"Bernhard Cecile","K1D","249.32","343","334",""
"Fouille Aline","K1D","252.8","568","354",""
"Croizer Gwennina","K1D","254.81","418","366",""
"Geraldine Leclerc","K1D","257.53","-","381",""
"Valerie Sibioude","K1D","257.59","-","381",""
"Clothilde Rocher","K1D","263.42","347","415",""
"Chevalier Yvane","K1D","275.35","373","483",""
"Collet Aurore","K1D","291.00","384","572",""
"Nathalie Courant","K1D","295.36","598","597",""
"Magre Sabrine","K1D","307.38","-","666",""
"Rocher Laura","K1D","313.45","672","700",""
"Tifenn Van Delft","K1D","313.48","627","701",""
"Le Maux Aurore","K1D","365.04","-","995",""
"Christophe Marechal","K1H","182.22","61","107",""
"Roger Jeremie","K1H","183.69","119","117",""
"Le Calve Yann","K1H","185.59","82","129",""
"Stephane Odot","K1H","188.2","141","146",""
"Lionel Tinevez","K1H","190.87","191","164",""
"Frederic Leclerc","K1H","191.1","198","165",""
"Nicolas Coudert","K1H","191.14","147","166",""
"Jerome Le Hegarat","K1H","192.51","141","175",""
"Matthieu Le Gall","K1H","192.56","108","175",""
"Sullivan Porcher","K1H","193.28","179","180",""
"Leproult Jonathan","K1H","193.89","171","184",""
"Christophe Le Mercier","K1H","194.24","150","186",""
"Franck Delachair","K1H","195.18","178","192",""
"Nicolas Carduner","K1H","195.23","192","193",""
"Zoungrana Sebastien","K1H","195.68","175","196",""
"Mathieu Le Gal","K1H","195.93","149","197",""
"Berthe Christophe","K1H","196.2","167","199",""
"Regnier Jeanmichel","K1H","196.65","115","202",""
"Tirel Paul","K1H","199.9","150","223",""
"Besnard Thomas","K1H","199.96","222","224",""
"Duliscouet Richard","K1H","200.8","221","229",""
"Alain Droniou","K1H","201.31","174","232",""
"Delaunay Johann","K1H","201.35","191","233",""
"Vincent Froger","K1H","202.03","297","237",""
"Sebastien Combot","K1H","202.57","237","241",""
"Herve Busson","K1H","203.06","201","244",""
"Emmanuel Cosse","K1H","203.36","217","246",""
"Gwenael Marquer","K1H","203.61","210","248",""
"Jerome Mainguy","K1H","203.7","229","248",""
"Le Mercier David","K1H","203.73","328","248",""
"Melaine Pichard","K1H","204.24","260","252",""
"Zoungrana Benoit","K1H","204.4","-","253",""
"Manuel Coquelin","K1H","205.04","241","257",""
"Julien Coudert","K1H","205.42","157","259",""
"Reveillere Pierrick","K1H","206.02","313","263",""
"Delhaye Ghislain","K1H","206.76","-","268",""
"Tanguy Anthony","K1H","207.09","300","270",""
"Jerome Dorizon","K1H","207.75","262","275",""
"Arnaud Hybois","K1H","208.32","272","279",""
"Guillaume Coroller","K1H","209.62","373","287",""
"Le Troadec Brendan","K1H","209.93","313","289",""
"Pascal Marrec","K1H","210.15","-","291",""
"Gaillard Simon","K1H","210.49","332","293",""
"Raphael Reveche","K1H","210.65","251","294",""
"Vincent Salmon","K1H","211.52","327","300",""
"Cedric Le Corvaisier","K1H","212.27","352","304",""
"Patrick Jegou","K1H","212.89","359","309",""
"Le Coq Sebastien","K1H","213.58","322","313",""
"Jean Yves Prigent","K1H","213.61","257","313",""
"Le Bris Gildas","K1H","214.17","264","317",""
"Le Pesquer Yann","K1H","214.2","348","317",""
"Le Goff Morgan","K1H","215.58","-","326",""
"Morin Mathieu","K1H","215.58","-","326",""
"Brustiec Jerom","K1H","216.02","322","329",""
"Pierre Marie Roussel","K1H","216.41","368","332",""
"Louet Jeremie","K1H","217.25","376","337",""
"Erwan Cadio","K1H","217.44","326","338",""
"Philippe Ronan","K1H","218.07","420","343",""
"Le Corvaisier Fabien","K1H","219.61","423","353",""
"Moan Pierre-Yves","K1H","219.9","-","355",""
"David Ravache","K1H","219.97","384","355",""
"Adrien Ferec","K1H","220.68","355","360",""
"Thomas Le Lons","K1H","220.85","-","361",""
"Nicolas Veillard","K1H","221.32","491","364",""
"Louet Gwenael","K1H","222.71","430","373",""
"Barbier Julien","K1H","222.75","372","373",""
"Kevin Lemenaheze","K1H","223.39","412","377",""
"Vinot Mikael","K1H","223.98","862","381",""
"Philippe Rocher","K1H","224.02","307","382",""
"Julien Brouzes","K1H","224.88","412","387",""
"Decurey Franck","K1H","225.02","501","388",""
"Baudelot Luc","K1H","226.17","437","396",""
"Deffay Axel","K1H","226.19","543","396",""
"Olivier Clement","K1H","226.99","267","401",""
"Laurent Van Poucke","K1H","227.32","360","403",""
"Berree Guillaume","K1H","227.71","430","406",""
"Martin Fabien","K1H","228.35","418","410",""
"Yoann Le Guyader","K1H","228.96","-","414",""
"Marrec Pierre-Yves","K1H","230.31","536","423",""
"Piton Samuel","K1H","230.76","423","426",""
"Yann Lardic","K1H","232.08","499","435",""
"Le Bris Pierrick","K1H","233.03","475","441",""
"Prigent Mathieu","K1H","233.36","413","443",""
"Hoel Carnot","K1H","233.75","583","445",""
"Simier Alan","K1H","234.29","534","449",""
"Marrec Cedric","K1H","234.29","449","449",""
"Louet Steven","K1H","234.94","455","453",""
"Tual Jacky","K1H","235.39","458","456",""
"Gac Ronan","K1H","236.11","313","461",""
"Le Tulzo Jean","K1H","237.08","-","467",""
"Rivallain Ludovic","K1H","239.75","576","485",""
"Pasquier Marc","K1H","240.08","362","487",""
"Baradel Yann","K1H","240.22","-","488",""
"Pierre Emanuel Marchand","K1H","241.37","425","496",""
"Laurent Rigaud","K1H","242.18","880","501",""
"Colombert Yann","K1H","242.61","643","504",""
"Ollivier Riwal","K1H","244.04","483","513",""
"Josse Nicolas","K1H","244.22","593","514",""
"Olivier Brillaut","K1H","244.25","504","514",""
"Madec Christophe","K1H","245.23","455","521",""
"Lebreton Simon","K1H","245.72","535","524",""
"Chaumier Florian","K1H","246.3","469","528",""
"Guyomard Julien","K1H","246.35","550","528",""
"Dubost Antoine","K1H","247.84","596","538",""
"Josselin Bertrand","K1H","248.63","318","543",""
"Blesteau Jerome","K1H","249.15","554","547",""
"Cleraux Antoine","K1H","249.38","1057","548",""
"Le Garrec Julien","K1H","250.27","851","554",""
"Georgin Etienne","K1H","250.48","891","555",""
"Rose Morvan","K1H","254.02","600","579",""
"Flageul Pierre","K1H","254.58","792","582",""
"Rivoal Yoann","K1H","254.64","593","583",""
"Debray Damien","K1H","255.9","635","591",""
"Champfailly Sebastien","K1H","256.77","1153","597",""
"Mathieu Bourdet","K1H","256.79","696","597",""
"Le Vourch Alexandre","K1H","258.18","577","606",""
"Romain Richard","K1H","258.72","-","609",""
"Taburet Guillaume","K1H","259.3","-","613",""
"Pedron Jessy","K1H","259.48","814","614",""
"Guillotin Simon","K1H","263.68","595","642",""
"Garzuel Erwan","K1H","265.82","860","656",""
"Leclaire Pierre Louis","K1H","267.94","1099","670",""
"Cadoudal Vincent","K1H","268.9","772","676",""
"Mahe Alan","K1H","269.29","577","679",""
"Priol Yoann","K1H","269.78","847","682",""
"Maze Ronan","K1H","270.66","541","688",""
"Arnaud Le Calvez","K1H","271.07","-","691",""
"Sinquin Gwenael","K1H","271.88","-","696",""
"Le Blevec Stephane","K1H","272.11","-","697",""
"Ducouret Gregoire","K1H","274.74","-","715",""
"Rogue Clement","K1H","275.2","1035","718",""
"Leroux Samuel","K1H","286.57","-","792",""
"Nicolas Romain","K1H","302.61","693","898",""
"Stephen Le Diagon","K1H","303.32","757","902",""
"Le Gallic Thomas","K1H","329.67","-","1075",""
