"Championnat Régional de Slalom - Bassin De Slalom De Corbeil Essonnes - Finale - 2016-06-26","Finale","2016-06-26","Régional","154"
"Aaron Penning","K1H","100.4","235.83","235.05","Finale A"
"Xavier Jourdain","K1H","100.56","167.4","236.96","Finale A"
"Louis Philippe Rigal","K1H","101","199.17","242.2","Finale A"
"Vincent Delahaye","K1H","101.46","197.56","247.67","Finale A"
"Nicolas Feuillard","K1H","102.07","188.28","254.94","Finale A"
"Simon Dubosc","K1H","102.16","269.27","256.01","Finale A"
"Yani Ferhaoui","K1H","103.73","196.58","274.71","Finale A"
"Ludovic Ngo","K1H","104.39","270.4","282.57","Finale A"
"Antoine Saul","K1H","105.09","283.19","290.9","Finale A"
"Yohan Marck","K1H","105.32","249.3","293.64","Finale A"
"Fabien De Almeida","K1H","106.38","342.87","306.26","Finale A"
"Xavier Chantry","K1H","106.41","279.47","306.62","Finale A"
"David Mingasson","K1H","106.66","214.37","309.6","Finale A"
"Andreas Dupuy","K1H","106.79","272.58","311.15","Finale A"
"Bertrand Avril","K1H","106.81","287.33","311.39","Finale A"
"Adrien Suardana","K1H","106.95","315.34","313.05","Finale A"
"Benoit Le Mazurier","K1H","107.92","-","324.6","Finale A"
"Julien Fougeron","K1H","107.96","281.44","325.08","Finale A"
"Tom Barthelemy","K1H","108.11","259.67","326.87","Finale A"
"Lucas Jacob","K1H","112.46","289.62","378.67","Finale A"
"Jeremy Huguenin","K1H","112.63","361.89","380.69","Finale A"
"Quentin Angot","K1H","113.44","388.86","390.34","Finale A"
"Romain Huguenin","K1H","114.92","311.32","407.96","Finale A"
"Hector Combes","K1H","114.95","345.13","408.32","Finale A"
"Melvin Queudeville","K1H","116.17","418.95","422.85","Finale A"
"Lucas Correia","K1H","116.39","389.6","425.47","Finale A"
"Francois Durand","K1H","116.85","336.67","430.95","Finale A"
"Isidore Dubuisson","K1H","117.29","393.43","436.19","Finale A"
"Issam Chakir","K1H","125.26","323.88","531.1","Finale A"
"Yohann Senechault","K1HM","108.16","367.03","327.46","Finale A"
"Lucie Robin","C1D","155.13","527.39","583.91","Finale B"
"Mathilde Guillot-le Goff","C1D","171.25","-","743.88","Finale B"
"Alina Rassel","C1D","187.96","-","909.71","Finale B"
"Clementine Noel","C1DM","174.52","-","776.33","Finale B"
"Andreas Dupuy","C1H","120.19","435.42","407.57","Finale B"
"Thomas Durand","C1H","120.2","-","407.68","Finale B"
"Lucas Correia","C1H","125.41","510.88","466.77","Finale B"
"Julien Fougeron","C1H","127.32","390.57","488.43","Finale B"
"Lucien Louchez","C1H","128.79","562.13","505.1","Finale B"
"Ludovic Ngo","C1H","130.19","-","520.98","Finale B"
"Simon Dubosc","C1H","132.85","-","551.15","Finale B"
"Eden Quevremont","C1H","134.41","496.52","568.85","Finale B"
"Yohan Marck","C1H","139.81","588.64","630.08","Finale B"
"Isidore Dubuisson","C1H","140.39","721.51","636.67","Finale B"
"Jacques Nardeau","C1H","140.77","569.75","640.98","Finale B"
"Quentin Angot","C1H","144.92","-","688.04","Finale B"
"Romain Huguenin","C1H","146.68","-","708","Finale B"
"Marvin Lescourant","C1H","150.43","-","750.54","Finale B"
"Ianis Fleury","C1H","156.78","1010.06","822.55","Finale B"
"Melvin Queudeville","C1H","162.59","808.52","888.45","Finale B"
"Romain Bezies","C1H","164.7","-","912.38","Finale B"
"Hans Holleville","C1H","Des","-","-","Finale B"
"Jules Guilbaud","C1H","Des","-","-","Finale B"
"Thibaut Evrard","C1HM","197.73","-","1286.98","Finale B"
"Corentin Robin-Thomas Vernel","C2H","127.69","-","426.8","Finale B"
"Hector Combes-Alexandre Ghirardi","C2H","132.21","484.36","475.73","Finale B"
"Andreas Dupuy-Aaron Penning","C2H","137.18","557.97","529.54","Finale B"
"Florence Marchal-Jacques Nardeau","C2M","153.89","716.15","571.61","Finale B"
"Alina Rassel-Yohan Marck","C2M","181.61","635.59","846.7","Finale B"
"Adele Charlaigre-Melvin Queudeville","C2M","Des","-","-","Finale B"
"Florence Marchal","K1D","144.31","621.21","565.25","Finale B"
"Anna Marvillet","K1D","148.82","583.64","612.78","Finale B"
"Camille De Araujo","K1D","154.65","682.15","674.21","Finale B"
"Elise Sergio","K1D","166.15","930.29","795.41","Finale B"
"Sandrine Arnal","K1D","175.53","694.93","894.26","Finale B"
"Maryse Viseur","K1D","177.49","672.9","914.92","Finale B"
"Celine Garcia","K1D","179.69","840.19","938.11","Finale B"
"Ivana Majic","K1D","181.49","-","957.08","Finale B"
"Loane Foulongani","K1D","316.72","-","2382.21","Finale B"
"Loan Battistuzzi","K1DM","149.45","-","619.42","Finale B"
"Clementine Noel","K1DM","149.93","-","624.47","Finale B"
"Marine Calenda","K1DM","222.19","1192.15","1385.99","Finale B"
"Vincent Reiter","K1H","100.86","275.08","245.53","Finale B"
"Jules Guilbaud","K1H","106.69","226.53","314.96","Finale B"
"Valentin Fleury","K1H","114.8","436.36","411.54","Finale B"
"Ianis Fleury","K1H","115.8","498.62","423.44","Finale B"
"Simon Philibert","K1H","115.97","505.74","425.47","Finale B"
"Romain Bezies","K1H","116.47","456.63","431.42","Finale B"
"Eden Quevremont","K1H","116.55","402.84","432.38","Finale B"
"Benoit Guernic","K1H","118.42","431.82","454.64","Finale B"
"Alan Le Goff","K1H","118.45","468.61","455","Finale B"
"Theo Loury","K1H","120.35","441.33","477.63","Finale B"
"Arthur Guillot-le Goff","K1H","121.02","433.32","485.61","Finale B"
"Philippe Piat","K1H","121.52","480.95","491.56","Finale B"
"Gerard Lafargue","K1H","123.86","445.41","519.43","Finale B"
"Philippe Valeri","K1H","125.43","459.2","538.12","Finale B"
"Vladimir Krsmanovic","K1H","125.73","576.11","541.7","Finale B"
"Charles Dampeyrou","K1H","125.88","-","543.48","Finale B"
"Thibaud Collaert","K1H","126.31","-","548.6","Finale B"
"Hans Holleville","K1H","129.33","-","584.57","Finale B"
"Alexis Agent","K1H","130.17","583.44","594.57","Finale B"
"Marvin Lescourant","K1H","131.1","569.25","605.65","Finale B"
"Pierre Yves Tempier","K1H","138.56","-","694.48","Finale B"
"Elie Gerault","K1H","147.09","851.97","796.06","Finale B"
"Marc-olivier Allaria","K1H","153","1259.83","866.44","Finale B"
"Dante Bourlet De La Vallee","K1H","153.52","974.93","872.64","Finale B"
"Ilan Foulongani","K1H","202.09","-","1451.04","Finale B"
"Noe Vannier","K1H","215.66","-","1612.64","Finale B"
"Gabriel Saul","K1HM","121.62","-","492.75","Finale B"
"Paul Cascarino","K1HM","125.21","575.55","535.5","Finale B"
"Jeremie Hepner","K1HM","135.17","-","654.11","Finale B"
"Thibaut Evrard","K1HM","143.73","-","756.05","Finale B"
"Baptiste Saul","K1HM","151.08","-","843.58","Finale B"
"Matteo Figueiredo Alves","K1HM","158.81","1757.36","935.63","Finale B"
"Thibaut Chatard","K1HM","252.01","-","2045.51","Finale B"
