"Sélectif Régional Slalom (Double) - Vinon-sur-verdon - Course n°2 | Qualification - 2017-11-19","Course n°2 | Qualification","2017-11-19","Régional","185"
"Nicolas Demofsqui","K1H","117.05","450.02","454.76",""
"Germain Court","K1H","117.7","496.95","462.61",""
"Gabriel Saul","K1H","118.34","493.42","470.34",""
"Raphael Massot","K1H","118.51","343.07","472.39",""
"Remy Beal","K1H","119.32","424.47","482.17",""
"Charlie Genovese","K1H","120.41","479.06","495.33",""
"Alexis Mercoirol","K1H","120.53","507.7","496.77",""
"Romain Hautecouverture","K1H","120.75","437.39","499.43",""
"Sebastien Riou","K1H","120.97","500.51","502.09",""
"Remi Vallin","K1H","121.62","505.93","509.93",""
"Valentin Affortit","K1H","122.19","528.82","516.81",""
"Paul Badache","K1H","122.46","516.3","520.07",""
"Victorien Lombard","K1H","122.79","464.95","524.06",""
"Erwann Buthod","K1H","122.95","369.39","525.99",""
"Philippe Lelieur","K1H","123.87","487.63","537.1",""
"Gilles Lovera","K1H","124.45","532.5","544.1",""
"Baptiste Dumas","K1H","124.53","595.06","545.06",""
"Tao Semeria","K1H","126.87","514.66","573.31",""
"Dominique Polard","K1H","128.11","530.79","588.28",""
"Ollivier Paumier","K1H","128.66","666.62","594.92",""
"Bastien Cothenet","K1H","128.92","578.51","598.06",""
"Arthur Talarmain","K1H","130.53","500.28","617.5",""
"Matthieu Rousseau","K1H","130.8","565.14","620.76",""
"Erwan Quellec","K1H","133.39","494.7","652.02",""
"Rutger Hoedemaker","K1H","133.55","630.61","653.96",""
"Ulysse Brunel","K1H","137.86","625.53","705.99",""
"Aurelien Lauze","K1H","140.48","1100.13","737.62",""
"Valentin Jossemit","K1H","142.21","722.92","758.5",""
"Swann Imbert","K1H","142.61","741.7","763.33",""
"Clement Blancgras","K1H","142.85","776.37","766.23",""
"Manu Kempf","K1H","157.83","1034.88","947.07",""
"Stephen Furio","K1H","158.96","1475.61","960.71",""
"Djendy Simeant","K1H","159.72","263.58","969.89",""
"Yann Leruste","K1H","161.29","319.17","988.84",""
"Ange Bernard","K1H","161.95","774.88","996.81",""
"Jocelyn Locatelli","K1H","176.49","657.7","1172.34",""
"Justin Murphy","K1H","178.25","657.43","1193.59",""
"Stephane Breton","K1H","179.78","1421.98","1212.06",""
"Esteban Reder-issartel","K1H","200.41","625.08","1461.11",""
"Aymeric Rivier","K1H","470.42","523.9","4720.76",""
"Philippe Bigard","K1H","Abs","-","-",""
"Louis Scalbert","K1H","Abs","-","-",""
"Jean-marc Suarez","K1H","Abs","-","-",""
"Bruno Giovannelli","K1H","Abd","-","-",""
"Maxence Jehan","K1H","Abs","-","-",""
"Jeremy Wagner","K1H","Abs","-","-",""
"Lucas Dominguez","K1H","Abs","-","-",""
"Maxime Bottex","K1H","Abs","-","-",""
"Quentin Mignard","K1H","Abs","-","-",""
"Mathieu Buono-michel","K1H","Abs","-","-",""
"Pierre Courtois","K1H","Abs","-","-",""
"Thomas Thieblemont","K1H","Abs","-","-",""
"Pierre Fillinger","K1H","Abs","-","-",""
"Simon Del Negro","K1H","Abs","-","-",""
"Edouard Chenal","K1HM","105.5","289.87","315.33",""
"Clement Couchoud","K1HM","112.58","393.25","400.8",""
"Gino Benini","K1HM","114.54","326.6","424.46",""
"Ugo Zanellato","K1HM","116.41","435.11","447.04",""
"Mael Hervault","K1HM","117.43","394.52","459.35",""
"Axel Clement","K1HM","119.58","502.52","485.3",""
"Theo Brun","K1HM","120.38","432.95","494.96",""
"Corentin Georgeon","K1HM","123.03","490.96","526.95",""
"Clement Grapotte","K1HM","123.88","440.26","537.22",""
"Tanguy Adisson","K1HM","129.38","490.47","603.61",""
"Pierre Escuret","K1HM","131.53","646.79","629.57",""
"Raphael Bonnard","K1HM","134.2","753.08","661.8",""
"Leo Parnotte","K1HM","134.62","703.1","666.87",""
"Daniel Chambert","K1HM","136.45","719.3","688.97",""
"Thibaud Chovin","K1HM","136.6","644.2","690.78",""
"Louis Payan","K1HM","136.61","639.38","690.9",""
"Mathis Borie","K1HM","137.71","630.4","704.18",""
"Baptiste Saul","K1HM","138.51","699.78","713.83",""
"Gaspard Gonseth","K1HM","139.93","856.73","730.98",""
"Arthur Sanchez","K1HM","141.2","650.32","746.31",""
"Jules Sourieau","K1HM","143.05","807.61","768.64",""
"Oscar Puc","K1HM","158.58","887.16","956.13",""
"Marc Lanchais","K1HM","160.88","1158.96","983.89",""
"Guillaume Mele","K1HM","195.88","943.76","1406.42",""
"William Varela","K1HM","215.46","1200.06","1642.8",""
"Luka Balestrieri","K1HM","Abs","-","-",""
"Axel Gondard","K1HM","Abs","-","-",""
"Emile Jacquet","K1HM","Abs","-","-",""
"Emmy Bernard","OUV","161.63","-","-",""
"Eloise Brisset","OUV","180.52","-","-",""
