"Championnat d'Aquitaine de slalom - Périgueux - 2005-03-12","Course 1","2005-03-12","Régional","110"
"Thomas Dauvet","K1H","243.04","376","803",""
"Delorme Vincent","K1H","249.46","1318","854",""
"Thomas Wingerter","K1H","266.69","578","990",""
"Mary Frederic","K1H","270.84","-","1023",""
"Maury Sebastien","K1H","277.30","-","1073",""
"Bonhomme Benjamin","K1H","277.48","-","1075",""
"Bos Jean Michel","K1H","297.00","-","1228",""
"Heudes Jean-Marc","K1H","404.70","-","2074",""
"Benoit Sergent","K1H","465.12","-","2550",""
"Gaborit Damien","K1H","570.69","-","3380",""
"Royer Yohan","K1H","748.12","-","4775",""
