"Championnat Régional - Toulouse - Qualification - 2014-04-13","Qualification","2014-04-13","Régional","218"
"Guillaume Fletcher","K1H","122.52","-","479.75",""
"Cyril Audoit","K1H","122.93","436.94","484.5",""
"Komlangan Gassou","K1H","124.41","373.95","501.64",""
"Olivier Cail","K1H","125.14","461.05","510.09",""
"Guillaume Viguier","K1H","125.44","-","513.57",""
"Clement Caillard","K1H","125.95","642.61","519.47",""
"Maxime Garcia","K1H","131.98","516.18","589.3",""
"Gilles Tricard","K1H","132.07","-","590.34",""
"Erwan Guilhamet","K1H","132.44","495.47","594.62",""
"Eric Vidou","K1H","132.45","454.01","594.74",""
"Paul Ballery","K1H","133.42","551.36","605.97",""
"Nicolas Alran","K1H","134.01","551.53","612.8",""
"Baptiste Lauroua","K1H","134.09","633.63","613.73",""
"Luc Sarramea","K1H","136.17","649.42","637.81",""
"Quentin Cazeres","K1H","139.01","455.99","670.7",""
"Vincent Ardonceau","K1H","141.3","1138.17","697.22",""
"Theau Le Loch","K1H","144.02","481.53","728.71",""
"Marc Cordier","K1H","145.02","537.87","740.29",""
"Corantin Bruneaud","K1H","145.42","545.26","744.92",""
"Loup Fauries","K1H","145.45","545.62","745.27",""
"Romain Gayral","K1H","147.7","-","771.32",""
"Bastien Daniel","K1H","148.5","445.87","780.59",""
"Loic Thibaut","K1H","148.53","1229.71","780.94",""
"Jules Collarde","K1H","156.46","816.06","872.76",""
"Marc Cailhol","K1H","156.75","494.14","876.12",""
"Swann Barioulet","K1H","159.46","-","907.5",""
"Louis Foissac","K1H","159.49","673.85","907.85",""
"Nicolas Saurat","K1H","159.51","773.2","908.08",""
"Christian Processe","K1H","162.81","-","946.29",""
"Gregoire Pouille","K1H","165.7","374.14","979.75",""
"Kenae Brassier","K1H","166.12","622.98","984.62",""
"Lionel Aguilhon","K1H","166.14","854.41","984.85",""
"Micael Rodriguez Alves Lato","K1H","166.23","351.47","985.89",""
"Tom Deconchy","K1H","167.54","391.98","1001.06",""
"Guillaume Dumora","K1H","170.16","-","1031.4",""
"Edouard Lecomte","K1H","172.55","497.53","1059.07",""
"Thierry Gaudin","K1H","176.56","-","1105.51",""
"Morgan Hoarau","K1H","182.15","506.97","1170.24",""
"Axel Devaud","K1H","185.47","653.22","1208.68",""
"Theo Ducasse","K1H","190.33","577.55","1264.96",""
"Korentin Begue","K1H","193.62","767.89","1303.05",""
"Theo Dunie","K1H","196.36","763.79","1334.78",""
"Aven Gilham","K1H","207.28","728.76","1461.23",""
"Damien Caillard","K1H","209.66","614.88","1488.79",""
"Jeremy Rouchereau","K1H","232.09","794.38","1748.51",""
"Armand Pilatte","K1H","308.62","506.55","2634.69",""
"Steven Monclus","K1H","Nt","-","-",""
"Raphael San Nicolas","K1H","Nt","-","-",""
"Jeremy Bretteville","K1H","Nt","-","-",""
"Pierrealain Clerc","K1H","Nt","-","-",""
"Marc Darribere","K1H","Nt","-","-",""
"Herve Clerc","K1H","Nt","-","-",""
"Valentin Courtiade","K1HM","129.46","-","-",""
"Tino Forgues","K1HM","140.99","-","-",""
"Yanis Clerc","K1HM","165.02","-","-",""
"Thomas Courtois","K1HM","180.39","-","-",""
"Jules Besson","K1HM","188.01","-","-",""
"Robin Julier","K1HM","198.72","-","-",""
"Ludovic Castelle","K1HM","199.96","-","-",""
"Thiefaine Verge","K1HM","204.49","-","-",""
"Charles Gaudin","K1HM","255.99","-","-",""
"Thibault Clerc","K1HM","Nt","-","-",""
"Maxime Pourret","K1HM","Nt","-","-",""
"Natan Brule","K1HM","Nt","-","-",""
"Enzo Balanca","K1HM","Nt","-","-",""
"Bastien Cattazzo","K1HM","Nt","-","-",""
