"SÈlectif National 3 Slalom Sud-Ouest - Sauveterre De Bearn - Finale - 2018-05-13","Finale","2018-05-13","Nationale 3","175"
"Tristan Ruiz","C1H","138.77","843.63","893.02","Finale B"
"Clement Serres","C1H","154.06","1089","1098.87","Finale B"
"Quentin Escudero","C1H","180.02","1012.31","1448.36","Finale B"
"Matt…o Rainaud","C1H","Abs","-","-","Finale B"
"Laurine Meslong","K1D","127.33","1103.88","617.64","Finale B"
"Marie Charbonneau","K1D","128.58","470.5","633.29","Finale B"
"Pauline Rouilhet","K1D","134.34","922.11","705.34","Finale B"
"Emma Angladette","K1D","134.41","638.05","706.22","Finale B"
"Louise Turgis","K1D","168.54","1484.54","1133.16","Finale B"
"Chloe Bonnet","K1D","180.64","948.16","1284.53","Finale B"
"Perrine Dujourd'hui","K1D","190.05","2179.11","1402.25","Finale B"
"Ana Thoraux","K1D","191.79","726.72","1424.02","Finale B"
"Simon Metra","K1H","99.8","649.88","435.56","Finale B"
"Jules Besson","K1H","101.48","411.67","459.31","Finale B"
"Benoit Dandonneau","K1H","102.58","524.65","474.86","Finale B"
"Antton Erdois","K1H","102.94","490.97","479.95","Finale B"
"Tristan Ruiz","K1H","104.14","539.01","496.91","Finale B"
"Baptiste San Nicolas","K1H","104.22","482.39","498.04","Finale B"
"Denis Vintrou","K1H","104.42","438.8","500.87","Finale B"
"Pierrick Bresson","K1H","105.7","520.98","518.96","Finale B"
"Maxime Blondeau","K1H","106.82","493.23","534.8","Finale B"
"Thilbault Rucher","K1H","107.13","435.39","539.18","Finale B"
"Matteo Roubaud","K1H","107.16","662.56","539.6","Finale B"
"Marin Saint Macary","K1H","107.43","638.67","543.42","Finale B"
"Abel Boidron","K1H","107.86","487.66","549.5","Finale B"
"Julien Doumecq","K1H","107.87","500.36","549.64","Finale B"
"Liam Caradec","K1H","107.95","579.17","550.77","Finale B"
"Clement Claret","K1H","108.08","624.73","552.61","Finale B"
"Emeric Nieser","K1H","108.29","579.32","555.57","Finale B"
"Matt…o Rainaud","K1H","108.36","575.73","556.56","Finale B"
"Baptiste Moret","K1H","108.59","632.8","559.82","Finale B"
"Esteban Bidegain","K1H","109.13","579.44","567.45","Finale B"
"Pierre Gaydier","K1H","109.21","565.99","568.58","Finale B"
"Lohan Wyon","K1H","110.19","755.97","582.43","Finale B"
"Jean Dayraut","K1H","111.58","577.44","602.08","Finale B"
"Lucas Deleplancque","K1H","112.61","774.63","616.64","Finale B"
"Bruno Lamothe","K1H","113.04","693.86","622.72","Finale B"
"Raphael Jean","K1H","113.24","664.02","625.55","Finale B"
"Quentin Escudero","K1H","113.93","628.58","635.3","Finale B"
"Gaspard Trichard","K1H","113.95","846.15","635.58","Finale B"
"Clement Brotier","K1H","114.03","751.42","636.71","Finale B"
"Thibault Marque","K1H","114.32","604.93","640.81","Finale B"
"Matheo Nassieu","K1H","114.99","659.65","650.28","Finale B"
"Robin Genty","K1H","115.39","607.89","655.94","Finale B"
"Adrien Favennec","K1H","115.53","728.41","657.92","Finale B"
"Tonin Desmet","K1H","116.32","526.82","669.08","Finale B"
"Guillaume Pradalie","K1H","116.44","552.34","670.78","Finale B"
"Jean Yves Courtiade","K1H","118.16","471.76","695.09","Finale B"
"Arsene Labarthe","K1H","124.09","879.33","778.92","Finale B"
"K…ziah Lecomte","K1H","124.67","710.17","787.12","Finale B"
"Killian Dal-cin","K1H","126.29","1187.24","810.02","Finale B"
"Leo Arriau","K1H","127","822.93","820.05","Finale B"
"Daniel Lafitte","K1H","128.48","685.87","840.98","Finale B"
"Martin Thermidor","K1H","130.86","2302.95","874.62","Finale B"
"Bastien Darmayan","K1H","134.63","735.8","927.91","Finale B"
"Leo Metro","K1H","136.73","810.08","957.6","Finale B"
"Jean-noel Biteau","K1H","140.35","645.81","1008.77","Finale B"
"Fabrice Le Bras","K1H","145.18","951.17","1077.04","Finale B"
"Antonin Bretecher","K1H","146.76","1362.34","1099.38","Finale B"
"Yanis Delmas","K1H","157","723.2","1244.13","Finale B"
"Noa Lorand","K1H","163.76","590.67","1339.68","Finale B"
"Aurelien Blois","K1H","169.55","727.42","1421.53","Finale B"
"Edouard Patry","K1H","170.2","893.38","1430.72","Finale B"
"Clement Serres","K1H","173.21","805.76","1473.27","Finale B"
"Thierry Le Bonniec","K1H","189.73","871.62","1706.79","Finale B"
"Jean Luc Pessoni","K1H","222.1","766.58","2164.36","Finale B"
"Amil Kourdoughli","K1H","Dsq","-","-","Finale B"
"Gabriel Felenc","K1H","Dsq","-","-","Finale B"
"Theo Dunie","K1H","Dsq","-","-","Finale B"
"Dylan Renneteau","K1H","Abs","-","-","Finale B"
