"Coupe de France N1 - St Laurent Blangy - 4ème Manche - 2001-04-22","4ème Manche","2001-04-22","Nationale 1","111"
"Baillon Nicolas","K1H","185.74","51","53",""
"Ghidini Jerome","K1H","186.54","58","56",""
"Julien Tous","K1H","186.6","80","56",""
"Romain Pallud","K1H","186.71","59","56",""
"Julien Dekarczyk","K1H","187.53","49","59",""
"Deslux Bertrand","K1H","187.63","59","60",""
"Julien Dosse","K1H","187.8","83","60",""
"Julien Billaut","K1H","188.06","49","61",""
"Patrice Fischer","K1H","189.36","79","66",""
"Frederic Walczak","K1H","189.42","97","66",""
"Loris Minvielle","K1H","189.6","61","67",""
"Christophe Marechal","K1H","189.8","61","68",""
"Alonso Remy","K1H","192.73","81","78",""
"Damien Laborde","K1H","192.79","85","78",""
"Julien Arribe","K1H","193.43","83","81",""
"Ragot Laurent","K1H","193.87","100","82",""
"Riwal Le Berre","K1H","195.19","98","87",""
"Pierre Devaux","K1H","195.37","72","88",""
"Piquard Gregoire","K1H","195.96","77","90",""
"Davy Egraz","K1H","196.03","86","90",""
"Arnaud Lapeze","K1H","196.33","106","91",""
"Bourgeois Cedric","K1H","196.41","93","92",""
"Aurelien Maynadier","K1H","197.71","112","96",""
"Mathieu Doby","K1H","197.74","79","96",""
"Jean Philippe Winiarski","K1H","199.7","95","104",""
"Montagny Sylvain","K1H","199.75","100","104",""
"Magat Philippe","K1H","201.06","-","108",""
"Fletcher Cyril","K1H","201.41","68","110",""
"Trzeciak Vincent","K1H","201.5","208","110",""
"Fabien Hantz","K1H","201.73","107","111",""
"Benoit Rouffet","K1H","202.56","114","114",""
"Bernis Camille","K1H","202.71","96","114",""
"Gregory Busson","K1H","202.96","117","115",""
"Octobre Olivier","K1H","203.41","98","117",""
"Charles Edouard Dherment","K1H","204.22","106","120",""
"Thibaud Delaunay","K1H","204.37","99","120",""
"Thomas Jean Pascal","K1H","204.57","93","121",""
"Nicolas Durand","K1H","204.94","-","123",""
"Bluy Alexandre","K1H","205.28","108","124",""
"Douillard Bertrand","K1H","206.36","104","128",""
"Radureau Lionel","K1H","217.17","164","167",""
"Mehdi Amini","K1H","218.03","179","170",""
"Christophe Augu","K1H","239.52","51","248",""
"Venceslas Viseur","K1H","248.32","88","280",""
