"Sélectif Régional de Slalom - Rimaison - Finale - 2016-03-13","Finale","2016-03-13","Régional","104"
"Timothee Cornu","C1H","130.63","497.22","701.34","Finale B"
"Loan Queffelec","C1H","140.4","680.49","823.3","Finale B"
"Killian Flegeau","C1H","142.78","-","853.01","Finale B"
"Yannick Courtay","C1H","153.35","606.6","984.97","Finale B"
"Elouan Pennors","C1HM","158.03","-","1043.39","Finale B"
"Etienne Chevrier","C1HM","159.88","-","1066.48","Finale B"
"Thibault Lamour","C1HM","166.31","-","1146.74","Finale B"
"Yann Le Bourser-Keliann Le Breton","C2H","129.72","446.94","616.36","Finale B"
"Fabiano Roma-Charles Temple","C2H","203.15","-","1491.37","Finale B"
"Timothee Cornu-Loan Queffelec","C2H","206.41","-","1530.21","Finale B"
"Jann Le Corre","K1D","123.85","374.44","507.24","Finale B"
"Andrea Hourdeaux","K1D","138","629.6","671.38","Finale B"
"Melanie Roger","K1D","166.75","-","1004.86","Finale B"
"Jeanne Chevrier","K1D","258.22","-","2065.9","Finale B"
"Samuel Lhegu","K1H","87.15","92.66","212.94","Finale B"
"Johann Lorcy","K1H","96.06","-","329.73","Finale B"
"Brieg Le Paih","K1H","106.43","426.85","465.66","Finale B"
"Vincent Torzec","K1H","107.89","425.71","484.8","Finale B"
"Charles Temple","K1H","108.03","387.65","486.63","Finale B"
"Jean Yves Prigent","K1H","108.9","382.47","498.04","Finale B"
"Kylian Lavole","K1H","110.72","415.48","521.89","Finale B"
"Jonas Flament","K1H","110.91","409.45","524.39","Finale B"
"Gaston Canevet","K1H","112.25","488.92","541.95","Finale B"
"Awen Le Paih","K1H","114.16","484.8","566.99","Finale B"
"Deverig Cardiec","K1H","120.32","561.09","647.73","Finale B"
"Guillaume Le Paih","K1H","120.5","596.22","650.09","Finale B"
"Valentin Le Paih","K1H","122.87","564.28","681.15","Finale B"
"Aubin Davaic","K1H","126.56","551.12","729.52","Finale B"
"Hugo Vanlerberghe","K1H","131.47","-","793.88","Finale B"
"Simon Cognard","K1H","149","-","1023.66","Finale B"
"Fabiano Roma","K1H","156.69","654.85","1124.46","Finale B"
"Corentin Makosso","K1H","175.22","-","1367.35","Finale B"
"Cyriac Rolland","K1H","184.38","925.72","1487.42","Finale B"
"Jean-christophe Dubois","K1H","190.44","753.38","1566.85","Finale B"
"Yann Curti","K1H","220.09","-","1955.49","Finale B"
"Louis Beaumois","K1H","323.78","-","3314.64","Finale B"
"Adrien Pierre","K1HM","124.03","-","696.36","Finale B"
"Glen Le Meur","K1HM","124.57","666.1","703.44","Finale B"
"Romain Malard","K1HM","131.1","-","789.03","Finale B"
"Malo De Bermingham","K1HM","135.22","-","843.04","Finale B"
"Tanguy Odot","K1HM","172.34","929.95","1329.6","Finale B"
"Etienne Chevrier","K1HM","203.84","-","1742.49","Finale B"
"Alexandre Bourliaud","K1HM","212.59","-","1857.19","Finale B"
"Corentin Beaumois","K1HM","265.87","-","2555.57","Finale B"
