"Sélectif Régional - Bagnères de Bigorre - 2013-12-01","Course 2","2013-12-01","Régional","179"
"Maxime Tilhet","K1H","83.99","73.1","220.77",""
"Titouan Dupras","K1H","84.4","77","226.16",""
"Clement Travert","K1H","84.41","50.72","226.3",""
"Edgar Prigent","K1H","84.93","84.38","233.13",""
"Damien Laborde","K1H","84.95","62.74","233.4",""
"Gurgen Brun","K1H","85.04","24.07","234.58",""
"Enzo Seker","K1H","86.6","50.58","255.1",""
"Theo Celjo","K1H","86.97","149.52","259.96",""
"Florian Campagnole","K1H","87.13","72.19","262.07",""
"Remy Cassar","K1H","87.3","90.13","264.31",""
"Bertrand Gourrat","K1H","87.58","-","267.99",""
"Jean Freri","K1H","88.26","206.47","276.93",""
"Fabien Lanao","K1H","88.56","93","280.88",""
"Pierre Labarelle","K1H","88.81","-","284.17",""
"Alexis Sejourne","K1H","88.93","-","285.75",""
"Pierre De La Morinerie","K1H","89.23","138.26","289.69",""
"Ancelin Gourjault","K1H","90.39","208.98","304.95",""
"Thomas Schmitt","K1H","90.45","32.56","305.74",""
"Julien Money","K1H","91.84","156.42","324.02",""
"Marc Anthoine Marchand","K1H","92.63","236.92","334.41",""
"Hugo Crepeau","K1H","92.8","246.55","336.65",""
"Allan Cousset","K1H","94.19","142.25","354.93",""
"Robin Vandenbossche","K1H","94.32","-","356.64",""
"Tom Ydoux","K1H","94.59","215.93","360.2",""
"Sebastien Martel","K1H","94.98","270.26","365.33",""
"Anthony Poux","K1H","95.31","168.84","369.66",""
"Brieuc Cadic","K1H","96.64","231.48","387.16",""
"Louis Midy","K1H","97.09","195.02","393.07",""
"Clement Sempastous","K1H","97.22","218.83","394.79",""
"Guillaume Itou","K1H","99.12","263.73","419.78",""
"Clement Brumont","K1H","99.32","221.09","422.41",""
"Francois Giondini","K1H","99.66","275.87","426.88",""
"Micael Rodriguez Alves Lato","K1H","99.76","364.14","428.2",""
"Pierre Berenguel","K1H","99.99","251.72","431.21",""
"Vincent Gardere","K1H","100.02","327.26","431.61",""
"Komlangan Gassou","K1H","100.27","261.8","434.9",""
"Nicolas Corbin","K1H","101.38","341.19","449.51",""
"Hippolyte Cail","K1H","102.07","355.65","458.58",""
"Antoine Dumaye","K1H","102.33","205.39","462",""
"Olivier Cail","K1H","102.7","-","466.86",""
"Jean-francois Souville","K1H","103.22","146.11","473.7",""
"Hugo Mouffle","K1H","103.31","-","474.89",""
"Florent Iraundegui","K1H","104.11","-","485.41",""
"Eric Vidou","K1H","104.15","374.78","485.93",""
"Quentin Clerc","K1H","104.79","375.46","494.35",""
"Antoine Laye","K1H","105.23","346.58","500.14",""
"Nicolas Neveu","K1H","105.28","339.02","500.8",""
"Jean Bernard Lacave","K1H","105.42","329.95","502.64",""
"Jean Baptsite Cans","K1H","106.42","307.96","515.79",""
"Maxime Garcia","K1H","107.22","435.01","526.31",""
"Clement Bosc","K1H","108.82","315.85","547.36",""
"Matthieu Demarty","K1H","110.42","369.3","568.41",""
"Roman Gastaud","K1H","110.73","-","572.48",""
"Simon Frealle","K1H","111.07","455.74","576.96",""
"Vincent Laulhe","K1H","111.11","307.13","577.48",""
"Nicolas Alran","K1H","111.81","422.89","586.69",""
"Pierre-louis Saussereau","K1H","111.92","-","588.14",""
"Olivier Cain","K1H","120.58","90.68","702.04",""
"Theo Ducasse","K1H","123.72","629.25","743.34",""
"Robin Mougel","K1H","127.93","-","798.71",""
"Maurice Pubert","K1H","137.56","640.03","925.37",""
"Axel Devaud","K1H","139.91","1409.1","956.29",""
"Kenae Brassier","K1H","140.93","-","969.71",""
"Robin Genty","K1H","144.05","419","1010.74",""
"Clement Caillard","K1H","145.5","-","1029.81",""
"Edouard Lecomte","K1H","147.63","-","1057.83",""
"Luc Sarramea","K1H","151.47","-","1108.34",""
"Pierre Pailhes","K1H","163.31","-","1264.07",""
"Louis Foissac","K1H","167.24","1200.44","1315.76",""
"Bastien Daniel","K1H","177.86","397.42","1455.45",""
"Baptiste Lauroua","K1H","212.33","533.88","1908.83",""
"Marc Lalande","K1H","224.9","298.38","2074.16",""
"Florian Giraud","K1H","231.82","802.35","2165.18",""
"Jules Collarde","K1H","232.02","3440.64","2167.82",""
"Jules Besson","K1H","249.02","-","2391.42",""
"Damien Caillard","K1H","278.74","-","2782.33",""
"Paul Pradalie","K1H","278.84","-","2783.64",""
"Nicolas Saurat","K1H","279.63","1529.44","2794.03",""
"Eric Gonzalez","K1H","281.31","847.45","2816.13",""
"Franck Vanhoutteghem","K1H","314.66","902.46","3254.78",""
"Robin Julier","K1H","370.5","-","3989.25",""
"Ludovic Castelle","K1H","422.39","-","4671.76",""
"Nicolas Peyroux","K1H","690.37","-","8196.5",""
"Pierre Campagne","K1H","Nt","-","-",""
"Paul Luquet","K1H","Nt","-","-",""
"Robin Metra","K1H","Nt","-","-",""
"Jon Levy","K1H","Nt","-","-",""
"Emile Delamarche","K1H","Nt","-","-",""
"Addwyn Martinez","K1H","Nt","-","-",""
"Manuel Legros","K1H","Nt","-","-",""
"Arnaud Lapeze","K1H","Nt","-","-",""
"Romain Faurie","K1H","Nt","-","-",""
