"Sélectif National 3 Slalom Sud-Est - Vallon Pont D Arc - Qualification - 2018-04-22","Qualification","2018-04-22","Nationale 3","128"
"Sebastien Riou","K1H","95.75","492.06","450.01",""
"Robin Andre","K1H","96.27","369.98","457.81",""
"Gabriel Saul","K1H","96.6","435.46","462.76",""
"Arthur Vernede","K1H","96.73","562.33","464.71",""
"Erwan Quellec","K1H","96.83","425.85","466.21",""
"Benjamin Guyon","K1H","98.04","393.63","484.35",""
"Theo Brun","K1H","98.47","413.09","490.8",""
"Nicolas Monzerian","K1H","98.47","466.68","490.8",""
"Arthur Talarmain","K1H","99.19","495.92","501.6",""
"Nicolas Demofsqui","K1H","99.42","427.85","505.04",""
"Gabin Chenal","K1H","100.1","597.39","515.24",""
"Alexei Evlachev","K1H","100.13","485.86","515.69",""
"Alexis Guillon","K1H","100.33","540.46","518.69",""
"Raphael Bonnard","K1H","100.5","516.45","521.24",""
"Corentin Georgeon","K1H","100.74","446.1","524.84",""
"Herve Vitali","K1H","100.88","419.3","526.94",""
"Alexis Mercoirol","K1H","101.04","2604.99","529.34",""
"Matthieu Rousseau","K1H","101.15","572.26","530.99",""
"Clement Grapotte","K1H","102.4","479.73","549.73",""
"Julien Ojard-chillet","K1H","103.49","633.44","566.08",""
"Jordan Agullo","K1H","103.65","597.27","568.48",""
"Rutger Hoedemaker","K1H","103.76","616.03","570.12",""
"Yves Masson","K1H","104.36","476.8","579.12",""
"Axel Clement","K1H","105.04","533.99","589.32",""
"Matis Cote","K1H","106.42","625.79","610.01",""
"Thibaud Chovin","K1H","106.51","606.05","611.36",""
"Denis Cote","K1H","107.25","465.84","622.46",""
"Adrien Jacquemet","K1H","107.51","462.22","626.36",""
"Basile Monzerian","K1H","107.56","703.94","627.11",""
"Leo Parnotte","K1H","107.61","592.62","627.86",""
"Quentyn Maitre","K1H","108.12","644.81","635.5",""
"Charlie Bouvier","K1H","108.66","818.76","643.6",""
"Theo Viallard","K1H","108.88","489.14","646.9",""
"Laurent Brossat","K1H","108.92","633.12","647.5",""
"Louis Payan","K1H","109.07","634.91","649.75",""
"Serge Doby","K1H","110.82","788.12","675.99",""
"Jean-marc Suarez","K1H","114.16","614.89","726.08",""
"Yorick Richioud","K1H","114.86","709.14","736.57",""
"Valentin Jossemit","K1H","116.34","621.79","758.77",""
"Oscar Puc","K1H","116.42","862.19","759.97",""
"Philippe Lelieur","K1H","117.74","479.65","779.76",""
"Justin Murphy","K1H","118.18","661.45","786.36",""
"Florent Vallier","K1H","119.66","617.43","808.55",""
"Matthieu Fontanez","K1H","119.95","619.37","812.9",""
"Ronan Emery","K1H","120.82","512.71","825.95",""
"Esteban Reder-issartel","K1H","122.61","530.49","852.79",""
"Mathieu Meilier","K1H","123.11","746.51","860.28",""
"Swann Imbert","K1H","127.09","718.06","919.97",""
"Yann Leruste","K1H","136.02","329.66","1053.87",""
"Simon Lescaut","K1H","158.71","855.27","1394.12",""
"Antonin Castille","K1H","161.66","591.47","1438.36",""
"Marc Roussel","K1H","169.87","993.06","1561.47",""
"Emeric Vibert","K1H","Abs","-","-",""
"Clement Couchoud","K1H","Abs","-","-",""
"Antoine Mazoyer","K1H","Abs","-","-",""
"Damien Chamblay","K1H","Abs","-","-",""
"Olivier Hardonniere","K1H","Abs","-","-",""
"Hugo Ausseresse","K1H","Abs","-","-",""
"Remy Beal","K1H","Abs","-","-",""
"Louis Mazoyer","K1H","Abs","-","-",""
"Florian Jarousse","K1H","Abs","-","-",""
"Ulysse Brunel","K1H","Abs","-","-",""
"Raphael Ricci Miege","K1H","Abs","-","-",""
"Kilian Cottet","K1H","Abs","-","-",""
"Remi Vallin","K1H","Abs","-","-",""
"Mathys Rene","K1H","Abs","-","-",""
"Joachim Saussol","K1H","Abs","-","-",""
"Camille Balsac","K1H","Abs","-","-",""
"Thijs Duvillard","K1H","Abs","-","-",""
"Frederic Brissaud","K1H","Abs","-","-",""
"Stephen Furio","K1H","Abs","-","-",""
