"Sélectif Championnat National 2 Slalom - Bassin De La Pucelle - Finale - 2016-02-28","Finale","2016-02-28","Nationale 2","92"
"Jeancharles Reby","C1H","153.4","277.95","693.65","Finale B"
"Romain Bertrand","C1H","158.4","285.38","746.6","Finale B"
"Quentin Moreaux","C1H","Abd","-","-","Finale B"
"Marcantoine Hacquart-Bertrand Gutierrez","C2H","Abs","-","-","Finale B"
"Athenais Reby","K1D","140.11","313.13","447.9","Finale B"
"Lisa Robin","K1D","141.79","231.46","464.43","Finale B"
"Celia Grandadam","K1D","142.21","328.29","468.57","Finale B"
"Auregane Philip","K1D","144.57","301.32","491.78","Finale B"
"Elena Hugues","K1D","145.91","312.29","504.97","Finale B"
"Eva Dauvergne","K1D","149.23","313.34","537.63","Finale B"
"Alicia Gallot","K1D","149.86","289.15","543.82","Finale B"
"Sabine Kleinhenz","K1D","151.59","324.28","560.85","Finale B"
"Fanny Mino-vercellio","K1D","158.67","305.07","630.51","Finale B"
"Zoe Bruchon","K1D","159.3","317.6","636.71","Finale B"
"Louise Bichet","K1D","162.07","294.41","663.97","Finale B"
"Lucie Robin","K1D","168.71","327.11","729.3","Finale B"
"Lucie Cecile","K1D","169.53","286.12","737.37","Finale B"
"Axelle Armanini","K1D","189.3","214.51","931.88","Finale B"
"Camille Hurez","K1D","194.1","286.51","979.11","Finale B"
"Marion Delorme","K1D","197.39","268.15","1011.48","Finale B"
"Alina Rassel","K1D","260.11","315.74","1628.59","Finale B"
"Lucas Galmiche","K1H","100.21","199.91","183.5","Finale B"
"Vincent Ablin","K1H","101.42","172.76","196.95","Finale B"
"Maxime Di Lauro","K1H","101.86","215.44","201.84","Finale B"
"Romain Bertrand","K1H","106.08","213.65","248.76","Finale B"
"Robin Pilard","K1H","106.36","181.21","251.87","Finale B"
"Yohan Marck","K1H","109.36","249.3","285.23","Finale B"
"Aaron Penning","K1H","109.54","260.51","287.23","Finale B"
"Louis Masson","K1H","109.64","168.16","288.34","Finale B"
"Hugo Simon","K1H","109.9","217.25","291.23","Finale B"
"Arthur Favennec","K1H","113.43","242.24","330.48","Finale B"
"Lilian Querry","K1H","116.45","259.18","364.05","Finale B"
"Yann Zaepffel","K1H","116.77","258.9","367.61","Finale B"
"Ludovic Ngo","K1H","118.62","237.39","388.18","Finale B"
"Quentin Moreaux","K1H","125.96","201.14","469.79","Finale B"
"Damien Ganthier","K1H","207.89","194.45","1380.7","Finale B"
"Pascal Ferry","K1H","Abs","-","-","Finale B"
