"Sélectif Régional de Slalom - 56650 Inzinzac Lochrist - Qualification - 2020-01-12","Qualification","2020-01-12","Régional","139"
"Julien Mizzi","K1H","99.5","308.79","393.41",""
"Julien Dosse","K1H","99.82","291.29","397.77",""
"Maxime Berthaut","K1H","100.81","286.6","411.28",""
"Johann Lorcy","K1H","100.96","771.5","413.33",""
"Emmanuel Cosse","K1H","101.49","452.26","420.56",""
"Stephane Debliquy","K1H","101.69","421.77","423.29",""
"Thomas Hado","K1H","101.72","501.54","423.7",""
"Yann Curti","K1H","102.15","509.57","429.57",""
"Florian Lohezic","K1H","102.43","521.53","433.39",""
"Simon Beguinel","K1H","105.38","638.96","473.65",""
"Mathieu Le Gall","K1H","105.73","-","478.42",""
"Mael Calvez","K1H","106.26","626.86","485.66",""
"Gaetan Le Jeune","K1H","106.94","542.86","494.94",""
"Logan Toubel","K1H","107.36","570.96","500.67",""
"Jules Brisson","K1H","108.43","492.64","515.27",""
"Valentin Rolland","K1H","108.73","786.7","519.37",""
"Francois Bonthonnou","K1H","108.91","554.66","521.82",""
"Maxence Gautier Grall","K1H","109.99","543.76","536.56",""
"Florian Szabo","K1H","110.38","632.37","541.88",""
"Victor Perebaskine","K1H","113.7","917.29","587.19",""
"Jean Yves Prigent","K1H","115.55","573.66","612.44",""
"Ewann Hervouet","K1H","116.24","671.5","621.85",""
"Pacome Michel","K1H","117.16","734.07","634.41",""
"Ambroise Perier","K1H","117.44","774.93","638.23",""
"Tanguy Rolland","K1H","118.74","721.58","655.97",""
"Thomas Le Devehat","K1H","121.43","811.78","692.68",""
"Vincent Donval","K1H","122.65","524.92","709.33",""
"Simon Le Nevez","K1H","124.08","859.27","728.84",""
"Arthur Hervieu","K1H","124.26","897.93","731.3",""
"Thibault Kerleau","K1H","127.54","1006.79","776.06",""
"Iwen Robic","K1H","128.14","774.13","784.25",""
"Maxence Quillere","K1H","134.15","882.98","866.27",""
"Titouan Castryck","K1H","137.23","160.34","908.3",""
"Christian Le Parc","K1H","145.01","887.99","1014.47",""
"Corentin Beaumois","K1H","159.48","430.19","1211.94",""
"Denis Coppens","K1H","167.04","858.38","1315.11",""
"Titouan Briand","K1H","193.58","859.78","1677.29",""
"Brieg Le Paih","K1H","Abs","-","-",""
"Ewenn Le Louet","K1H","Abs","-","-",""
"Valentin Rault","K1H","Abs","-","-",""
"Milio Le Touze","K1H","Abs","-","-",""
"Hoel Carnot","K1H","Abs","-","-",""
"Elouan Debliquy","K1HM","99.2","351.59","389.31",""
"William Adeline","K1HM","115.21","661.56","607.8",""
"Duncan Coppens","K1HM","120.15","782.87","675.21",""
"Victor Julou","K1HM","121.79","730.62","697.59",""
"Lucas Hado","K1HM","128.03","902.35","782.75",""
"Timeo Le Gal","K1HM","136.52","-","898.61",""
"Lorenzo Caucheteux","K1HM","137.44","888.28","911.16",""
"Mael Robic","K1HM","138.28","-","922.63",""
"Clement Le Naour","K1HM","145.36","816.26","1019.25",""
"Clement Hado","K1HM","150.54","1072.99","1089.94",""
"Timothe Balbous","K1HM","182.74","-","1529.36",""
"Mathis Colin","K1HM","188.05","-","1601.83",""
"Loan Beaucourt","K1HM","206.74","1199.28","1856.89",""
"Mewen Coadou","K1HM","245.48","950.94","2385.56",""
"Sam Julien","K1HM","290.04","-","2993.66",""
"Youn Roger","K1HM","Abd","-","-",""
"Celio Chevallier","K1HM","Abs","-","-",""
"Noah Hebert","K1HM","Abd","-","-",""
