"Sélectif Régional de slalom - Bassin Du Saut Du Sabo - Finale - 2016-09-25","Finale","2016-09-25","Régional","144"
"Clemence Lartigue","K1D","119.89","315.81","324.84","Finale A"
"CÉcilia Bourgeois","K1D","124.5","376.36","375.01","Finale A"
"Margot Beziat","K1D","124.98","334.92","380.23","Finale A"
"Violaine Truche","K1D","125.18","267.21","382.41","Finale A"
"Maeva Bachelot","K1D","125.68","402.51","387.84","Finale A"
"Carla Lacroix","K1D","127.2","372.38","404.38","Finale A"
"Stephanie Kaczmarek","K1D","128.28","252.67","416.13","Finale A"
"Emma Vuitton","K1DM","121.51","329.33","342.48","Finale A"
"Pauline Rouilhet","K1DM","157.29","1259.64","731.77","Finale A"
"Aurore Poirot","K1DM","197.67","-","1171.11","Finale A"
"Sebastien Nouvel","K1H","92.18","120.71","153.74","Finale A"
"Paul Pradalie","K1H","98.73","274.68","234.27","Finale A"
"Damien Laborde","K1H","99.76","148.97","246.93","Finale A"
"Quentin Clerc","K1H","99.79","262.22","247.3","Finale A"
"Paul Jean","K1H","100.04","-","250.38","Finale A"
"Luc Sarramea","K1H","100.92","281.42","261.19","Finale A"
"Jonathan Delagnes","K1H","101.23","223.06","265.01","Finale A"
"Tom Ydoux","K1H","101.31","-","265.99","Finale A"
"Gregoire Guerin","K1H","102","151.49","274.47","Finale A"
"Jeremie Palazy","K1H","102.4","310.07","279.39","Finale A"
"Leo Vuitton","K1H","103.37","315.51","291.32","Finale A"
"Marceau Faget","K1H","104.65","-","307.05","Finale A"
"Olivier Cail","K1H","105.45","220.2","316.89","Finale A"
"Guillaume De Fierville","K1H","105.7","274.37","319.96","Finale A"
"Theo Roisin","K1H","106.28","-","327.09","Finale A"
"Tino Forgues","K1H","107.68","392.32","344.31","Finale A"
"Clement Caillard","K1H","108","354.19","348.24","Finale A"
"Loic Thibaut","K1H","108.21","392.16","350.82","Finale A"
"Gael Adisson","K1H","109","318.04","360.54","Finale A"
"Elliot Perez","K1H","110.56","397.89","379.72","Finale A"
"Antonin Maystre","K1H","110.75","386.42","382.05","Finale A"
"Thibault Clerc","K1H","111.65","428.3","393.12","Finale A"
"Patrick Clerc","K1H","115.17","357.05","436.39","Finale A"
"Elian Giondini","K1H","115.98","451.74","446.35","Finale A"
"Jacques Roisin","K1H","116.35","570.83","450.9","Finale A"
"Jose Pereira","K1H","116.59","429.07","453.85","Finale A"
"Guillaume Viguier","K1H","117.1","388.39","460.12","Finale A"
"Marc Sarramea","K1H","118.31","431.78","475","Finale A"
"Florent Iraundegui","K1H","157.15","223.55","952.52","Finale A"
"Tom Bouchardon","K1HM","104.84","281.92","309.39","Finale A"
"Angus Cruickshank","K1HM","117.67","536","467.13","Finale A"
"Pablo Chaminade","K1HM","120.9","605.12","506.84","Finale A"
"Tonin Desmet","K1HM","123.84","668.62","542.99","Finale A"
"Etienne Saint Picq","K1HM","125.35","-","561.55","Finale A"
"Abel Boidron","K1HM","126.56","1228.72","576.43","Finale A"
"Mael Bernes","K1HM","129.39","545.18","611.22","Finale A"
"Yannis Dast","K1HM","130.86","-","629.3","Finale A"
"Esteban Illido","K1HM","132.15","573.58","645.16","Finale A"
"Thomas Fernandez","K1HM","134.84","807.28","678.23","Finale A"
"Thomas TerrÉ","K1HM","136.82","851.58","702.57","Finale A"
"Quentin Rabot","K1HM","211.93","1028.23","1626.03","Finale A"
"Martin Jouves","C1H","118.42","397.19","412.02","Finale B"
"Herve Clerc","C1H","121.87","-","452.42","Finale B"
"Quentin Clerc","C1H","122.85","-","463.89","Finale B"
"Marc Sarramea","C1H","127.61","489.7","519.62","Finale B"
"Arthur Cousty","C1H","128.53","549.95","530.41","Finale B"
"Felix Sperandio","C1H","136.98","593.72","629.34","Finale B"
"Natan Brule","C1H","Abs","-","-","Finale B"
"Camille Santa Cruz","K1D","128.32","423.84","421.57","Finale B"
"Carla Voineau","K1D","131.76","507.42","459","Finale B"
"Agathe Gewiss","K1D","133.87","410.38","481.95","Finale B"
"Jeanne Pecot","K1D","134.59","471.84","489.79","Finale B"
"Lyse Brichet","K1D","138.56","729.55","532.98","Finale B"
"Helene Courtel","K1D","138.64","597.9","533.85","Finale B"
"Lea Pages","K1D","140.34","484.34","552.35","Finale B"
"Lea Hubert","K1D","143.63","656.73","588.14","Finale B"
"Clea Tasserit","K1D","144.7","561.3","599.79","Finale B"
"Clarisse Hoogland","K1D","154.26","573.43","703.8","Finale B"
"Ismaella Khattou","K1D","154.79","725.95","709.57","Finale B"
"Claire Veloso","K1D","175.2","1413.01","931.63","Finale B"
"Selma Janami-ragu","K1D","194.04","-","1136.62","Finale B"
"Marion Massat","K1D","230.47","-","1532.99","Finale B"
"Tom Deconchy","K1H","97.89","213.55","228.94","Finale B"
"Natan Brule","K1H","103.84","278.4","302.1","Finale B"
"Valentin Courtiade","K1H","104.64","287.68","311.93","Finale B"
"Nicolas Saurat","K1H","107.07","349.49","341.81","Finale B"
"Marc Cordier","K1H","107.21","341.9","343.53","Finale B"
"Theo Ducasse","K1H","108.4","373.51","358.16","Finale B"
"Pierre Leymonerie","K1H","109.42","-","370.7","Finale B"
"Louis Foissac","K1H","110.63","348.98","385.58","Finale B"
"Guilhem Viguier","K1H","111.2","407.13","392.58","Finale B"
"Arthur Cousty","K1H","111.42","373.68","395.29","Finale B"
"Nathan Pavot","K1H","115.93","402.37","450.74","Finale B"
"Samuel Taillefer","K1H","118.38","491.92","480.86","Finale B"
"Felix Praderie","K1H","118.65","454.7","484.18","Finale B"
"Felix Sperandio","K1H","118.73","498.01","485.16","Finale B"
"Thibaut Planat","K1H","119.45","-","494.02","Finale B"
"Eric Vidou","K1H","119.46","426.61","494.14","Finale B"
"Loan Jioux","K1H","121.32","606.7","517.01","Finale B"
"Compton Cruickshank","K1H","122.43","586.04","530.65","Finale B"
"Iyelmo Padova","K1H","125.28","665.02","565.69","Finale B"
"Yanis Clerc","K1H","127.64","452.84","594.71","Finale B"
"Camille Poirot","K1H","128.93","736.52","610.57","Finale B"
"Antoine Lizee","K1H","133.12","-","662.08","Finale B"
"Renaud Clerc","K1H","134.01","693.53","673.03","Finale B"
"Tom Gonzales","K1H","136.15","634.95","699.34","Finale B"
"Jean Cougul","K1H","138.32","746.87","726.02","Finale B"
"Alexis Goussebayle","K1H","186.48","-","1318.13","Finale B"
"Thibaut Carcy","K1H","190.85","-","1371.85","Finale B"
"Angel Campillo","K1H","293.67","-","2635.99","Finale B"
"Alain Dast","K1H","Abs","-","-","Finale B"
"Baptiste San Nicolas","K1HM","130.2","754.75","626.18","Finale B"
"Matt Vidou","K1HM","131.7","811.35","644.62","Finale B"
"Guillaume Malmezac","K1HM","140.65","764.69","754.66","Finale B"
"Hugo Crespo","K1HM","140.68","1230.54","755.03","Finale B"
"Loic Leymonerie","K1HM","142.7","888.66","779.87","Finale B"
"Romain Cadiot","K1HM","144.31","-","799.66","Finale B"
"Lohan Wyon","K1HM","145.84","-","818.47","Finale B"
"Clement Guyon","K1HM","149.89","-","868.26","Finale B"
"Clement Serres","K1HM","151.9","1002.66","892.98","Finale B"
"ThÉo Palumbo","K1HM","171.96","-","1139.61","Finale B"
"Jules Maitre","K1HM","194.93","-","1422.02","Finale B"
"Solal Gaudin","K1HM","195.04","-","1423.37","Finale B"
"Noe Villeneuve","K1HM","Des","-","-","Finale B"
