"Sélectif N3 Ouest - Sablé Sur Sarthe - 2010-05-08","Course 1","2010-05-08","Nationale 3","200"
"Johane Guinberteau","K1D","123.99","389","411",""
"Suzy Merand","K1D","125.87","386","433",""
"Marie Landais","K1D","126.53","370","441",""
"Manon Moreau","K1D","136.51","749","556",""
"Charlotte Robuchon","K1D","137.75","571","570",""
"Elise Turowsky","K1D","140.10","686","597",""
"Solene Guillet","K1D","149.94","510","711",""
"Manuel Moquet","K1H","91.32","216","171",""
"Simon Bercon","K1H","92.38","232","185",""
"Simon Philibert","K1H","94.20","215","209",""
"Simon Le Friec","K1H","94.53","239","213",""
"Mathys Huvelin","K1H","94.58","226","214",""
"Guillaume Chainier","K1H","95.18","216","221",""
"Emmanuel Cosse","K1H","95.29","218","223",""
"Camille L'hostis","K1H","95.48","250","225",""
"Damien Caillon","K1H","96.18","204","235",""
"Louison Turmeau","K1H","96.45","279","238",""
"Olivier Nonnet","K1H","96.47","271","238",""
"Denis Guilmard","K1H","96.61","243","240",""
"Yoann Le Guyader","K1H","96.94","224","244",""
"Benjamin Sanella","K1H","97.33","304","250",""
"Patrick Jegou","K1H","97.34","226","250",""
"Etienne Chauvin","K1H","97.50","241","252",""
"Luc Hellard","K1H","97.99","226","258",""
"Clement Praille","K1H","98.07","244","259",""
"Alexis Moriceau","K1H","98.72","227","268",""
"Jacques Despierres","K1H","99.11","215","273",""
"Alexis Lotton","K1H","99.39","297","276",""
"Yoann Turowsky","K1H","99.39","219","276",""
"Valentin Blondel","K1H","99.41","260","277",""
"Loic Froissard","K1H","99.72","312","281",""
"Alexandre Dherbilly","K1H","99.81","326","282",""
"Christophe Gergaud","K1H","100.09","303","286",""
"Cedric Jegouzo","K1H","100.20","304","287",""
"Thomas Marino","K1H","100.35","255","289",""
"Thomas L'hotelier","K1H","100.56","304","292",""
"Stephane Gallerne","K1H","100.70","296","293",""
"Simon Vaillant","K1H","100.74","355","294",""
"David Julou","K1H","100.88","285","296",""
"Matthieu Lebret","K1H","101.26","312","301",""
"Kevin Sponem","K1H","101.74","296","307",""
"Denis Voisin","K1H","101.75","293","307",""
"Edouard Anne","K1H","101.96","347","310",""
"Joseph Simon","K1H","102.08","337","311",""
"Hugo Le Goff","K1H","102.08","311","311",""
"Pierre Audouin","K1H","102.38","402","315",""
"Francois Gillot","K1H","102.52","312","317",""
"Hoel Carnot","K1H","102.58","363","318",""
"Mathis Besse","K1H","102.71","344","320",""
"Valentin Cesbron","K1H","102.92","360","322",""
"Gaetan Hamelin","K1H","102.93","324","323",""
"Xavier Flatreau","K1H","103.41","432","329",""
"Ludovic Gaignon","K1H","103.47","265","330",""
"David Ravache","K1H","103.56","384","331",""
"Alexandre Plumejeau","K1H","103.73","361","333",""
"Dimitri Etienne","K1H","103.73","398","333",""
"Jean-noel Avril","K1H","103.79","374","334",""
"Francois Madec","K1H","103.85","317","335",""
"Julien Caillarec","K1H","103.93","261","336",""
"Damien Kerangoarec","K1H","104.13","324","338",""
"Romain Gaillard","K1H","104.46","352","343",""
"Maxime Foucault","K1H","104.61","416","344",""
"Simon Drouart","K1H","104.67","356","345",""
"Thibaut Mechling","K1H","104.71","394","346",""
"Victor Azam","K1H","104.83","252","347",""
"Martin Belliot","K1H","104.98","340","349",""
"Emmanuel L'anton","K1H","105.28","369","353",""
"Maxime Lignereux","K1H","105.41","364","355",""
"Jordan Rocdunos","K1H","105.68","405","358",""
"Matthieu Laumonier","K1H","105.70","339","359",""
"Vincent Nicolosi","K1H","105.79","283","360",""
"Antoine Delcourt","K1H","105.82","364","360",""
"William Jacopin","K1H","105.98","300","362",""
"Leo Xiberras","K1H","105.99","365","362",""
"Jean Francois Clement","K1H","106.03","442","363",""
"Charlie Baron","K1H","106.25","403","366",""
"Guillaume Payet","K1H","106.31","432","367",""
"Nicolas Pelle","K1H","106.41","449","368",""
"Simon Dureau","K1H","106.57","413","370",""
"Erwan Le Guevel","K1H","106.89","368","374",""
"Jean- Baptiste Pannetier","K1H","107.05","397","376",""
"Alexandre Le Quere","K1H","107.23","357","379",""
"Quentin Moret De Rocheprise","K1H","107.27","317","379",""
"Jason Brothier","K1H","107.52","347","382",""
"Philippe Rocher","K1H","107.53","340","383",""
"Romain Foulon","K1H","107.59","402","383",""
"Stann Savels","K1H","107.61","381","384",""
"Alan Dollo","K1H","107.63","387","384",""
"Anthime Larousse","K1H","107.91","437","388",""
"Francois Faguet","K1H","108.06","412","389",""
"Paul Trecul","K1H","109.17","406","404",""
"Wilfried Harduin","K1H","109.25","474","405",""
"Nathan Chaumier","K1H","109.75","431","412",""
"Quentin Ferrand","K1H","109.75","486","412",""
"Xavier Le Gallic","K1H","109.91","452","414",""
"Damien Goujard","K1H","110.03","428","415",""
"Gael David","K1H","110.18","491","417",""
"Francois Xavier Robinet","K1H","110.48","474","421",""
"Valentin Soullard","K1H","110.50","431","421",""
"Clement Cierocki","K1H","110.56","545","422",""
"Hugo Guilleray","K1H","110.66","445","423",""
"Richard Fradin","K1H","110.82","415","425",""
"Paulin Cachanado","K1H","111.37","534","433",""
"Flavien Portier","K1H","111.82","486","439",""
"Quentin Fleury","K1H","112.03","528","441",""
"Pierreyves Renaudin","K1H","112.37","377","446",""
"Christophe Mitchell","K1H","113.00","429","454",""
"Thibaud Chevalier","K1H","113.12","575","455",""
"Olivier Brillaut","K1H","113.19","462","456",""
"Nicolas Leconte","K1H","113.26","426","457",""
"Pierrick Meheust","K1H","113.66","410","463",""
"Loup Charles","K1H","113.83","509","465",""
"Jeremy Jestin","K1H","113.97","553","467",""
"Melaine Colin","K1H","114.13","496","469",""
"Raphael Cuillerdier","K1H","114.15","585","469",""
"Antoine Jonin","K1H","114.65","776","475",""
"Jean-noel Biteau","K1H","115.40","421","485",""
"Clement Dubois","K1H","115.94","529","492",""
"Sullivan Kingsland","K1H","116.05","585","494",""
"Christian Belouin","K1H","116.37","525","498",""
"Jordan Mellouet","K1H","117.09","568","507",""
"Antonin Dalaine","K1H","117.43","740","512",""
"Ludovic Le Cointre","K1H","118.12","572","521",""
"Victor Renoult","K1H","119.01","687","532",""
"Daniel Bregazzi","K1H","119.37","609","537",""
"Jerome Saliou","K1H","119.69","574","541",""
"Steve Bruniquel","K1H","123.89","597","596",""
"Florian Plault","K1H","131.06","723","689",""
"Florian Billat","K1H","Nt","-","-",""
"Maxime Biret","K1H","Nt","-","-",""
"Guillaume Chasseriault","K1H","Nt","-","-",""
