"Coupe Régionale - Epinal - Finale - 2014-03-23","Finale","2014-03-23","Régional","236"
"Michael Didier","K1H","107.29","310.42","348.37","Finale A"
"Jocelyn Racape","K1H","107.91","374.74","356.12","Finale A"
"Florent Tamburini","K1H","107.93","340.42","356.37","Finale A"
"Damien Siegfried","K1H","109.03","340.9","370.13","Finale A"
"Lucas Gillet","K1H","109.04","327.26","370.25","Finale A"
"Vincent Idriss Achaoui","K1H","109.38","457.17","374.51","Finale A"
"Maxence Long","K1H","109.64","311.11","377.76","Finale A"
"Alexis Chauville","K1H","109.96","357.36","381.76","Finale A"
"Vincent Morabito","K1H","110.94","256.19","394.01","Finale A"
"Foulques Gidoin","K1H","111.49","426.13","400.89","Finale A"
"Robin Pottelette","K1H","112.34","429.48","411.52","Finale A"
"Valentin Bonnot","K1H","113.13","430.71","421.4","Finale A"
"Yann Zaepffel","K1H","113.46","453.16","425.53","Finale A"
"Raphael Cuillerdier","K1H","114.07","458.79","433.15","Finale A"
"Antoine Leroy","K1H","114.22","321.89","435.03","Finale A"
"Guillaume Goury","K1H","116.51","461.13","463.67","Finale A"
"Jules Marchal","K1H","120.04","459.13","507.81","Finale A"
"Benjamin Dodane","K1H","120.08","516.01","508.31","Finale A"
"Gregory Ganthier","K1H","121.53","364.55","526.44","Finale A"
"Lucas Ferraina","K1H","142.7","205.46","791.17","Finale A"
"Robin Pilard","K1H","143.26","165.34","798.17","Finale A"
"Xavier Marie","K1H","147.38","207.17","849.69","Finale A"
"Benoit Lecoester","K1H","154.24","328.13","935.47","Finale A"
"Yann Becker","K1H","157.59","249.96","977.37","Finale A"
"Loic Joly","K1H","164.49","-","1063.65","Finale A"
"Louis Pein","K1HM","113.61","-","-","Finale A"
"Jules Bernardet","K1HM","118.3","-","-","Finale A"
"Corentin Monasse","K1HM","120.31","-","-","Finale A"
"Dyclan Plessis","K1HM","131.75","-","-","Finale A"
"Theo Beucler","K1HM","137.29","-","-","Finale A"
"Samuel Gerard","K1HM","139.44","-","-","Finale A"
"Anthony Rouhier","K1HM","144.33","-","-","Finale A"
"Marvin Tulpin","K1HM","208.64","-","-","Finale A"
"Athenais Reby","C1D","137.96","556.65","449.37","Finale B"
"Julia Budzinski","C1D","147.2","-","545.66","Finale B"
"Marine Constant-haldric","C1D","154.77","404.05","624.54","Finale B"
"Margaux Bandel","C1D","156.21","749.36","639.54","Finale B"
"Celia Mifsud","C1D","160.43","717.88","683.52","Finale B"
"Zelie Wendling","C1D","161.79","688.32","697.69","Finale B"
"Louis Savart","C1H","118.22","400.34","419.65","Finale B"
"Alexis Collin","C1H","122.53","344.49","470.98","Finale B"
"Laurent Starck","C1H","125.29","402.34","503.85","Finale B"
"Felix Jeanningros","C1H","128.43","1754.98","541.24","Finale B"
"Arthur Favennec","C1H","131.21","-","574.36","Finale B"
"Bastien Moreaux","C1H","131.28","524.29","575.19","Finale B"
"Antonin Dreit","C1H","131.91","531.06","582.7","Finale B"
"Jules Marchal","C1H","133.65","564.48","603.42","Finale B"
"Lionel Borde","C1H","134.96","571.63","619.01","Finale B"
"Erwan Rouch","C1H","135.92","606.62","630.45","Finale B"
"Vincent Morabito","C1H","136.81","579.66","641.05","Finale B"
"Vincent Herrenberger","C1H","140.36","681.32","683.32","Finale B"
"Foulques Gidoin","C1H","146.47","-","756.09","Finale B"
"Simon Bastien","C1H","148.24","688.69","777.17","Finale B"
"Ronan Tosser","C1H","152.72","-","830.53","Finale B"
"Vincent Idriss Achaoui","C1H","155.31","925.83","861.37","Finale B"
"Philippe Potier","C1H","164.97","749.46","976.41","Finale B"
"Florian Herrenberger","C1H","184.2","895.8","1205.44","Finale B"
"Anthony Giurlando","C1H","184.79","2052.36","1212.46","Finale B"
"Aymeric Dollat","C1H","248.12","607.84","1966.69","Finale B"
"Raphael Cuillerdier","C1H","Nt","-","-","Finale B"
"Guillaume Armbruster","C1H","Nt","-","-","Finale B"
"Antoine Leroy","C1H","Nt","-","-","Finale B"
"Yann Becker-Foulques Gidoin","C2H","163.49","-","870.28","Finale B"
"Simon Bastien-Robin Pottelette","C2H","166.1","935.08","899.96","Finale B"
"Guillaume Armbruster-Raphael Cuillerdier","C2H","172.02","-","967.26","Finale B"
"Lionel Borde-Vincent Herrenberger","C2H","351.12","-","3003.28","Finale B"
"Ronan Tosser-Oscar Imbault","C2H","423.62","-","3827.47","Finale B"
"Quentin Jeanson-Jimmy Olivieri","C2H","572.14","-","5515.85","Finale B"
"Athenais Reby-Hugo Venesque","C2M","158.98","-","668.41","Finale B"
"Antonin Dreit-Jade Robin","C2M","194.86","750.76","1042.3","Finale B"
"Julia Budzinski-Vincent Idriss Achaoui","C2M","364.68","-","2811.96","Finale B"
"Axelle Armanini-Valentin Serrurier","C2M","Nt","-","-","Finale B"
"Laurene Cougnet","K1D","127.06","328.37","417.8","Finale B"
"Caroline Scherer","K1D","128.49","307.34","433.63","Finale B"
"Margaux Bandel","K1D","128.5","412.87","433.74","Finale B"
"Julie Rufet","K1D","130.51","522.58","455.99","Finale B"
"Celia Mifsud","K1D","145.87","-","625.96","Finale B"
"Stassy Legendre","K1D","146.72","545.84","635.37","Finale B"
"Athenais Reby","K1D","155.93","433.93","737.28","Finale B"
"Julie Munch","K1D","181.82","890.48","1023.79","Finale B"
"Thais Francois","K1D","188.38","477.63","1096.39","Finale B"
"Jade Robin","K1D","189.42","499.76","1107.89","Finale B"
"Laurie Bolle - Reddat","K1D","207.41","-","1306.98","Finale B"
"Kaulyne Catteau","K1D","216.69","-","1409.67","Finale B"
"Emma Maujean","K1D","335.95","421.01","2729.44","Finale B"
"Samantha Pupier","K1D","565.09","-","5265.16","Finale B"
"Brigitte Marechal","K1D","Nt","-","-","Finale B"
"Zoe Bruchon","K1DM","195.56","-","-","Finale B"
"Johanna Lhuillier","K1DM","252.61","-","-","Finale B"
"Clotilde Lecoester","K1DM","356.08","-","-","Finale B"
"Johan De Mareuil","K1H","94.52","191.17","193.68","Finale B"
"Felix Jeanningros","K1H","104.72","152.37","321.23","Finale B"
"Guillaume Armbruster","K1H","105.41","419.02","329.86","Finale B"
"Yohan Wantz","K1H","111.3","497.78","403.51","Finale B"
"Bastien Moreaux","K1H","111.67","477.6","408.14","Finale B"
"Charles Vallet","K1H","111.7","348.41","408.52","Finale B"
"Quentin Madureira","K1H","113.73","295.4","433.9","Finale B"
"Marco Rodrigues","K1H","115.05","-","450.41","Finale B"
"Maxime Pilard","K1H","118.29","394.12","490.92","Finale B"
"Philippe Potier","K1H","119.06","461.59","500.55","Finale B"
"Bertrand Bourguignon","K1H","119.51","609.31","506.18","Finale B"
"Oscar Imbault","K1H","121.28","670.03","528.31","Finale B"
"Quentin Maillier","K1H","121.62","484.65","532.57","Finale B"
"Patrick Thevenin","K1H","122.21","522.29","539.94","Finale B"
"Basile Guerrapin","K1H","124.29","698.22","565.95","Finale B"
"Louis Lombardi","K1H","126.15","571.44","589.21","Finale B"
"Batiste Morin","K1H","126.21","646.82","589.96","Finale B"
"Hugo Venesque","K1H","126.77","610.97","596.97","Finale B"
"Justin Potier","K1H","127.72","602.62","608.85","Finale B"
"Robin Jullien","K1H","128.1","608.07","613.6","Finale B"
"Yannick Menetrier","K1H","131.49","-","655.99","Finale B"
"Louis Sibille","K1H","131.73","619.42","658.99","Finale B"
"Yanis Delacour","K1H","132.79","580.19","672.24","Finale B"
"Nicolas Castagnetti","K1H","132.99","581.03","674.75","Finale B"
"Lionel Borde","K1H","136.94","-","724.14","Finale B"
"Hugo Thiery","K1H","137.4","765.24","729.89","Finale B"
"Augustin Jaujay","K1H","140.74","-","771.66","Finale B"
"Antoine Loppion","K1H","141.41","606.89","780.04","Finale B"
"Paul Beteille","K1H","144.07","626.5","813.3","Finale B"
"Simon Bastien","K1H","149.58","744.33","882.2","Finale B"
"Ronan Tosser","K1H","158.46","-","993.25","Finale B"
"Christophe Harding","K1H","160.18","315.97","1014.75","Finale B"
"Kevin Rancon","K1H","162.29","480.04","1041.14","Finale B"
"Sebastien Varin","K1H","162.44","511.9","1043.01","Finale B"
"Hugo Gondeaux","K1H","163.58","-","1057.27","Finale B"
"Antoine Luchier","K1H","168.88","650.67","1123.55","Finale B"
"Aymeric Dollat","K1H","171.97","379.03","1162.19","Finale B"
"Paul Antunes","K1H","187.94","735.39","1361.89","Finale B"
"Nicolas Chainay","K1H","195.07","555.83","1451.05","Finale B"
"Hugo Pereira","K1H","231.89","-","1911.48","Finale B"
"Florian Herrenberger","K1H","234.29","585.42","1941.49","Finale B"
"Ulysse Studer","K1H","267.31","-","2354.4","Finale B"
"Pierre Meyer","K1H","278.86","-","2498.83","Finale B"
"Lorenzo Decaillot","K1H","320.69","-","3021.91","Finale B"
"Xavier Richard","K1H","366.63","635.46","3596.39","Finale B"
"Luca Kunzman","K1H","450.69","4369.85","4647.55","Finale B"
"Antonin Dreit","K1H","Nt","-","-","Finale B"
"Guerlain Robin","K1HM","129.41","-","-","Finale B"
"Loric Bertrand Delorme","K1HM","141.77","-","-","Finale B"
"Irenee Jaujay","K1HM","144.39","-","-","Finale B"
"Bastien Caillet","K1HM","147.03","-","-","Finale B"
"Nicolas Gallais","K1HM","155.7","-","-","Finale B"
"Joshua Bourgeois","K1HM","296.83","-","-","Finale B"
"Theo Maillier","K1HM","362.44","-","-","Finale B"
"Cedric Contet","K1HM","Nt","-","-","Finale B"
