"Sélectif Régional Slalom (Double) - Cesson Sevigne - Course n°1 | Qualification - 2018-04-21","Course n°1 | Qualification","2018-04-21","Régional","205"
"Samuel Le Dean-Guillaume Maillot","C2H","189.94","587.42","1195",""
"Noe Gorvo-Nino Poisson","C2HM","160.02","1158.22","861.06",""
"Tom Marchand-Romain Margerie","C2HM","163.86","1168.6","903.92",""
"Martin Dubois-Camille Castryck","C2M","142.07","-","528.57",""
"Fabien Le Nechet-Maela Le Corre","C2M","145.53","366.56","563.97",""
"Celia Jodar-Simon Seuru","C2M","170.95","-","824.04",""
"Morgane Quemerais-Matheo Lebaindre","C2M","Abs","-","-",""
"Sarah Despres","K1D","105.93","388.57","225.95",""
"Alice Azam","K1D","111.97","218.02","291.57",""
"Anne Boixel","K1D","114.13","251.52","315.04",""
"Manon Durand","K1D","119.7","233.41","375.56",""
"Morgane Quemerais","K1D","121.53","258.18","395.45",""
"Phenicia Dupras","K1D","122.36","273.77","404.46",""
"Sylviane Quemerais","K1D","124.51","360.21","427.82",""
"Coline Bertin","K1D","125.34","314.41","436.83",""
"Maela Le Corre","K1D","126.26","333.88","446.84",""
"Eva Marchand","K1D","126.99","401.8","454.77",""
"Lea Grison","K1D","127.48","-","460.09",""
"Camille Castryck","K1D","128.43","422.87","470.41",""
"Romane Bronchet","K1D","129.74","361.53","484.64",""
"Veronique Vourch","K1D","133.72","392.04","527.88",""
"Louna Beurel","K1D","134.94","424.7","541.14",""
"Celia Jodar","K1D","136.61","479.76","559.29",""
"Jann Le Corre","K1D","137.41","356.32","567.98",""
"Christine Le Gall","K1D","144.94","396.33","649.79",""
"Aubane Leca","K1D","149.59","539.27","700.32",""
"Laurie Beaurepere","K1D","151.21","501.17","717.91",""
"Claire Chaussadas","K1D","155.51","617.18","764.63",""
"Zoe Marchand","K1D","161.24","734.92","826.89",""
"Marine Clement","K1D","186.48","1551.16","1101.13",""
"Lily Cochet","K1D","400.65","3857.4","3428.08",""
"Muriel Van Vliet","K1D","Abs","-","-",""
"Romane Regnier","K1DM","122.51","381.98","406.09",""
"Coline Regnier","K1DM","148.95","652.81","693.36",""
"Maina Maligorne","K1DM","150.34","493.62","708.46",""
"Lilou Le Roux Divanac'h","K1DM","164.07","649.28","857.64",""
"Enora Bagueste","K1DM","181.14","-","1043.11",""
"Juna Marquet","K1DM","202.94","1280.63","1279.96",""
"David Mingasson","K1H","90.87","168.59","190.67",""
"Loan Queffelec","K1H","91.55","227.66","199.02",""
"Mathis Soudi","K1H","92.14","90.59","206.26",""
"Anthony Drouhin","K1H","93.02","153.8","217.07",""
"Arthur Mizzi","K1H","94.46","177.92","234.75",""
"Joris Hello","K1H","94.79","265.7","238.8",""
"Maxence Barouh","K1H","95.06","-","242.11",""
"Hugo Regnier","K1H","95.74","109.33","250.46",""
"Romain Guyomard","K1H","97.56","226.74","272.81",""
"Nicolas Bernardy","K1H","99.54","143.08","297.12",""
"Julien Dosse","K1H","100.19","260.98","305.1",""
"Killian Flegeau","K1H","100.66","268.89","310.87",""
"Johann Loiseau","K1H","101.34","200.19","319.22",""
"Paul Gestin","K1H","101.85","197.28","325.48",""
"Jeanmichel Regnier","K1H","102.49","272.61","333.34",""
"Simon Cognard","K1H","103.59","283.07","346.84",""
"Nicolas Veillard","K1H","103.67","247.28","347.82",""
"Timothee Le Mort","K1H","104.3","261.38","355.56",""
"Fabien Le Nechet","K1H","104.44","213.05","357.28",""
"Corentin Makosso","K1H","105.35","376.79","368.45",""
"Frederic Castryck","K1H","106.53","315.65","382.94",""
"Maxime Berthaut","K1H","106.8","373.32","386.25",""
"Come Le Gal","K1H","107.22","316.12","391.41",""
"Clement Dubois","K1H","107.39","341.18","393.5",""
"Thomas Ukalovic","K1H","107.49","260.82","394.72",""
"Romain Bruneau","K1H","107.58","312.36","395.83",""
"Martin Dubois","K1H","107.67","301.43","396.93",""
"Alan Mahe","K1H","107.71","214.33","397.42",""
"Lorin Dumont","K1H","107.79","255.28","398.41",""
"Brice Derrien","K1H","107.97","315.96","400.62",""
"Benoit Blard","K1H","108.1","-","402.21",""
"Leo Grollier","K1H","108.39","411.42","405.77",""
"Emmanuel Cosse","K1H","108.89","375.04","411.91",""
"Leo Zouggari","K1H","109.41","356.33","418.3",""
"Lubin Huet","K1H","109.99","361.66","425.42",""
"Thibaud Chevalier","K1H","110.21","314.84","428.12",""
"Laurent Le Touze","K1H","110.23","337.15","428.36",""
"Dorian Ollivier","K1H","111.12","315.37","439.29",""
"Daneric Ollivier","K1H","111.16","339.53","439.78",""
"Fabien Dulyse","K1H","111.69","435.77","446.29",""
"Louis Brocard","K1H","111.74","337.76","446.9",""
"Stephane Debliquy","K1H","114.19","397.4","476.98",""
"Loic Froissard","K1H","114.25","455.47","477.72",""
"Baptiste Loy","K1H","114.4","406.11","479.56",""
"Samuel Le Dean","K1H","114.7","341.55","483.24",""
"Elouan Le Fournis","K1H","115.77","410.37","496.38",""
"Nicolas Saurat","K1H","115.93","288.21","498.34",""
"Simon Seuru","K1H","116.39","335.37","503.99",""
"Julien Mizzi","K1H","116.52","429.27","505.59",""
"Malo Marquet","K1H","117.12","426.88","512.95",""
"Mewen Debliquy","K1H","117.23","395.71","514.3",""
"Armand Fougere","K1H","117.28","383.24","514.92",""
"Max Derame","K1H","118.85","412.66","534.19",""
"Adrien Pierre","K1H","119.13","413.05","537.63",""
"Vincent Salmon","K1H","119.21","493.17","538.61",""
"Guillaume Maillot","K1H","121.42","299.38","565.75",""
"Alexis Carpentey","K1H","121.65","452.88","568.57",""
"Maxime Lignereux","K1H","122.63","448.23","580.6",""
"Matheo Courgeon","K1H","123.1","630.18","586.37",""
"Glen Le Meur","K1H","123.55","466.63","591.9",""
"Rafael Lerusse","K1H","123.57","434.32","592.14",""
"Alexandre Bourliaud","K1H","123.77","535.05","594.6",""
"Aubin Davaic","K1H","123.98","485.94","597.18",""
"Louison Laumondais","K1H","124.78","424.23","607",""
"Yann Curti","K1H","128.91","489.93","657.71",""
"Valentin Rault","K1H","130","362.06","671.09",""
"Brieg Le Paih","K1H","130.54","537.84","677.72",""
"Romain Foulon","K1H","130.62","592.15","678.7",""
"Tom Milon","K1H","132.83","527.18","705.83",""
"Valentin Soullard","K1H","134.95","544.27","731.86",""
"Antoine Aubert","K1H","135.04","546.17","732.97",""
"Deverig Cardiec","K1H","136.75","527.15","753.96",""
"Thomas Hado","K1H","137.55","752.73","763.78",""
"Clement Ezanno","K1H","138.32","701.76","773.24",""
"Luc Le Diouron","K1H","140.47","607.76","799.63",""
"Gerard Lemonnier","K1H","143.69","705.97","839.17",""
"Benjamin Pagerie","K1H","144.07","641.95","843.83",""
"Christian Le Parc","K1H","147.22","729.02","882.5",""
"Thibault Prono","K1H","147.82","781.95","889.87",""
"Axel Ternon","K1H","156.56","-","997.18",""
"Thibault Lamour","K1H","157.07","366.96","1003.44",""
"Thomas Brochard","K1H","158.42","305","1020.01",""
"Logan Toubel","K1H","158.43","660.27","1020.13",""
"Mallory Brochard","K1H","163.46","781.31","1081.89",""
"Alexis Pernelle","K1H","165.08","-","1101.78",""
"Hugo Quistrebert","K1H","165.41","822.04","1105.83",""
"Thierry Dugue","K1H","167.43","1066.13","1130.63",""
"Ewen Ferey","K1H","174.48","-","1217.19",""
"Christophe Sorin","K1H","178.56","-","1267.28",""
"Marin Guillouet","K1H","180.74","1796.91","1294.04",""
"Corentin Beaumois","K1H","202","547.7","1555.06",""
"Yohan Dupont","K1H","Abs","-","-",""
"Florian Torche","K1H","Abs","-","-",""
"Melaine Pichard","K1H","Abs","-","-",""
"Pierre Audouin","K1H","Abs","-","-",""
"Bertrand Henot","K1H","Abs","-","-",""
"Titouan Castryck","K1HM","105.26","322.22","367.34",""
"Noe Gorvo","K1HM","119.45","449.21","541.56",""
"Nicolas Bidault","K1HM","121.34","460.97","564.77",""
"Thomas Heslouis","K1HM","127.27","515.96","637.57",""
"Tom Marchand","K1HM","129.22","493.4","661.51",""
"ClÉment Louveau","K1HM","130.7","633.56","679.68",""
"Romain Margerie","K1HM","131.73","687.63","692.33",""
"Milio Le Touze","K1HM","138.03","1669.2","769.68",""
"Timeo Cornic","K1HM","139.07","662.72","782.44",""
"Mael Calvez","K1HM","141.95","860.82","817.8",""
"Kylian Guillemot","K1HM","146.13","764.75","869.12",""
"Mael Segaud","K1HM","148.75","884.09","901.29",""
"Marwan Bazot","K1HM","160.03","-","1039.78",""
"Ylan Penvenne","K1HM","164.97","468.48","1100.43",""
"Roman Souffez","K1HM","165.42","-","1105.95",""
"Valentin Rolland","K1HM","179.34","1689.16","1276.86",""
"Romain Jean","K1HM","187.61","2737.85","1378.39",""
"Ambroise Perier","K1HM","190.4","1705.71","1412.64",""
"Thomas Le Devehat","K1HM","232.58","-","1930.51",""
