"Finale N3 Ouest - Angoulême - 2011-06-05","Course 1","2011-06-05","Nationale 3","251"
"Fabrice Roy","C1H","Nt","-","-",""
"Kevin Bernard","C1H","Nt","-","-",""
"Clement Berger-Mathieu Villeger","C2H","115.53","272.24","197.73",""
"Joris Rocher-Kevin Lemenaheze","C2H","117.43","261.82","216.68",""
"Francois Faguet-Cedric Joly","C2H","121.36","299.47","255.85",""
"Melenn Aubry-Louis Raguenes","C2H","121.45","297.39","256.75",""
"Jimmy Besson-Ronan Goualc'h","C2H","122.46","250.24","266.81",""
"Julien Caillarec-Emmanuel Sarazin","C2H","122.6","308.16","268.22",""
"Malo Poles-Baptiste Le Poncin","C2H","122.64","378.64","268.61",""
"Erwan Perron-Jean Pierre Bourhis","C2H","128.04","346.85","322.44",""
"Herve Busson-Christophe Gergaud","C2H","128.32","329.76","325.24",""
"Yoann Bizot-Manuel Moquet","C2H","130.35","327.87","345.47",""
"Gaylord Crochard-Corentin Oulhen","C2H","130.75","456.33","349.46",""
"Thibault Marchand-Louison Turmeau","C2H","132.08","362.87","362.72",""
"Lorin Dumont-Nicolas Le Belleguic","C2H","132.45","447.06","366.4",""
"Romain Gaillard-Maxime Texier","C2H","135.28","401.07","394.62",""
"Awen Le Paih-Malo Le Paih","C2H","136.04","438.12","402.2",""
"Basile Desclos-Victor Desclos-le Peley","C2H","145.57","569.17","497.19",""
"Jules Nicot-Paul Sauvage","C2H","160.22","652.4","643.25",""
"Nicolas Coudert-Aurelie Le Fee","C2M","133.28","312.76","284.6",""
"Sabrina Hoellard-Lionel Donias","C2M","133.3","424.88","284.79",""
"Vincent Lemonnier-Camille Girard","C2M","136.2","279.84","311.74",""
"Philippe Niquet-Sophie Delage","C2M","156.25","520.75","498.06",""
"Stephanie Le Mercier","K1D","115.35","270.6","165.41",""
"Suzon Broute","K1D","115.7","260.64","168.8",""
"Camille Dugue","K1D","116.13","277.52","172.98",""
"Manon Sacre","K1D","116.61","231.27","177.64",""
"Helene Thuret","K1D","116.83","226.65","179.77",""
"Clothilde Le Louarn","K1D","117.34","229.59","184.72",""
"Sandrine Kerneis","K1D","118.02","209.26","191.31",""
"Aenor Wahl","K1D","118.05","298.64","191.61",""
"Manon Caveribere","K1D","118.84","208.97","199.27",""
"Emma Jacob","K1D","120.2","218.43","212.48",""
"Lisa Marechal","K1D","121.25","254.27","222.66",""
"Clothilde Rocher","K1D","122.07","249.32","230.63",""
"Celia Jodar","K1D","122.48","237.33","234.6",""
"Laura Nicolas","K1D","123.61","306.14","245.56",""
"Pauline Bercon","K1D","124.61","223.35","255.27",""
"Oriane Pottier","K1D","124.8","300.59","257.11",""
"Amelie Perier","K1D","125.1","241.88","260.03",""
"Anais L'hotelier","K1D","125.18","315.02","260.8",""
"Camille Le Coq","K1D","126.17","351.99","270.41",""
"Suzy Merand","K1D","127.7","292.41","285.26",""
"Justine Lorin","K1D","131.22","391.66","319.42",""
"Aurelie Le Fee","K1D","132.1","349.34","327.96",""
"Coralie Belnoue","K1D","132.28","422.47","329.7",""
"Ella Bregazzi","K1D","132.65","329.66","333.29",""
"Marie Charlotte Doreau","K1D","132.96","378.41","336.3",""
"Morgane Guillemot","K1D","135.51","460.39","361.04",""
"Manon Moreau","K1D","140.26","519.71","407.14",""
"Melanie Chotard","K1D","145.44","491.31","457.41",""
"Alexandra Barguillet","K1D","146.97","535.25","472.26",""
"Oceane Drouet","K1D","150.77","398.4","509.14",""
"Aurelien Ballandras","K1H","101.18","168.67","155.54",""
"Thibaud Delaunay","K1H","102.19","185.58","166.62",""
"Medhi Deguil","K1H","102.88","165.5","174.18",""
"Maxime Foucault","K1H","103.14","256","177.04",""
"Valentin Blondel","K1H","103.49","206.45","180.87",""
"Jan Baudet","K1H","103.64","178.5","182.52",""
"Hugo Le Goff","K1H","104.37","213.15","190.52",""
"Pierre Audouin","K1H","104.58","180.97","192.83",""
"Pierre-yves Lebreton","K1H","104.78","232.08","195.02",""
"Maxime Beaulieu","K1H","104.97","159.93","197.1",""
"Stann Savels","K1H","105.13","237.39","198.86",""
"Etienne Chauvin","K1H","105.35","191.05","201.27",""
"Pol Euzenes","K1H","105.48","240.07","202.7",""
"Pol Oulhen","K1H","105.54","220.63","203.35",""
"Guillaume Blin","K1H","105.61","165.9","204.12",""
"Regis Cabel","K1H","105.78","151.82","205.99",""
"Denis Guilmard","K1H","106.06","179.66","209.06",""
"Alain Droniou","K1H","106.09","218.8","209.38",""
"Yoann Le Guyader","K1H","106.2","245.02","210.59",""
"Valentin Cesbron","K1H","106.22","225.8","210.81",""
"Maxime Dreux","K1H","106.54","224.4","214.32",""
"Ludovic Gaignon","K1H","106.65","207.87","215.53",""
"Philippe Niquet","K1H","106.86","213","217.83",""
"Hugo Maher","K1H","106.96","301.43","218.93",""
"Jordan Rocdunos","K1H","107.01","224.04","219.47",""
"Pascal Marrec","K1H","107.02","239.24","219.58",""
"Jacques Despierres","K1H","107.25","217.94","222.11",""
"Thibault Marchand","K1H","107.29","237.78","222.54",""
"Manuel Moquet","K1H","107.34","175.35","223.09",""
"Francois Madec","K1H","107.56","246.26","225.5",""
"Kilian Blot","K1H","107.57","253.88","225.61",""
"Emmanuel Cosse","K1H","107.97","188.03","230",""
"Alexandre Paulais","K1H","108.15","261.59","231.97",""
"Clement Praille","K1H","108.29","232.84","233.51",""
"Luc Hellard","K1H","108.45","179.72","235.26",""
"Pierre Cogny","K1H","108.9","276.91","240.2",""
"Clement Dubois","K1H","109.01","311.43","241.41",""
"Theo Quenouillere","K1H","109.14","241.71","242.83",""
"Clement Le Moal","K1H","109.19","217.76","243.38",""
"Clement Cierocki","K1H","109.31","270.76","244.69",""
"Hoel Carnot","K1H","109.71","271.76","249.08",""
"Lucas Hives - Sorin","K1H","109.82","313.62","250.29",""
"Romain Gaillard","K1H","109.89","244.6","251.06",""
"Alan Dollo","K1H","109.89","260.83","251.06",""
"Gaetan Hamelin","K1H","110.09","228.56","253.25",""
"Alexis Pernelle","K1H","110.24","268.39","254.89",""
"Aubry Bertin","K1H","110.39","281.13","256.54",""
"Yoann Turowsky","K1H","110.42","194.81","256.87",""
"Stephane Gallerne","K1H","110.47","230.99","257.42",""
"Alexandre Le Quere","K1H","110.57","277.02","258.51",""
"Thomas Megard","K1H","111.09","314.06","264.21",""
"Guillaume Chainier","K1H","111.1","174.72","264.32",""
"Vincent Nicolosi","K1H","111.19","256.87","265.31",""
"Maxime Texier","K1H","111.26","240.89","266.08",""
"Leo Le Druillennec","K1H","111.45","387.84","268.16",""
"Martin Belliot","K1H","111.48","262.18","268.49",""
"Timothee Le Mort","K1H","111.64","341.37","270.25",""
"Damien Souville","K1H","111.93","282.54","273.43",""
"Jean Coadalan","K1H","112.4","386.58","278.58",""
"Lorin Dumont","K1H","112.47","286.42","279.35",""
"Gwendal Pariscoat","K1H","112.52","317.7","279.9",""
"Nicolas Rouleaud","K1H","112.62","285.19","280.99",""
"Hugo Guilleray","K1H","112.65","296.81","281.32",""
"Vincent Dubois","K1H","112.95","352.23","284.61",""
"Nathan Chaumier","K1H","113.7","341.99","292.84",""
"Damien Goujard","K1H","113.8","278.34","293.93",""
"Julien Caillarec","K1H","113.8","225.16","293.93",""
"Philippe Rocher","K1H","114.26","326.05","298.98",""
"Alexis Brouard","K1H","114.27","347.83","299.09",""
"Ugo Rimbert","K1H","114.42","379.48","300.73",""
"Mathieu L 'hostis","K1H","114.5","363.54","301.61",""
"Florian El Assali","K1H","114.54","245.69","302.05",""
"Guillaume Payet","K1H","114.57","319.06","302.38",""
"Mathieu Delorme","K1H","114.63","332.7","303.03",""
"Antoine Jonin","K1H","114.64","349.33","303.14",""
"Thibaud Chevalier","K1H","114.66","342.01","303.36",""
"Mathis Besse","K1H","114.77","302.06","304.57",""
"Ludovic Le Cointre","K1H","114.8","319.51","304.9",""
"Arthur Huet","K1H","114.83","313.53","305.23",""
"Edouard Anne","K1H","114.94","281.95","306.43",""
"David Couture","K1H","115.13","326.21","308.52",""
"Maxime Lignereux","K1H","115.25","331.53","309.83",""
"Valentin Le Moignic","K1H","115.34","337.3","310.82",""
"Malo Le Paih","K1H","115.9","356.91","316.96",""
"Florian Vinet","K1H","116.12","334.99","319.37",""
"Romain Trotin","K1H","116.18","375.08","320.03",""
"Francois Faguet","K1H","116.23","335.12","320.58",""
"Loup Charles","K1H","116.35","376.14","321.89",""
"Nicolas Pelle","K1H","116.8","352.69","326.83",""
"Jules Nicot","K1H","116.94","355.16","328.36",""
"David Ravache","K1H","117.02","335.91","329.24",""
"Melaine Colin","K1H","117.1","326.03","330.12",""
"Lucas Marchais","K1H","117.11","331.54","330.23",""
"Sylvain Georges","K1H","117.3","400.93","332.31",""
"Francois Xavier Robinet","K1H","117.58","271.24","335.38",""
"Nicolas Leconte","K1H","117.86","352.47","338.45",""
"Xavier Le Gallic","K1H","117.93","279.72","339.22",""
"Jeremy Jestin","K1H","117.96","384.8","339.55",""
"Christophe Sorin","K1H","118.17","368.64","341.85",""
"Antonin Dalaine","K1H","118.3","364.27","343.28",""
"Christophe Gergaud","K1H","118.31","305.13","343.39",""
"Thomas De Boysson","K1H","118.52","301.46","345.69",""
"Thibaut Mechling","K1H","118.72","348.26","347.88",""
"David Le Vaillant","K1H","118.77","442.69","348.43",""
"William Simon","K1H","118.88","491.98","349.64",""
"Koldo Dequae","K1H","118.95","376.25","350.41",""
"Arthur Chaumet","K1H","119.12","393.21","352.27",""
"Flavien Portier","K1H","119.37","406.48","355.01",""
"Olivier Pelgrin","K1H","119.63","421.96","357.86",""
"Xavier Flatreau","K1H","119.76","370.78","359.29",""
"Kevin Rocdunos","K1H","119.99","347.09","361.81",""
"Leri Muller","K1H","120.45","373.74","366.85",""
"Sebastian Lidstrom","K1H","120.53","487.16","367.73",""
"Nicolas Foulon","K1H","120.67","419.99","369.27",""
"Jordy Pichot","K1H","120.74","388.8","370.03",""
"Nicolas Le Belleguic","K1H","120.81","326.85","370.8",""
"Daniel Bregazzi","K1H","121.24","452.28","375.52",""
"Florian Joly","K1H","121.31","389.96","376.29",""
"Jordan Tinevez","K1H","121.68","605.91","380.34",""
"Martin Grezard","K1H","121.94","456.32","383.19",""
"Ludovic Couture","K1H","122.42","320.16","388.46",""
"Raphael Cuillerdier","K1H","122.89","398.23","393.61",""
"Guillaume Djaid","K1H","123.3","414.62","398.11",""
"Simon Guetta","K1H","123.38","580.22","398.98",""
"Ludovic Garnier","K1H","123.78","448.58","403.37",""
"Jerome Saliou","K1H","123.89","467.19","404.58",""
"Richard Fradin","K1H","125.06","469.16","417.41",""
"Josquin Dubois","K1H","125.14","524.17","418.28",""
"Guillaume De Fierville","K1H","125.28","522.24","419.82",""
"Julien Anglade","K1H","126.74","793.1","435.83",""
"Quentin Fleury","K1H","126.94","374.66","438.02",""
"Jean-noel Biteau","K1H","127.54","457.42","444.6",""
"Antonin Leray","K1H","127.62","510","445.48",""
"Etienne Baudry","K1H","127.66","455.25","445.92",""
"Florian Plault","K1H","128.39","462.05","453.92",""
"Joseph Grelier","K1H","130.3","590.11","474.87",""
"Axel Delage","K1H","130.35","504.63","475.42",""
"Kevin Lelievre - Le Ruyet","K1H","132.33","493.5","497.13",""
"Jordan Daniel","K1H","133.36","610.93","508.42",""
"Gregoire Moury","K1H","133.56","631.54","510.62",""
"Paul Sauvage","K1H","135.17","555.93","528.27",""
"Nicolas Petipez","K1H","135.48","533.18","531.67",""
"Tom Le Goff","K1H","138.61","514.9","565.99",""
"Thierry Le Bonniec","K1H","142.69","692.68","610.73",""
"Morgan Le Tallec","K1H","148.33","468.37","672.58",""
