"SÈlectif RÈgional de Slalom - Toulouse - Finale - 2016-04-03","Finale","2016-04-03","RÈgional","224"
"Quentin Clerc","K1H","103.73","260.99","274.11","Finale A"
"Nicolas Honzatko","K1H","103.86","263.61","275.67","Finale A"
"Jean Philippe Winiarski","K1H","104.02","195.56","277.58","Finale A"
"Brieuc Cadic","K1H","104.45","270.79","282.72","Finale A"
"Kevin Lemenaheze","K1H","105.12","260.35","290.74","Finale A"
"Adrien Roussel","K1H","105.37","-","293.73","Finale A"
"Maxence Merpillat","K1H","105.5","286","295.29","Finale A"
"Denis Delaleux","K1H","106.51","281.09","307.37","Finale A"
"Tom Ydoux","K1H","106.73","-","310","Finale A"
"Jeremie Palazy","K1H","107.97","341.29","324.84","Finale A"
"Paul Pradalie","K1H","108.09","296.94","326.28","Finale A"
"Guillaume Fletcher","K1H","108.75","374.73","334.17","Finale A"
"Maxime Gaillard","K1H","108.84","268.44","335.25","Finale A"
"Jeanmichel Bibes","K1H","108.9","308.21","335.97","Finale A"
"Julien Delaleux","K1H","108.92","305.15","336.21","Finale A"
"Natan Brule","K1H","109.16","298.29","339.08","Finale A"
"Pierrealain Clerc","K1H","109.31","297.12","340.87","Finale A"
"Valentin Courtiade","K1H","109.95","332.02","348.53","Finale A"
"Alexis Dorey","K1H","110.01","282.95","349.25","Finale A"
"Pierre Campagne","K1H","110.08","277.96","350.08","Finale A"
"Tom Zanfini","K1H","110.22","378.7","351.76","Finale A"
"Louis Foissac","K1H","110.38","355.42","353.67","Finale A"
"Nicolas Saurat","K1H","110.46","385.98","354.63","Finale A"
"Leo Vuitton","K1H","110.94","338.46","360.37","Finale A"
"Matthieu Demarty","K1H","111.04","342.73","361.57","Finale A"
"Guillaume Viguier","K1H","111.07","409.22","361.93","Finale A"
"Theau Le Loch","K1H","111.9","301.65","371.86","Finale A"
"Jean Christophe Erdois","K1H","111.92","342.67","372.1","Finale A"
"Sebastien Martel","K1H","112.47","345.65","378.68","Finale A"
"Antoine Laye","K1H","112.53","313.85","379.4","Finale A"
"Clement Caillard","K1H","112.75","349.4","382.03","Finale A"
"Benoit Gaillard","K1H","112.82","-","382.87","Finale A"
"Maxime Garcia","K1H","112.99","303.06","384.9","Finale A"
"Theo Ducasse","K1H","113.38","380.44","389.57","Finale A"
"Romain Delpui","K1H","114.39","390.42","401.65","Finale A"
"Nathan Pavot","K1H","114.54","413.67","403.45","Finale A"
"Patrick Clerc","K1H","114.92","359.43","407.99","Finale A"
"Elliot Perez","K1H","116.06","416.46","421.63","Finale A"
"Paul Gaillard","K1H","117.16","371.76","434.79","Finale A"
"Hugues Lesimple","K1H","117.17","-","434.91","Finale A"
"Marc Cordier","K1H","120.35","348.59","472.96","Finale A"
"Samuel Taillefer","K1H","120.49","536.4","474.63","Finale A"
"Fabien Lanao","K1H","149.28","217.41","819.09","Finale A"
"Tom Bouchardon","K1HM","108.3","342.86","328.79","Finale A"
"Loœc Winiarski","K1HM","112.17","404.33","375.09","Finale A"
"Etienne Wiche","K1HM","115.78","-","418.28","Finale A"
"Mael Bernes","K1HM","124.82","556.75","526.44","Finale A"
"Loris Shayam Affre","K1HM","130.33","587.14","592.36","Finale A"
"Pablo Chaminade","K1HM","132.52","688.98","618.57","Finale A"
"Esteban Illido","K1HM","135.27","623.69","651.47","Finale A"
"Thomas Fernandez","K1HM","139.4","-","700.88","Finale A"
"Tonin Desmet","K1HM","139.88","676.67","706.62","Finale A"
"Baptiste San Nicolas","K1HM","142.66","783.29","739.89","Finale A"
"Loic Leymonerie","K1HM","147.61","-","799.11","Finale A"
"L…o Lamare Bouss»s","K1HM","148.61","-","811.07","Finale A"
"Baptiste Mondin","K1HM","158.88","823.79","933.95","Finale A"
"Maxime Reubrez","K1HM","194.83","674.38","1364.07","Finale A"
"Marine Izac","C1D","151.23","964.25","545.86","Finale B"
"Elorri Erdois","C1D","159.12","-","624.52","Finale B"
"Cleo Santini","C1D","178.34","-","816.16","Finale B"
"Lucile Cans","C1D","221.77","-","1249.16","Finale B"
"Dominik Gosset","C1H","113.08","262.41","326.55","Finale B"
"Natan Brule","C1H","128.35","-","500.55","Finale B"
"Arthur Perez","C1H","129.8","466.79","517.07","Finale B"
"Arthur Cousty","C1H","134","606.26","564.93","Finale B"
"Marc Sarramea","C1H","135.05","512.51","576.89","Finale B"
"Romain Delpui","C1H","136.73","562.1","596.04","Finale B"
"Elzear Felician","C1H","142.04","-","656.54","Finale B"
"Felix Sperandio","C1H","143.18","651.4","669.53","Finale B"
"Vincent Sophian","C1H","147.5","660.96","718.76","Finale B"
"Valentin Lacor","C1H","153.59","-","788.15","Finale B"
"Lionel Aguilhon","C1H","169.73","-","972.07","Finale B"
"Gauthier Beyneix","C1H","208.1","574.63","1409.27","Finale B"
"Jeremie Palazy-Tom Zanfini","C2H","138.05","557.81","539.58","Finale B"
"Arthur Perez-Nour Ait Kaddour","C2H","Abd","-","-","Finale B"
"Pablo Chaminade-Esteban Illido","C2HM","327.24","-","2597.35","Finale B"
"Maeva Bachelot","K1D","138.55","438","505.01","Finale B"
"Agathe Gewiss","K1D","140.17","400.74","522.16","Finale B"
"Oceane Dorval","K1D","148.23","490.72","607.5","Finale B"
"Cleo Santini","K1D","148.71","612.94","612.58","Finale B"
"Jeanne Pecot","K1D","150.09","488.09","627.19","Finale B"
"Barbara Lassechere","K1D","155.39","492.97","683.31","Finale B"
"Carla Voineau","K1D","158.16","556.3","712.64","Finale B"
"Lea Pages","K1D","162.8","566.46","761.77","Finale B"
"Lucile Cans","K1D","164.38","621.53","778.49","Finale B"
"Lea Hubert","K1D","165.6","753.05","791.42","Finale B"
"Clarisse Hoogland","K1D","177.98","573.43","922.49","Finale B"
"Lyse Brichet","K1D","178.82","984.79","931.39","Finale B"
"Clea Tasserit","K1D","180.07","561.3","944.62","Finale B"
"Helene Courtel","K1D","202.21","718.29","1179.04","Finale B"
"Ismaella Khattou","K1D","204.12","772.28","1199.26","Finale B"
"Clementine Colle","K1D","250.1","1010.54","1686.09","Finale B"
"Marion Massat","K1D","255.82","-","1746.66","Finale B"
"Vincent Ardonceau","K1H","109.78","337.72","351.49","Finale B"
"Arthur Cousty","K1H","110.87","413.27","364.54","Finale B"
"Cyril Audoit","K1H","111.96","352.08","377.58","Finale B"
"Martin Jouves","K1H","113.93","393.53","401.15","Finale B"
"Paul Ballery","K1H","114.81","457.26","411.68","Finale B"
"Ugo Rolland","K1H","115.12","423.66","415.39","Finale B"
"Tino Forgues","K1H","116.68","426.92","434.05","Finale B"
"Francois Giondini","K1H","117.7","378.43","446.25","Finale B"
"Bastien Daniel","K1H","118.45","371.45","455.23","Finale B"
"Thibault Clerc","K1H","118.48","480.97","455.59","Finale B"
"Eric Vidou","K1H","119.95","417.12","473.17","Finale B"
"Antonin Maystre","K1H","120.24","438.35","476.64","Finale B"
"Marc Sarramea","K1H","121.83","473.36","495.67","Finale B"
"Jose Pereira","K1H","122.34","446.87","501.77","Finale B"
"Nour Ait Kaddour","K1H","122.39","419.86","502.37","Finale B"
"Samuel De Severac","K1H","124.05","468.92","522.23","Finale B"
"Antonin Beyneix","K1H","125.2","563.21","535.99","Finale B"
"Axel Devaud","K1H","125.24","-","536.47","Finale B"
"Pierre Adrien Plantion","K1H","125.74","501.55","542.45","Finale B"
"Gilles Tricard","K1H","125.74","444.27","542.45","Finale B"
"Yanis Clerc","K1H","125.75","465.81","542.57","Finale B"
"Jules Besson","K1H","126.75","635.79","554.53","Finale B"
"Marc Cailhol","K1H","126.77","454.89","554.77","Finale B"
"Elzear Felician","K1H","127.23","528.11","560.27","Finale B"
"Kenae Brassier","K1H","127.35","444.21","561.71","Finale B"
"Guilhem Viguier","K1H","127.63","524.1","565.06","Finale B"
"Simeon Althabegoity","K1H","128.66","-","577.38","Finale B"
"Damien Caillard","K1H","129.07","583.03","582.29","Finale B"
"Felix Sperandio","K1H","129.44","530.87","586.72","Finale B"
"Gauthier Sanchou","K1H","129.53","549.2","587.79","Finale B"
"Valentin Lacor","K1H","129.74","542.13","590.31","Finale B"
"Pierrick Sure","K1H","130.02","568.2","593.66","Finale B"
"Maxime Pourret","K1H","130.05","564.86","594.01","Finale B"
"Steeve Fillastre","K1H","130.98","-","605.14","Finale B"
"Lionel Aguilhon","K1H","131.51","-","611.48","Finale B"
"Robin Julier","K1H","131.52","630.84","611.6","Finale B"
"Jean Yves Courtiade","K1H","136.49","623.77","671.07","Finale B"
"Gr…gory Navail","K1H","136.89","573.97","675.85","Finale B"
"Aven Gilham","K1H","136.98","484.35","676.93","Finale B"
"Bertrand Cazaux","K1H","137.9","759.38","687.94","Finale B"
"Compton Cruickshank","K1H","140.61","630.49","720.36","Finale B"
"Loup Fauries","K1H","140.63","498.49","720.6","Finale B"
"Alexandre Dubrous","K1H","142.4","591.2","741.78","Finale B"
"Theophile Prunetfoch","K1H","142.79","621.48","746.44","Finale B"
"Denis Vintrou","K1H","142.89","661.88","747.64","Finale B"
"Elian Giondini","K1H","144.62","498.12","768.34","Finale B"
"Renaud Clerc","K1H","146.18","702.87","787","Finale B"
"Tom Gonzales","K1H","149.89","740.84","831.39","Finale B"
"Iyelmo Padova","K1H","151.21","-","847.18","Finale B"
"Emilien Senneret","K1H","153.21","741.94","871.11","Finale B"
"Arthur Crueghe","K1H","165.86","-","1022.46","Finale B"
"Luc Monpouillan","K1H","167.03","810.46","1036.46","Finale B"
"Jean Cougul","K1H","171.37","1001.67","1088.39","Finale B"
"Clement Sempe","K1H","173.65","800.24","1115.66","Finale B"
"Nicolas Chassaing","K1H","263.37","973.24","2189.11","Finale B"
"Jeremy Rouchereau","K1H","Abs","-","-","Finale B"
"Cyprien Cail","K1HM","149.05","-","821.34","Finale B"
"Hugo Crespo","K1HM","159.76","-","949.48","Finale B"
"Yanis Dupuy","K1HM","162.02","829.63","976.52","Finale B"
"Thomas Terr…","K1HM","162.62","-","983.7","Finale B"
"Julien Dubarry","K1HM","170.91","-","1082.88","Finale B"
"Felix Bedulho","K1HM","176.58","-","1150.72","Finale B"
"Romain Cadiot","K1HM","181.01","-","1203.72","Finale B"
"Clement Serres","K1HM","182.04","-","1216.05","Finale B"
"Pierre Arsuffi","K1HM","187.01","-","1275.51","Finale B"
"Charly Peiro","K1HM","187.63","-","1282.93","Finale B"
"Quentin Rabot","K1HM","252.36","-","2057.39","Finale B"
"Clement Guyon","K1HM","295.97","-","2579.16","Finale B"
"Quentin Bastard","K1HM","502.6","-","5051.37","Finale B"
