"slalom régional de Pont d'Ouilly - Pont D'ouilly - 2002-12-22","Course 1","2002-12-22","Régional","135"
"Mathieu Godin","K1H","199.01","316","410",""
"Vaillant Tiphaine","K1H","199.36","312","412",""
"Vanneste Matthieu","K1H","200.95","443","423",""
"Boivin Xavier","K1H","201.19","904","425",""
"Eude Sylvain","K1H","201.64","-","428",""
"Malderez Sebastien","K1H","201.85","391","429",""
"Bertrand Avril","K1H","202.69","312","435",""
"Julien Vetele","K1H","208.24","496","473",""
"Noury Maxime","K1H","208.26","512","474",""
"Ferrand Luc","K1H","210.06","617","486",""
"Dubu Alain","K1H","210.53","451","489",""
"Jeansebastien Simonklein","K1H","211.42","342","495",""
"Debray Damien","K1H","211.48","440","496",""
"Brieuc Cadic","K1H","213.63","995","511",""
"Pernot Julien","K1H","218.38","-","544",""
"Berlise David","K1H","219.66","-","554",""
"Krzyzyk Maxime","K1H","220.35","-","558",""
"Cyril Duval","K1H","227.62","-","609",""
"Panthou Geremy","K1H","236.88","-","673",""
"Romagne Adrien","K1H","238.30","-","683",""
"Verger Nicolas","K1H","238.92","-","687",""
"Julien Brouzes","K1H","239.34","306","690",""
"Braud Mael","K1H","241.11","-","702",""
"Roussin Michel","K1H","247.30","-","745",""
"Olivier Cornu","K1H","248.19","568","751",""
"Despre Philippe","K1H","249.96","963","763",""
"Fourey Sebastien","K1H","251.73","-","776",""
"Contreras Julien","K1H","258.53","932","823",""
"Pelle Benoit","K1H","259.82","-","832",""
"Marguerite Francois","K1H","263.18","-","855",""
"Matthieu Lesenechal","K1H","269.68","-","901",""
"Aubert Fabien","K1H","270.44","520","906",""
"Houssemaine Julien","K1H","282.68","-","991",""
"Gadois Jacques","K1H","286.62","446","1018",""
"Aurelien Leroy","K1H","289.87","235","1041",""
"Mouroux Jeff","K1H","292.95","546","1062",""
"Benard Fabien","K1H","296.90","537","1090",""
"Benjamin Dolbecq","K1H","299.18","-","1105",""
"Chevalier Julien","K1H","304.62","-","1143",""
"Hebert Corentin","K1H","306.37","-","1155",""
"Pelcot Xavier","K1H","308.57","-","1170",""
"Marcen Thomas","K1H","312.42","-","1197",""
"Gobe Sylvain","K1H","315.98","-","1222",""
"Drisch Nicolas","K1H","318.74","-","1241",""
"Hurel Adrien","K1H","320.03","-","1251",""
"Delasalle Jerome","K1H","324.88","-","1284",""
"Lecointe Marc","K1H","327.78","-","1304",""
"Robert Marc Antoine","K1H","338.71","-","1380",""
"Maunoury Maxime","K1H","339.18","-","1383",""
"Leyoudec Florent","K1H","350.78","-","1464",""
"Guilmeau Jérémy","K1H","352.06","-","1473",""
"Quillet Maxime","K1H","358.77","-","1519",""
"Droguet Frédéric","K1H","368.29","-","1585",""
"Lecoq Sylvere","K1H","377.37","-","1649",""
"Quesnay Morgan","K1H","381.01","-","1674",""
"Lecoq Clement","K1H","392.45","-","1753",""
"Jean-luc Mottais","K1H","400.59","-","1810",""
"Morin Thomas","K1H","406.74","-","1852",""
"Houdard Josselin","K1H","419.62","-","1943",""
"Quesney Alexis","K1H","437.13","-","2064",""
"Donatien Lamoureux","K1H","445.65","1170","2123",""
"Bechet Benjamin","K1H","571.82","-","3000",""
"Debret Pierre","K1H","594.08","-","3154",""
"Bonnieux Sebastien","K1H","595.81","-","3166",""
"Launay Johann","K1H","603.94","-","3222",""
"Pflieger Henri","K1H","629.46","-","3400",""
"Fouesneau Maxence","K1H","637.34","-","3455",""
"Meriel Antoine","K1H","661.93","-","3625",""
"Boudin Maxime","K1H","727.70","-","4083",""
"Meslon Edouard","K1H","803.47","-","4608",""
