"SÈlectif RÈgional Slalom (Double) - Foix - Course n∞1 | Finale - 2017-11-11","Course n∞1 | Finale","2017-11-11","RÈgional","208"
"Guillaume Pradalie","K1HM","132.44","666.54","586.78","Course n∞1 | Finale A"
"Timeo Canonico","K1HM","139.67","1061.98","672.24","Course n∞1 | Finale A"
"Clement Claret","K1HM","185.18","729.51","1210.15","Course n∞1 | Finale A"
"Margot Beziat","C1D","131","387.47","316.71","Course n∞1 | Finale B"
"Elorri Erdois","C1D","141.58","382.14","420.91","Course n∞1 | Finale B"
"Lucile Gangloff","C1D","410.26","1640.48","3067.33","Course n∞1 | Finale B"
"Erwan Marchais","C1H","101.16","107.81","165.13","Course n∞1 | Finale B"
"Johan Pucheou","C1H","104.55","199.95","203.29","Course n∞1 | Finale B"
"Nathan Hossin","C1H","107.95","159.08","241.57","Course n∞1 | Finale B"
"Dominik Gosset","C1H","110.81","307.89","273.75","Course n∞1 | Finale B"
"Leo Dujourd'hui","C1H","110.82","336.92","273.87","Course n∞1 | Finale B"
"Karl Bouthegourd","C1H","113.87","416.87","308.21","Course n∞1 | Finale B"
"Benoit Pacteau","C1H","114.96","407.71","320.48","Course n∞1 | Finale B"
"Arthur Cousty","C1H","132.79","572.6","521.19","Course n∞1 | Finale B"
"Arthur Perez","C1H","143.18","375.1","638.14","Course n∞1 | Finale B"
"Maxence Merpillat","C1H","178.69","-","1037.87","Course n∞1 | Finale B"
"Loic Leymonerie","C1H","203.33","783","1315.24","Course n∞1 | Finale B"
"Adrien Mesmoudi","C1H","226.68","502.44","1578.09","Course n∞1 | Finale B"
"Felix Sperandio","C1H","243.59","578.34","1768.43","Course n∞1 | Finale B"
"Clement Serres","C1H","Des","-","-","Course n∞1 | Finale B"
"Klara Olazabal","K1D","104.05","170.65","114.74","Course n∞1 | Finale B"
"Lise Denat","K1D","116.66","281.85","246.64","Course n∞1 | Finale B"
"Maeva Bachelot","K1D","120.36","329.58","285.34","Course n∞1 | Finale B"
"Margot Beziat","K1D","123.8","314.87","321.33","Course n∞1 | Finale B"
"Agathe Benoit","K1D","139.5","1085.92","485.54","Course n∞1 | Finale B"
"Lea Pages","K1D","144.7","591.2","539.93","Course n∞1 | Finale B"
"Lyse Brichet","K1D","148.6","599.54","580.72","Course n∞1 | Finale B"
"Marie Boyer","K1D","156.19","915.01","660.11","Course n∞1 | Finale B"
"Lucile Gangloff","K1D","157.57","388.14","674.55","Course n∞1 | Finale B"
"Laetitia Thueux","K1D","193","336","1045.14","Course n∞1 | Finale B"
"Lea Hubert","K1D","195.99","494.43","1076.41","Course n∞1 | Finale B"
"Marion Massat","K1D","307.94","1599.77","2247.4","Course n∞1 | Finale B"
"Emma Angladette","K1D","316.41","602.53","2336","Course n∞1 | Finale B"
"Amelie Leclercq","K1DM","143.47","459.48","527.07","Course n∞1 | Finale B"
"Pauline Rouilhet","K1DM","167.16","521.7","774.86","Course n∞1 | Finale B"
"Youlia Estanguet","K1DM","191.5","420.96","1029.46","Course n∞1 | Finale B"
"Felix Praderie","K1H","104.18","321.67","257.76","Course n∞1 | Finale B"
"Louis Midy","K1H","106.09","334.09","280.34","Course n∞1 | Finale B"
"Karl Bouthegourd","K1H","106.5","370.72","285.18","Course n∞1 | Finale B"
"Pablo Chaminade","K1H","107.13","378.46","292.63","Course n∞1 | Finale B"
"Tom Zanfini","K1H","107.2","309.8","293.46","Course n∞1 | Finale B"
"Arthur Cousty","K1H","109.1","398.54","315.91","Course n∞1 | Finale B"
"Samuel Taillefer","K1H","109.67","385.95","322.65","Course n∞1 | Finale B"
"Patrick Clerc","K1H","110.21","315.27","329.03","Course n∞1 | Finale B"
"Thibault Clerc","K1H","110.94","359.25","337.66","Course n∞1 | Finale B"
"Marc Cordier","K1H","111.66","331.49","346.17","Course n∞1 | Finale B"
"Jules Besson","K1H","111.7","493.92","346.64","Course n∞1 | Finale B"
"Guillaume Fletcher","K1H","111.76","843.21","347.35","Course n∞1 | Finale B"
"Maxime Charron","K1H","111.84","362.08","348.3","Course n∞1 | Finale B"
"Marc Brossard","K1H","112.16","378.81","352.08","Course n∞1 | Finale B"
"Remi Dramard","K1H","112.28","522.27","353.5","Course n∞1 | Finale B"
"Yannis Dast","K1H","112.44","491.61","355.39","Course n∞1 | Finale B"
"Paul Gobert","K1H","112.8","458.13","359.65","Course n∞1 | Finale B"
"Ugo Rolland","K1H","112.84","397.19","360.12","Course n∞1 | Finale B"
"Jacques Roisin","K1H","113.19","444.73","364.26","Course n∞1 | Finale B"
"Laurent Brossard","K1H","113.64","432.88","369.57","Course n∞1 | Finale B"
"Gedeon Cothias-faure","K1H","114","429.36","373.83","Course n∞1 | Finale B"
"Esteban Illido","K1H","114.6","355.08","380.92","Course n∞1 | Finale B"
"Antonin Maystre","K1H","115.09","362.45","386.71","Course n∞1 | Finale B"
"Eric Vidou","K1H","116.08","402.99","398.41","Course n∞1 | Finale B"
"Cedric Landreau","K1H","116.83","369.47","407.28","Course n∞1 | Finale B"
"Felix Sperandio","K1H","116.83","438.67","407.28","Course n∞1 | Finale B"
"Frederic Reus","K1H","117.07","436.57","410.12","Course n∞1 | Finale B"
"Stephane Perilhou","K1H","117.55","482.28","415.79","Course n∞1 | Finale B"
"Benoit Pacteau","K1H","119.51","533.17","438.96","Course n∞1 | Finale B"
"Abel Boidron","K1H","121.85","526.32","466.61","Course n∞1 | Finale B"
"Tom Gonzales","K1H","121.97","489.15","468.03","Course n∞1 | Finale B"
"Denis Vintrou","K1H","122.24","541.41","471.22","Course n∞1 | Finale B"
"Angus Cruickshank","K1H","122.56","414.97","475.01","Course n∞1 | Finale B"
"Tristan Ruiz","K1H","123.07","666.54","481.03","Course n∞1 | Finale B"
"Etienne Saint Picq","K1H","124.35","439.54","496.16","Course n∞1 | Finale B"
"Nicolas Neveu","K1H","125.55","546","510.35","Course n∞1 | Finale B"
"Jean Dayraut","K1H","125.76","553.31","512.83","Course n∞1 | Finale B"
"Lucas Dongarra","K1H","126.57","534.67","522.4","Course n∞1 | Finale B"
"Jose Pereira","K1H","141.11","478.57","694.26","Course n∞1 | Finale B"
"Th…o Palumbo","K1H","169.74","935.88","1032.66","Course n∞1 | Finale B"
"Edgar Paleaubrasseur","K1H","174.55","2304.08","-","Course n∞1 | Finale B"
"Loic Leymonerie","K1H","175.43","701.38","1099.91","Course n∞1 | Finale B"
"Compton Cruickshank","K1H","181.86","612.48","1175.91","Course n∞1 | Finale B"
"Jean Cougul","K1H","206.66","1173.68","1469.04","Course n∞1 | Finale B"
"Pascal Dongarra","K1H","230.61","338.84","1752.12","Course n∞1 | Finale B"
"Quentin Rabot","K1H","246.72","1031.27","1942.54","Course n∞1 | Finale B"
"Clement Serres","K1H","270.63","1293.97","2225.15","Course n∞1 | Finale B"
"Thomas Moret","K1H","329.36","526.19","2919.32","Course n∞1 | Finale B"
"Aurelien Blois","K1H","348.83","956.19","3149.44","Course n∞1 | Finale B"
"Romain Cadiot","K1H","Des","-","-","Course n∞1 | Finale B"
"Renaud Clerc","K1H","Des","-","-","Course n∞1 | Finale B"
"Cl…ment Corbeil","K1HM","120","464.58","444.75","Course n∞1 | Finale B"
"Matt Vidou","K1HM","122.75","550.17","477.25","Course n∞1 | Finale B"
"Fantin Delage-garez","K1HM","123.21","418.32","482.69","Course n∞1 | Finale B"
"Alex Baldoni","K1HM","126.83","471.59","525.48","Course n∞1 | Finale B"
"Marin Saint Macary","K1HM","167.56","567","1006.89","Course n∞1 | Finale B"
"Lukas Estanguet-santamaria","K1HM","175.47","1326.56","1100.39","Course n∞1 | Finale B"
"Guillaume Malmezac","K1HM","185.18","518.67","1215.15","Course n∞1 | Finale B"
"Thomas Terr…","K1HM","225.36","562.84","1690.07","Course n∞1 | Finale B"
"Simon Tourtois","K1HM","236.52","722.03","1821.98","Course n∞1 | Finale B"
"Nicolas Leman","K1HM","257.87","1813.12","2074.33","Course n∞1 | Finale B"
"Jules Maitre","K1HM","Des","-","-","Course n∞1 | Finale B"
"Clement Guyon","K1HM","Des","-","-","Course n∞1 | Finale B"
