"Compétition Régionale de Slalom - Chasseneuil Du Poitou - Qualification - 2015-01-25","Qualification","2015-01-25","Régional","109"
"Zeph Scamps","K1H","144.57","444.41","438.58",""
"Merwan Fliou","K1H","155.69","-","545.49",""
"Florentin Saumon","K1H","156.11","397.98","549.53",""
"Christophe Joubert","K1H","156.63","707.06","554.52",""
"Mathias Pannetier","K1H","159.81","-","585.1",""
"Yann Maillocheau","K1H","161.06","513.08","597.11",""
"Raphael Jean","K1H","162.48","473.8","610.76",""
"Michel Daupeux","K1H","168.98","556.19","673.25",""
"Adrien Latus","K1H","169.3","566.28","676.33",""
"Antoine Bougette","K1H","170.94","574.01","692.1",""
"Remi Princet","K1H","171.68","-","699.21",""
"Maxime Bouvet","K1H","175.06","536.76","731.7",""
"Valentin Alliot","K1H","176.89","242.33","749.3",""
"Maxime Antoine","K1H","177.63","581.11","756.41",""
"Christian Belouin","K1H","181.6","617.58","794.58",""
"Eric Pouradier","K1H","181.89","773.02","797.36",""
"Gerard Lemonnier","K1H","189.19","640.37","867.54",""
"Dyllan Van De Weghe","K1H","192.01","575.43","894.65",""
"Thierry Dugue","K1H","195.96","664.4","932.63",""
"Thierry Le Bonniec","K1H","221.45","729.95","1177.68",""
"Jean-christophe Dubois","K1H","265.27","1062.08","1598.95",""
"Louis Pezat","K1H","265.9","-","1605.01",""
"Franck Le Coz","K1H","268.48","-","1629.81",""
"Nicolas Mousset","K1H","326.65","1173.09","2189.03",""
"Jonathan Bourdier","K1H","327.2","-","2194.32",""
"Anthony Penaud","K1H","374.67","-","2650.68",""
"Andre Filipe Nunes Marques","K1H","574.62","1906.82","4572.92",""
"Collin Pouradier","K1H","Abs","-","-",""
"NaËl Rajoub","K1H","Abs","-","-",""
"Lucas Joubert","K1H","Abs","-","-",""
"Leo Aranda","K1H","Abs","-","-",""
"Pierre Ferrand","K1H","Abs","-","-",""
"Sylvain Decombe","K1H","Abs","-","-",""
"Yanis Koubaiti","K1H","Abs","-","-",""
"Nour Rajoub","K1H","Abs","-","-",""
"Nathan Ferchaud","K1H","Abs","-","-",""
"Yanis Rainaud","K1H","Abs","-","-",""
"Wilfried Truffy","K1H","Abs","-","-",""
"Thair Benzougar","K1H","Abs","-","-",""
"Kevin Sponem","K1H","Abs","-","-",""
"Matheo Gillaizeau","K1HM","158.04","-","-",""
"Ulysse Giel","K1HM","191.28","-","-",""
"Julien Brice","K1HM","195.94","-","-",""
"Younes Kismi","K1HM","207.04","-","-",""
"Clement Capillon","K1HM","221.72","-","-",""
"Regis Navinel-dubois","K1HM","223.85","-","-",""
"Lucas Mesquita","K1HM","242.09","-","-",""
"Thimon Didier","K1HM","276.66","-","-",""
"Arnaud Verrons","K1HM","283.64","-","-",""
"Tanguy Odot","K1HM","449.35","-","-",""
"Martin Lassiste","K1HM","483.77","-","-",""
"Henri Chenu","K1HM","Abs","-","-",""
