"Championnat de France Slalom des Clubs - Cesson Sévigné - Course individuelle | Finale - 2015-10-03","Course individuelle | Finale","2015-10-03","Championnats de France","231"
"Julian Othenin-girard","C1H","105.7","-","-","Course individuelle | Finale B"
"Nicolas Scianimanico","C1H","105.87","-","-","Course individuelle | Finale B"
"Simon Werro","C1H","105.91","-","-","Course individuelle | Finale B"
"Jean Freri","C1H","106.83","-","-","Course individuelle | Finale B"
"Etienne Daille","C1H","107.49","-","-","Course individuelle | Finale B"
"Jules Chaumet","C1H","107.76","-","-","Course individuelle | Finale B"
"Louison Tanet","C1H","108.51","-","-","Course individuelle | Finale B"
"Yann Le Govic","C1H","108.88","-","-","Course individuelle | Finale B"
"Emeric Bertrand","C1H","111.22","-","-","Course individuelle | Finale B"
"Mathurin Madore","C1H","112.79","-","-","Course individuelle | Finale B"
"Maxime Bottex","C1H","113.57","-","-","Course individuelle | Finale B"
"Melenn Aubry","C1H","115.97","-","-","Course individuelle | Finale B"
"Medhi Deguil","C1H","117.75","-","-","Course individuelle | Finale B"
"Hugo Robin","C1H","118.01","-","-","Course individuelle | Finale B"
"Jules Bernardet","C1H","118.63","-","-","Course individuelle | Finale B"
"Stephane Abadie","C1H","119.48","-","-","Course individuelle | Finale B"
"Pierre Giudicelli","C1H","120.86","-","-","Course individuelle | Finale B"
"Theo Desvignes","C1H","120.91","-","-","Course individuelle | Finale B"
"Timothee Olla","C1H","121.63","-","-","Course individuelle | Finale B"
"Etienne Nardeau","C1H","122.16","-","-","Course individuelle | Finale B"
"Nicolas Coudert","C1H","123.97","-","-","Course individuelle | Finale B"
"Alan Mahe","C1H","123.98","-","-","Course individuelle | Finale B"
"Dimitri Marino","C1H","127","-","-","Course individuelle | Finale B"
"Malo Le Paih","C1H","130.11","-","-","Course individuelle | Finale B"
"Benoit Le Mazurier","C1H","190.55","-","-","Course individuelle | Finale B"
"Simon Le Friec-Jonathan Marc","C2H","114.23","-","-","Course individuelle | Finale B"
"Malo Poles-Baptiste Le Poncin","C2H","115.85","-","-","Course individuelle | Finale B"
"Paul Brier-Henri Despont","C2H","117.25","-","-","Course individuelle | Finale B"
"Nicolas Coudert-Fabien Le Nechet","C2H","119.39","-","-","Course individuelle | Finale B"
"Edgar Prigent-Guillaume Graille","C2H","119.75","-","-","Course individuelle | Finale B"
"Frederic Momot-Jean Philippe Winiarski","C2H","120.57","-","-","Course individuelle | Finale B"
"Pierre Bourliaud-Thomas Rosset","C2H","122.12","-","-","Course individuelle | Finale B"
"Medhi Deguil-Julien Haberland","C2H","122.26","-","-","Course individuelle | Finale B"
"Liam Jegou-Laurent Starck","C2H","122.67","-","-","Course individuelle | Finale B"
"Mathieu Biazizzo-Antoine Runet","C2H","124.44","-","-","Course individuelle | Finale B"
"Hugo Regnier-Arthur Mizzi","C2H","124.67","-","-","Course individuelle | Finale B"
"Alan Mahe-Matheo Lebaindre","C2H","125.04","-","-","Course individuelle | Finale B"
"Gilles Schweitzer-Manuel Munsch","C2H","127.04","-","-","Course individuelle | Finale B"
"Anthony Drouhin-Nicolas Bernardy","C2H","127.07","-","-","Course individuelle | Finale B"
"Johann Loiseau-Hugo Robin","C2H","127.99","-","-","Course individuelle | Finale B"
"Clement Berger-Mathieu Villeger","C2H","128.67","-","-","Course individuelle | Finale B"
"Claude Menissier-Gerard Menissier","C2H","128.92","-","-","Course individuelle | Finale B"
"Raphael Olla-Timothee Olla","C2H","132.72","-","-","Course individuelle | Finale B"
"Dimitri Marino-Theo Desvignes","C2H","132.98","-","-","Course individuelle | Finale B"
"Awen Le Paih-Malo Le Paih","C2H","134.58","-","-","Course individuelle | Finale B"
"Etienne Nardeau-Tristan Lejot","C2H","138.13","-","-","Course individuelle | Finale B"
"Yann Le Bourser-Keliann Le Breton","C2H","138.47","-","-","Course individuelle | Finale B"
"Jerome Daille-Mathieu Monier","C2H","139.73","-","-","Course individuelle | Finale B"
"Jean Malo Bailleul-Malo Legrand","C2H","139.78","-","-","Course individuelle | Finale B"
"Titouan Dupras-Robin Dupras","C2H","142.58","-","-","Course individuelle | Finale B"
"Andreas Dupuy-Aaron Penning","C2H","146.48","-","-","Course individuelle | Finale B"
"Hugo Philippe-Leo Tasset","C2H","150.87","-","-","Course individuelle | Finale B"
"Pierre Le Gall-Maxime Barrault","C2H","180.41","-","-","Course individuelle | Finale B"
"Benoit Le Mazurier-Lucas Correia","C2H","214.43","-","-","Course individuelle | Finale B"
"Christophe Marechal-Laurine Naveau","C2M","123.63","-","-","Course individuelle | Finale B"
"Pauline Guiet-Tom Scianimanico","C2M","124.51","-","-","Course individuelle | Finale B"
"Nicolas Labat-Justine Lorin","C2M","129.69","-","-","Course individuelle | Finale B"
"Agathe Chaumet-Samuel Lhegu","C2M","131.52","-","-","Course individuelle | Finale B"
"Gilles Schweitzer-Auregane Philip","C2M","132.08","-","-","Course individuelle | Finale B"
"Benoit Chantry-Stephanie Bender","C2M","134.92","-","-","Course individuelle | Finale B"
"Melenn Aubry-Estelle Hellard","C2M","137.82","-","-","Course individuelle | Finale B"
"Nicolas Bernardy-Anais Bernardy","C2M","138.84","-","-","Course individuelle | Finale B"
"Emeric Bertrand-Deborah Larsonneur","C2M","141.03","-","-","Course individuelle | Finale B"
"Mathieu Fougere-Louise Bichet","C2M","144.07","-","-","Course individuelle | Finale B"
"Amelie Perier-Damien Launay","C2M","144.28","-","-","Course individuelle | Finale B"
"Marjorie Boulogne-Enrick Cunsolo","C2M","144.46","-","-","Course individuelle | Finale B"
"Matthieu Walfard-Gaelle Delaborde","C2M","145.15","-","-","Course individuelle | Finale B"
"Malo Poles-Catherine Le Berre","C2M","146.07","-","-","Course individuelle | Finale B"
"Robin Dupras-Phenicia Dupras","C2M","149.48","-","-","Course individuelle | Finale B"
"Celine Roulot-Emmanuel Walczak","C2M","150.56","-","-","Course individuelle | Finale B"
"Dimitri Etienne-Enora Bronsard","C2M","151.06","-","-","Course individuelle | Finale B"
"Jerome Daille-Sabine Kleinhenz","C2M","153.87","-","-","Course individuelle | Finale B"
"Anne-lise Bardet-Yves Narduzzi","C2M","153.89","-","-","Course individuelle | Finale B"
"Ewen Legrand-Coline Jacob","C2M","154.29","-","-","Course individuelle | Finale B"
"Youn Aubry-Pauline Richard","C2M","156.23","-","-","Course individuelle | Finale B"
"Franck Delachair-Mathilde Le Verge","C2M","159.7","-","-","Course individuelle | Finale B"
"Florence Marchal-Jacques Nardeau","C2M","159.89","-","-","Course individuelle | Finale B"
"2 Ouvreur","C2M","162.75","-","-","Course individuelle | Finale B"
"Aurelie Le Fee-Awen Le Paih","C2M","169.92","-","-","Course individuelle | Finale B"
"Zeph Scamps-Margaux Longeau","C2M","179.59","-","-","Course individuelle | Finale B"
"Orlane Dupras-Mathieu Monier","C2M","197.93","-","-","Course individuelle | Finale B"
"Yann Le Bourser-Elodie Le Nechet","C2M","263.07","-","-","Course individuelle | Finale B"
"Jonathan Chapatte-Tifenn Primet","C2M","Des","-","-","Course individuelle | Finale B"
"Agathe Chaumet","K1D","113.49","-","-","Course individuelle | Finale B"
"Zoe Huet","K1D","117.13","-","-","Course individuelle | Finale B"
"Azenor Philip","K1D","117.15","-","-","Course individuelle | Finale B"
"Angelique Guilcher","K1D","117.57","-","-","Course individuelle | Finale B"
"Viviana Daille","K1D","118.46","-","-","Course individuelle | Finale B"
"Clementine Geoffray","K1D","118.8","-","-","Course individuelle | Finale B"
"Manon Durand","K1D","119.16","-","-","Course individuelle | Finale B"
"Elise Pierron","K1D","119.38","-","-","Course individuelle | Finale B"
"Nagwa Lanchec El Desouki","K1D","121.4","-","-","Course individuelle | Finale B"
"Emilie Chamouleau","K1D","122.35","-","-","Course individuelle | Finale B"
"Andrea Gratwohl","K1D","122.47","-","-","Course individuelle | Finale B"
"Thais Francois","K1D","122.71","-","-","Course individuelle | Finale B"
"Marion Grangeon","K1D","124.88","-","-","Course individuelle | Finale B"
"Pauline Gentilhomme","K1D","124.89","-","-","Course individuelle | Finale B"
"Maela Le Corre","K1D","127.2","-","-","Course individuelle | Finale B"
"Josepha Longa","K1D","128.12","-","-","Course individuelle | Finale B"
"Ilhame Siraj","K1D","128.69","-","-","Course individuelle | Finale B"
"Lisa Robin","K1D","128.98","-","-","Course individuelle | Finale B"
"Morgane Quemerais","K1D","130.66","-","-","Course individuelle | Finale B"
"Phenicia Dupras","K1D","131.57","-","-","Course individuelle | Finale B"
"Gaelle Delaborde","K1D","135.34","-","-","Course individuelle | Finale B"
"Eva Dauvergne","K1D","135.58","-","-","Course individuelle | Finale B"
"Elodie Le Nechet","K1D","136.39","-","-","Course individuelle | Finale B"
"Tifenn Primet","K1D","140.61","-","-","Course individuelle | Finale B"
"Louise Bichet","K1D","148.08","-","-","Course individuelle | Finale B"
"Emma Jacob","K1D","149","-","-","Course individuelle | Finale B"
"Fanny Valeau","K1D","245.29","-","-","Course individuelle | Finale B"
"Amelie Perier","K1D","Des","-","-","Course individuelle | Finale B"
"Lukas Werro","K1H","94.19","-","-","Course individuelle | Finale B"
"Manuel Munsch","K1H","95.23","-","-","Course individuelle | Finale B"
"Clement Travert","K1H","95.82","-","-","Course individuelle | Finale B"
"Yann Le Govic","K1H","95.94","-","-","Course individuelle | Finale B"
"Tom Scianimanico","K1H","95.99","-","-","Course individuelle | Finale B"
"Mathieu Doby","K1H","96.23","-","-","Course individuelle | Finale B"
"Benoit Chantry","K1H","96.88","-","-","Course individuelle | Finale B"
"Enrick Cunsolo","K1H","97.5","-","-","Course individuelle | Finale B"
"Emmanuel Walczak","K1H","98.48","-","-","Course individuelle | Finale B"
"Ewen Legrand","K1H","99.36","-","-","Course individuelle | Finale B"
"Quentin Mignard","K1H","99.88","-","-","Course individuelle | Finale B"
"Maxime Bottex","K1H","100.17","-","-","Course individuelle | Finale B"
"Nicolas Labat","K1H","100.4","-","-","Course individuelle | Finale B"
"Mathurin Madore","K1H","100.68","-","-","Course individuelle | Finale B"
"Jonathan Chapatte","K1H","100.93","-","-","Course individuelle | Finale B"
"Johann Loiseau","K1H","101.27","-","-","Course individuelle | Finale B"
"Pierre Audouin","K1H","101.89","-","-","Course individuelle | Finale B"
"Pierre Hellard","K1H","102.22","-","-","Course individuelle | Finale B"
"Julien Haberland","K1H","102.9","-","-","Course individuelle | Finale B"
"Fabien Le Nechet","K1H","104.6","-","-","Course individuelle | Finale B"
"Vincent Ablin","K1H","105.12","-","-","Course individuelle | Finale B"
"Matheo Lebaindre","K1H","105.23","-","-","Course individuelle | Finale B"
"Tristan Bronsard","K1H","105.98","-","-","Course individuelle | Finale B"
"Riwal Le Berre","K1H","109.08","-","-","Course individuelle | Finale B"
"Morgan Le Friec","K1H","109.83","-","-","Course individuelle | Finale B"
"Paul Brier","K1H","144.59","-","-","Course individuelle | Finale B"
"Titouan Dupras","K1H","147.64","-","-","Course individuelle | Finale B"
"Damien Launay","K1H","148.08","-","-","Course individuelle | Finale B"
"Pierre Giudicelli","K1H","148.26","-","-","Course individuelle | Finale B"
