"Sélectif Championnat National 2 Slalom - Parc Des Eaux Vives Huningue - Finale - 2016-05-22","Finale","2016-05-22","Nationale 2","132"
"Maxime Di Lauro","K1H","90.89","206.89","153.21","Finale A"
"Anthony Thuillier","K1H","91.7","184.2","162.8","Finale A"
"Eric Lamour","K1H","91.86","162.2","164.7","Finale A"
"Lucas Galmiche","K1H","92.28","191.77","169.67","Finale A"
"Benjamin Thiboust","K1H","92.71","164.15","174.77","Finale A"
"Pierre Marie Roussel","K1H","93.13","167.34","179.74","Finale A"
"Johan De Mareuil","K1H","93.3","155.45","181.75","Finale A"
"Nicolas Feuillard","K1H","93.8","147.69","187.68","Finale A"
"Andy Pajani","K1H","93.99","133.45","189.93","Finale A"
"Robin Pottelette","K1H","94.55","227.1","196.56","Finale A"
"Jules Bevalot","K1H","94.65","191.06","197.74","Finale A"
"Davy Egraz","K1H","95.09","194.64","202.96","Finale A"
"Quentin Moreaux","K1H","96.63","213.7","221.2","Finale A"
"Sebastien De Kerleau","K1H","98.28","-","240.74","Finale A"
"Aaron Penning","K1H","98.33","256.44","241.33","Finale A"
"Pierre Grapotte","K1H","98.34","235.15","241.45","Finale A"
"Damien Ganthier","K1H","99.29","194.45","252.7","Finale A"
"Kawan Thomas","K1H","101.8","252.36","282.43","Finale A"
"Vincent Reiter","K1H","103.54","244.88","303.04","Finale A"
"Fabien Tournadre","K1H","105.75","172.04","329.21","Finale A"
"Jonathan Chapatte","K1H","142.22","144.92","761.16","Finale A"
"Vincent Delahaye","K1H","143.17","197.56","772.41","Finale A"
"Jerome Olhagaray","K1H","147.41","159.54","822.63","Finale A"
"Elena Hugues","C1D","140.35","375.39","466.96","Finale B"
"Emilie Delahaye","C1D","160.54","337.19","666.23","Finale B"
"Marion Delorme","C1D","217.07","300.18","1224.19","Finale B"
"Philippe Thevenin","C1H","108.54","270.84","306.04","Finale B"
"Martin Rohaut","C1H","111.9","303.92","343.94","Finale B"
"Nicolas Ducrocq","C1H","112.34","218.71","348.9","Finale B"
"Mathurin Madore","C1H","112.42","208.94","349.81","Finale B"
"Eludes Houillon","C1H","114.22","296.14","370.11","Finale B"
"Jeancharles Reby","C1H","115.96","287.76","389.74","Finale B"
"Timothee Olla","C1H","116.36","238.95","394.25","Finale B"
"Romain Bertrand","C1H","118.21","285.38","415.12","Finale B"
"Theo Lefetey","C1H","129.11","253.48","538.07","Finale B"
"Marcantoine Hacquart","C1H","129.7","296.65","544.73","Finale B"
"Nicolas Eymaron","C1H","173.21","307.15","1035.52","Finale B"
"Michael Philibert","C1H","230.05","275.63","1676.67","Finale B"
"Alexis Collin-Alexandre Mathis","C2H","121.79","345.91","393.05","Finale B"
"Gaspard Perrio-LÉo Le Moigne","C2H","128.15","370.84","461.53","Finale B"
"Yoan Del Rey-Arthur Grandemange","C2H","128.85","279.41","469.07","Finale B"
"Gauthier Gonseth-Guillaume Gonseth","C2H","137.87","372.47","566.19","Finale B"
"Mylene Ferry","K1D","116.1","273.52","298.6","Finale B"
"Laura Rocher","K1D","118.02","254.7","318.72","Finale B"
"Alicia Gallot","K1D","119.63","296.94","335.6","Finale B"
"Sophie Colbus","K1D","120.59","262.27","345.67","Finale B"
"Lisa Robin","K1D","120.61","231.46","345.88","Finale B"
"Meryl Steinmann","K1D","124.43","282.78","385.91","Finale B"
"Marie-amelie Jullien","K1D","124.8","268.15","389.78","Finale B"
"Elodie Delavelle","K1D","124.84","302.36","390.21","Finale B"
"Camille Andrieux","K1D","124.95","258.71","391.36","Finale B"
"Coralie Yebenes","K1D","126.07","301.31","403.1","Finale B"
"Eva Dauvergne","K1D","126.83","324.08","411.07","Finale B"
"Lucie Robin","K1D","127.74","327.11","420.6","Finale B"
"Eva Pietracha","K1D","128.51","308.05","428.68","Finale B"
"Angelique Guilcher","K1D","128.83","195.76","432.03","Finale B"
"Zoe Bruchon","K1D","131.15","317.6","456.35","Finale B"
"Raphaelle Hovine","K1D","131.94","289.3","464.63","Finale B"
"Alina Rassel","K1D","133.56","315.74","481.61","Finale B"
"Fanny Mino-vercellio","K1D","139.2","305.19","540.72","Finale B"
"Celia Grandadam","K1D","145.22","323.31","603.82","Finale B"
"Samuel Bonella","K1H","92.35","252.14","175.5","Finale B"
"Lucas Latimier","K1H","93.98","158.71","194.81","Finale B"
"Thibaud Vielliard","K1H","97.69","224.92","238.75","Finale B"
"Yann Zaepffel","K1H","97.8","258.9","240.05","Finale B"
"Robin Pilard","K1H","98.65","181.21","250.12","Finale B"
"Nicolas Mangeolle","K1H","99.71","224","262.67","Finale B"
"Erwan Rouch","K1H","100","208.45","266.11","Finale B"
"Nathan Boudaillez","K1H","101.86","256.5","288.14","Finale B"
"Theo Quenouillere","K1H","103.02","173.92","301.88","Finale B"
"Benoit Lecoester","K1H","104.26","268.51","316.56","Finale B"
"Bertrand Bercon","K1H","104.65","238.63","321.18","Finale B"
"Yohan Marck","K1H","105.47","249.3","330.9","Finale B"
"Jacques Precigout","K1H","105.79","258.71","334.69","Finale B"
"Florient Tagnon","K1H","105.98","237.22","336.94","Finale B"
"Romain Bertrand","K1H","110.8","224.77","394.02","Finale B"
"Ludovic Ngo","K1H","114.2","257.42","434.29","Finale B"
"Thomas Girard","K1H","114.69","246.88","440.1","Finale B"
"Arthur Favennec","K1H","119.53","244.21","497.42","Finale B"
"Mathieu Monier","K1H","127.23","211.5","588.62","Finale B"
"Laurent Starck","K1H","147.72","184.88","831.3","Finale B"
"Silvere Desongins","K1H","148.69","203.48","842.79","Finale B"
"Cedric Jegouzo","K1H","149.15","157.05","848.24","Finale B"
"Simon Hene","K1H","149.8","223.27","855.94","Finale B"
"Hugo Simon","K1H","149.97","222.59","857.95","Finale B"
"Bertrand Avril","K1H","159.67","286.62","972.84","Finale B"
