"Championnats de France N1 - Réals - Course de qualification - 2001-10-06","Course de qualification","2001-10-06","Championnats de France","119"
"Anneline Triomphe","K1D","259.45","28","51",""
"Samuelle Arnaud","K1D","264.07","53","63",""
"Pedrono Annaig","K1D","264.66","39","64",""
"Chevrier Cecile","K1D","269.89","66","78",""
"Aline Tornare","K1D","272.5","77","85",""
"Ophelie Delaplace","K1D","272.74","61","85",""
"Vincent Marie","K1D","273.89","94","88",""
"Nagwa Lanchec El Desouki","K1D","276.74","58","96",""
"Lesigne Agathe","K1D","280.03","79","104",""
"Goncalves Caroline","K1D","292.37","109","136",""
"Fourcaud Laetitia","K1D","303.31","133","165",""
"Colin Maelle","K1D","307.03","122","174",""
"Sohy Stephanie","K1D","310.81","94","184",""
"Beauvais Angelique","K1D","313.66","98","192",""
"Claire Landrin","K1D","336.68","81","252",""
"Bomboy Alice","K1D","338.07","86","255",""
"Nelly Tornare","K1D","353.58","77","296",""
"Emilie Chamouleau","K1D","371.55","103","342",""
"Fabien Lefevre","K1H","213.94","27","16",""
"Romain Pallud","K1H","217.5","53","26",""
"Julien Billaut","K1H","220.85","45","36",""
"Benoit Peschier","K1H","221.63","33","39",""
"Boulesteix Ludovic","K1H","221.7","34","39",""
"Pierre Devaux","K1H","225.01","67","49",""
"Ghidini Jerome","K1H","225.34","56","50",""
"Benoit Rouffet","K1H","225.88","66","51",""
"Estanguet Aldric","K1H","226.32","60","53",""
"Mathieu Doby","K1H","227.16","58","55",""
"Octobre Olivier","K1H","227.5","90","56",""
"Cheutin Jean-Yves","K1H","228.5","44","59",""
"Pallud Renaud","K1H","228.58","55","59",""
"Deslux Bertrand","K1H","229.97","53","64",""
"Burtz Laurent","K1H","231.16","27","67",""
"Arnaud Lapeze","K1H","231.58","95","68",""
"Christophe Augu","K1H","231.58","51","68",""
"Thomas Monier","K1H","232.22","43","70",""
"Davy Egraz","K1H","232.66","85","72",""
"Julien Dekarczyk","K1H","233.3","48","74",""
"Riwal Le Berre","K1H","233.85","82","75",""
"Bluy Alexandre","K1H","233.9","104","75",""
"Damien Laborde","K1H","234.11","80","76",""
"Piquard Gregoire","K1H","234.59","75","77",""
"Patrice Fischer","K1H","234.75","72","78",""
"Julien Tous","K1H","234.82","56","78",""
"Frederic Walczak","K1H","235.31","80","80",""
"Baillon Nicolas","K1H","235.36","47","80",""
"Alonso Remy","K1H","235.42","73","80",""
"Le Calve Yann","K1H","236.08","90","82",""
"Thomas Jean Pascal","K1H","237.77","78","87",""
"Gosselin Pierrick","K1H","238.07","92","88",""
"Millet Francois","K1H","238.31","110","89",""
"Loris Minvielle","K1H","239.63","55","93",""
"Venceslas Viseur","K1H","240.38","76","95",""
"Gregory Busson","K1H","240.84","113","96",""
"Jean Philippe Winiarski","K1H","240.95","95","96",""
"Julien Dosse","K1H","241.65","74","99",""
"Julien Arribe","K1H","241.94","79","99",""
"Ragot Laurent","K1H","243.84","87","105",""
"Radureau Lionel","K1H","245.78","98","111",""
"Aurelien Maynadier","K1H","249.48","101","122",""
"Yann Neime","K1H","249.56","78","122",""
"Charles Edouard Dherment","K1H","249.83","93","123",""
"Montagny Sylvain","K1H","251.04","97","127",""
"Magat Philippe","K1H","253.75","-","135",""
"Bourgeois Cedric","K1H","255.15","83","139",""
"Nicolas Durand","K1H","259.26","105","151",""
"Mehdi Amini","K1H","265.03","161","169",""
"Fabien Hantz","K1H","268.73","107","180",""
"Thibaud Delaunay","K1H","341.4","89","397",""
"Christophe Marechal","K1H","342.3","61","400",""
"Bernis Camille","K1H","426.09","88","651",""
