"Sélectif Régional Slalom (Double) - 64800 Nay - Course n°2 | Finale - 2019-11-24","Course n°2 | Finale","2019-11-24","Régional","126"
"Baptiste Delemotte","K1H","93.32","253.27","229.49","Course n°2 | Finale A"
"Yon Dandonneau","K1H","95.15","242.45","253.3","Course n°2 | Finale A"
"Florent Iraundegui","K1H","95.78","287.39","261.49","Course n°2 | Finale A"
"Loris Shayam Affre","K1H","97.19","277.09","279.83","Course n°2 | Finale A"
"Eric Deguil","K1H","97.28","329.4","281","Course n°2 | Finale A"
"Etienne Saint Picq","K1H","97.48","325.54","283.61","Course n°2 | Finale A"
"Aldric Estanguet","K1H","100.74","323.42","326.01","Course n°2 | Finale A"
"Tristan Ruiz","K1H","100.79","413.83","326.66","Course n°2 | Finale A"
"Paul Gobert","K1H","101","281.79","329.39","Course n°2 | Finale A"
"Emeric Nieser","K1H","104.46","435.44","374.4","Course n°2 | Finale A"
"Angus Cruickshank","K1H","104.52","312.83","375.18","Course n°2 | Finale A"
"Florian Torche","K1H","105.71","362.29","390.66","Course n°2 | Finale A"
"Gedeon Cothias-faure","K1H","106.83","301.05","405.23","Course n°2 | Finale A"
"Fabien Paleau","K1H","110.37","337.49","451.27","Course n°2 | Finale A"
"Mael Bernes","K1H","143.55","213.48","882.87","Course n°2 | Finale A"
"Cyprien Cail","K1H","143.97","218.55","888.33","Course n°2 | Finale A"
"Cedric Gerbet","K1H","164.08","384.02","1149.92","Course n°2 | Finale A"
"Victor Lamy","K1H","Abs","-","-","Course n°2 | Finale A"
"Sebastien Mouyen Bie","K1H","Abs","-","-","Course n°2 | Finale A"
"Edgar Paleaubrasseur","K1HM","98.72","347.06","299.74","Course n°2 | Finale A"
"Miguel Irungaraylarronde","K1HM","110.71","699.36","455.7","Course n°2 | Finale A"
"Nino Langlume","K1HM","118.53","468.94","557.42","Course n°2 | Finale A"
"Quentin Rival-negrevergne","K1HM","124.42","602.35","634.03","Course n°2 | Finale A"
"Camille Luciotto Ribeiro","K1HM","127.39","678.63","672.66","Course n°2 | Finale A"
"Louis Labarthe","K1HM","151.43","635.92","985.37","Course n°2 | Finale A"
"Jonah Hanrahan","K1HM","174.33","544.57","1283.24","Course n°2 | Finale A"
"Ethan Da Gloria","K1HM","202.81","872.41","1653.7","Course n°2 | Finale A"
"Loris Shayam Affre","C1H","106.41","357.27","338.85","Course n°2 | Finale B"
"Leo Dujourd'hui","C1H","115.81","367.62","455.3","Course n°2 | Finale B"
"Paul Gobert","C1H","126.3","419.4","585.26","Course n°2 | Finale B"
"Emeric Nieser","C1H","129.37","471.86","623.29","Course n°2 | Finale B"
"Antton Erdois","C1H","132.87","371.95","666.65","Course n°2 | Finale B"
"Cedric Landreau","C1H","132.88","503.47","666.76","Course n°2 | Finale B"
"Charlie Barbier","C1H","140.56","538.28","761.92","Course n°2 | Finale B"
"Coline Charel","K1D","95.01","77.24","114.3","Course n°2 | Finale B"
"Youlia Estanguet","K1D","112.41","319.53","314.59","Course n°2 | Finale B"
"Enya Langlume","K1D","144.51","672.92","684.1","Course n°2 | Finale B"
"Laurence Pessoni","K1D","149.94","463.34","746.61","Course n°2 | Finale B"
"Emma Angladette","K1D","166.61","672.34","938.49","Course n°2 | Finale B"
"Chloe Bonnet","K1D","Des","-","-","Course n°2 | Finale B"
"Camille Santa Cruz","K1D","Abs","-","-","Course n°2 | Finale B"
"Alice Daniels","K1DM","122.9","539.38","435.35","Course n°2 | Finale B"
"Camille Vuitton","K1DM","138.52","593.02","615.15","Course n°2 | Finale B"
"Rozmarina Estanguet","K1DM","146.32","492.21","704.94","Course n°2 | Finale B"
"Adele Rambaldi","K1DM","Abs","-","-","Course n°2 | Finale B"
"Cedric Landreau","K1H","92.95","209.21","229.68","Course n°2 | Finale B"
"Alex Baldoni","K1H","95.8","342.76","266.75","Course n°2 | Finale B"
"Antoine Laye","K1H","98.18","250.67","297.71","Course n°2 | Finale B"
"Guillaume Malmezac","K1H","101.2","397.8","336.99","Course n°2 | Finale B"
"Paul Pradalie","K1H","101.89","678.63","345.97","Course n°2 | Finale B"
"Tino Forgues","K1H","102.82","309.13","358.07","Course n°2 | Finale B"
"Guillaume Pradalie","K1H","102.96","472.73","359.89","Course n°2 | Finale B"
"Jimmy Aguiar","K1H","109.4","407.77","443.66","Course n°2 | Finale B"
"KÉziah Lecomte","K1H","110.46","515.36","457.45","Course n°2 | Finale B"
"Julien Dubarry","K1H","113.48","448.06","496.73","Course n°2 | Finale B"
"Maxime Pourret","K1H","113.9","665.02","502.19","Course n°2 | Finale B"
"Manuel Legros","K1H","115.88","447.86","527.95","Course n°2 | Finale B"
"Eric Vidou","K1H","119.1","606.05","569.83","Course n°2 | Finale B"
"Flavien Portier","K1H","122.97","461.78","620.17","Course n°2 | Finale B"
"Nicolas Neveu","K1H","141.27","568.56","858.21","Course n°2 | Finale B"
"Antoine Garine","K1H","143.76","807.7","890.6","Course n°2 | Finale B"
"Jean Luc Pessoni","K1H","148.2","686.8","948.35","Course n°2 | Finale B"
"Mickael Castaing","K1H","151.02","2030.28","985.04","Course n°2 | Finale B"
"Marin Saint Macary","K1H","155.68","427.82","1045.65","Course n°2 | Finale B"
"Maxime Reubrez","K1H","161.71","532.74","1124.09","Course n°2 | Finale B"
"Mateo Destruel","K1H","168.2","650.91","1208.51","Course n°2 | Finale B"
"Mathys Maniet","K1H","171.33","507.66","1249.22","Course n°2 | Finale B"
"Hugo Larenjeiro","K1H","184.81","962.09","1424.56","Course n°2 | Finale B"
"Yanis Allard","K1H","197.27","727.3","1586.64","Course n°2 | Finale B"
"Sebastien Ruiz","K1H","214.04","1038.76","1804.78","Course n°2 | Finale B"
"Lucas Theil","K1H","278.26","841.42","2640.13","Course n°2 | Finale B"
"Bruno Lecomte","K1H","320.21","1218.96","3185.8","Course n°2 | Finale B"
"Wilfrid Delpech","K1H","343.56","1718.87","3489.53","Course n°2 | Finale B"
"Nicolas Peyroux","K1H","415.05","1614.2","4419.45","Course n°2 | Finale B"
"Marc Lalande","K1H","Abs","-","-","Course n°2 | Finale B"
"Noa Lorand","K1H","Abs","-","-","Course n°2 | Finale B"
"Eyquem Martin Skutnik","K1HM","131.56","858.58","731.91","Course n°2 | Finale B"
"Martin Grzeskowiak","K1HM","139.28","875.03","832.33","Course n°2 | Finale B"
"Quentin Arnaudin","K1HM","150.7","1109.06","980.87","Course n°2 | Finale B"
"Lilian Dujourd'hui","K1HM","152.05","956.68","998.43","Course n°2 | Finale B"
"Ylian Dubly","K1HM","189.43","1120.19","1484.66","Course n°2 | Finale B"
"Clement Laureys","K1HM","200.37","1069.54","1626.96","Course n°2 | Finale B"
"Leo Theil","K1HM","206.87","986.1","1711.51","Course n°2 | Finale B"
"Florian Latapiebayroo","K1HM","289.89","1189.02","2791.41","Course n°2 | Finale B"
