"Compétition Régionale de Slalom - Stade Départemental De La Valette - Qualification - 2015-12-06","Qualification","2015-12-06","Régional","132"
"Zoe Renaud","K1D","141.57","381.88","412.09",""
"Pauline Guenery","K1D","146.3","657.59","458.97",""
"Elisa Langlois","K1D","149.04","777.77","486.14",""
"Josephine Farges","K1D","151","549.45","505.56",""
"Anne Lambert","K1D","157.23","625.84","567.32",""
"Melanie Brunet","K1D","223.76","1511.78","1226.79",""
"Lou Boisnard","K1DM","136.12","320.27","358.06",""
"Orane Avry","K1DM","148.23","-","478.11",""
"Romane Bronchet","K1DM","151.33","-","508.83",""
"Zoe Marchand","K1DM","165.16","-","-",""
"Emma Chevallier","K1DM","167.37","-","-",""
"Anais Robineau","K1DM","168.98","-","683.79",""
"Daphnee Mouchelet","K1DM","172.23","-","716",""
"Louison Turmeau","K1H","102.18","82.75","153.31",""
"Thibault Marchand","K1H","103.95","85.7","173.14",""
"Samuel Lhegu","K1H","105.18","85.18","186.91",""
"Remi Vinet","K1H","109.15","168.61","231.38",""
"Herve Busson","K1H","109.3","199.4","233.06",""
"Theo Foucher","K1H","110.79","211.03","249.75",""
"Jonas Godevin","K1H","111.51","264.58","257.82",""
"Denis Guilmard","K1H","112.61","229.43","270.14",""
"Axel Meheust","K1H","112.83","245.61","272.6",""
"Martin Belliot","K1H","114.05","252.33","286.27",""
"Pierre Bourdet","K1H","114.12","302.66","287.05",""
"Loann Le Guyader","K1H","114.34","331.95","289.52",""
"Nicolas Rouleaud","K1H","115.5","186.99","302.51",""
"Timothee Le Mort","K1H","115.65","258.53","304.19",""
"Thomas Brochard","K1H","115.97","307.89","307.77",""
"Jean Aussant","K1H","116.64","363.42","315.28",""
"Alexis Bobon","K1H","118.47","449.96","335.78",""
"Gregory Metayer","K1H","118.66","412.67","337.9",""
"Baptiste Brunet","K1H","119.79","410.71","350.56",""
"Vincent Laclide","K1H","122.81","390.95","384.39",""
"Julien Richard","K1H","123.44","-","391.44",""
"Hugo Durand","K1H","124.68","442.35","405.33",""
"Lucas Chancerel","K1H","125.88","469.22","418.77",""
"Louison Laumondais","K1H","125.89","422.52","418.89",""
"Tom Suteau","K1H","125.91","406.77","419.11",""
"David Ravache","K1H","125.95","471.54","419.56",""
"Ugo Pean","K1H","127.78","592.05","440.06",""
"Olivier Brochard","K1H","128.64","448.85","449.69",""
"Valentin Soullard","K1H","128.7","458.1","450.36",""
"Christophe Gergaud","K1H","128.87","391.45","452.26",""
"Antoine Repussard","K1H","130.06","545.27","465.59",""
"Thibault Maniere","K1H","130.65","635.27","472.2",""
"Malo Hery","K1H","132.08","542.92","488.22",""
"Michael Guenery","K1H","132.84","-","496.73",""
"Killian Perrier","K1H","135.33","667.59","524.62",""
"Lilian Lepenant","K1H","135.73","594.53","529.1",""
"Pablo Ramirez","K1H","136.12","602.71","533.47",""
"Clement Collardez","K1H","136.97","598.25","542.99",""
"Alexis Brule","K1H","139.77","535.14","574.36",""
"Alexis Bizon","K1H","140.14","996.48","578.5",""
"Lucas Berthelot","K1H","146.18","827.58","646.15",""
"Baptiste Le Cocq","K1H","147.69","606.76","663.07",""
"Yann Dhieux","K1H","147.71","888.87","663.29",""
"Thierry Dugue","K1H","149.34","598.95","681.55",""
"Augustin Renard","K1H","152.19","-","713.47",""
"Mathieu Aussant","K1H","152.51","-","717.06",""
"Jean-christophe Dubois","K1H","154.84","750.89","743.15",""
"Corentin Val","K1H","158.97","-","789.41",""
"Axel Kottelanne","K1H","159.25","1122.35","792.55",""
"Benjamin Borgne","K1H","163.24","-","837.24",""
"Louis Gane","K1H","164.4","1056.01","850.23",""
"Corentin Lemoine","K1H","165.91","-","867.15",""
"Tudual Telbois","K1H","169.01","3314.79","901.87",""
"Antoine Decroix","K1H","181.41","-","1040.76",""
"Lois Moreau","K1H","Abs","-","-",""
"Vincent Rival","K1H","Abs","-","-",""
"Jean Terasas","K1H","Abs","-","-",""
"Pierre Huan","K1H","Abs","-","-",""
"Yohann Taillandier","K1H","Abs","-","-",""
"Romain Branjauneau","K1HM","114.06","401.76","286.38",""
"Alex Louveau","K1HM","115.35","306.37","300.83",""
"Florian Busson","K1HM","116.09","327.35","309.12",""
"Gaetan Robin","K1HM","122.74","471.68","383.6",""
"Theo Anton  Heteau","K1HM","126.04","507.28","420.57",""
"Matheo Coquel","K1HM","126.48","651.76","425.49",""
"Yohan Dupont","K1HM","127.4","850.63","435.8",""
"Guillaume Caron","K1HM","130.75","-","-",""
"Regis Navinel-dubois","K1HM","133.01","693.33","498.64",""
"Hugo Lecointe","K1HM","137.45","-","-",""
"Mathieu Brochard","K1HM","149.68","-","685.36",""
"Adonis Huet","K1HM","150.23","-","-",""
"Raphael Gomez","K1HM","162.7","-","831.19",""
"Matheo Carrel","K1HM","164.63","-","852.81",""
"Martin Colomb","K1HM","Abs","-","-",""
