"6ème Manche de la Coupe de France Nationale 1 Slalom - Foix - Finale - 2017-06-11","Finale","2017-06-11","Nationale 1","98"
"Loic Bertoia","K1H","95.88","86.9","70.61","Finale B"
"Martin Daviet","K1H","96.48","79.53","77.08","Finale B"
"Kendaor Le Huitou","K1H","96.51","101.81","77.41","Finale B"
"Renaud Doby","K1H","96.96","97.23","82.26","Finale B"
"Gurgen Brun","K1H","97.05","90.73","83.23","Finale B"
"Enrick Cunsolo","K1H","97.12","77.57","83.99","Finale B"
"Jonas Turmeau","K1H","97.27","81.87","85.6","Finale B"
"Edgar Prigent","K1H","97.52","76.94","88.3","Finale B"
"Louison Turmeau","K1H","98.04","104.49","93.91","Finale B"
"Nicolas Baudoin","K1H","98.09","84.6","94.45","Finale B"
"Hugo Crepeau","K1H","98.18","123.02","95.42","Finale B"
"William Desnos","K1H","98.22","99.78","95.85","Finale B"
"Nicolas Abbal","K1H","98.23","84.58","95.96","Finale B"
"Isaac Dufrene","K1H","98.54","118.98","99.3","Finale B"
"Arnaud Lapeze","K1H","98.71","136.28","101.14","Finale B"
"Thomas Rosset","K1H","98.92","80.3","103.4","Finale B"
"Maxime Tilhet","K1H","98.98","100.6","104.05","Finale B"
"Lucas Latimier","K1H","99.23","109.97","106.74","Finale B"
"Maxime Bottex","K1H","99.35","100.37","108.04","Finale B"
"Paul Cornut-chauvinc","K1H","99.53","92.97","109.98","Finale B"
"Hugo Cailhol","K1H","99.86","91.83","113.54","Finale B"
"Mathis Soudi","K1H","99.96","115.07","114.62","Finale B"
"Ludovic Di Nisi","K1H","99.97","68.7","114.73","Finale B"
"Benjamin Buys","K1H","100.05","96.93","115.59","Finale B"
"Thibault Marchand","K1H","100.34","83.75","118.72","Finale B"
"Alan Dollo","K1H","100.7","98.04","122.6","Finale B"
"Robin Pottelette","K1H","101.73","140.05","133.71","Finale B"
"Nicolas Bernardy","K1H","102.91","144.71","146.44","Finale B"
"Thomas Durand","K1H","103.58","112.95","153.66","Finale B"
"Vincent Delahaye","K1H","104.87","111.93","167.58","Finale B"
"Damien Launay","K1H","105.03","123.56","169.3","Finale B"
"Titouan Dupras","K1H","105.66","80.74","176.1","Finale B"
"Clement Travert","K1H","107.67","59.56","197.78","Finale B"
"Julien Haberland","K1H","149.89","118.41","653.15","Finale B"
