"Sélectif Régional - Veigné - 2013-11-17","Course 3","2013-11-17","Régional","150"
"Delhia Petiot","K1D","130.44","311.53","533.44",""
"Camille Le Coq","K1D","142.38","-","659.5",""
"Julie Dequeant","K1D","146.17","358.37","699.52",""
"Lou Galliot","K1D","155.59","507.91","798.98",""
"Emma Puig","K1D","181.55","-","1073.08",""
"Meghan Gonzalez","K1D","Nt","-","-",""
"Tifenn Van Delft","K1D","Nt","-","-",""
"Chloe Gatuingt","K1D","Nt","-","-",""
"Janos Peterlin","K1H","79.26","-","101.87",""
"Paul Brier","K1H","81.28","-","125.96",""
"Christophe Marechal","K1H","81.62","27.39","130.02",""
"Jonas Turmeau","K1H","83.83","34.33","156.39",""
"Benjamin Thouvignon","K1H","84.32","82.75","162.23",""
"Christophe Augu","K1H","85.5","50.42","176.32",""
"Boris Sacre","K1H","86.45","60.69","187.65",""
"Pierre Audouin","K1H","88.98","82.67","217.83",""
"Jacques Precigout","K1H","91.77","132.43","251.11",""
"Stephane Broute","K1H","91.93","86.22","253.03",""
"Corentin Douady","K1H","92.96","173.96","265.31",""
"Mathieu Delorme","K1H","93.48","166.7","271.52",""
"Herve Busson","K1H","93.87","60.76","276.17",""
"Alexandre Paulais","K1H","95.04","-","290.13",""
"Adrien Picco","K1H","95.63","132.68","297.16",""
"Martin Belliot","K1H","95.89","151.96","300.27",""
"Gaetan Drouin","K1H","96.01","117.24","301.7",""
"Timothee Le Mort","K1H","96.55","168.84","308.15",""
"Theo Renaud","K1H","97.72","212.04","322.1",""
"Bertrand Avril","K1H","99.01","122.6","337.5",""
"Mathieu Cheze","K1H","99.12","154.71","338.81",""
"Paulin Cachanado","K1H","100.3","287.28","352.89",""
"Baptiste Grosjean","K1H","100.58","200.85","356.23",""
"Kevin Chalopin","K1H","100.84","288.52","359.33",""
"Yoann Turowsky","K1H","102.66","191.58","381.04",""
"Ludovic Couture","K1H","103.78","248.51","394.41",""
"Jerome Boudin","K1H","104.92","-","408",""
"Florian Plault","K1H","105.94","315.92","420.17",""
"Lucas Pagnard - Tissier","K1H","106.77","308.79","430.08",""
"Axel Meheust","K1H","107.51","254.82","438.9",""
"Theo Foucher","K1H","108.53","295.13","451.07",""
"Raphael Merlet","K1H","109.07","194.92","457.52",""
"Nicolas Boulesteix","K1H","111.43","258.06","485.68",""
"Florian Vinet","K1H","112.34","257.14","496.53",""
"Laurent Ranucci","K1H","112.78","432.62","501.78",""
"Clement Bleuet","K1H","113","325.37","504.41",""
"David Couture","K1H","113.14","278.26","506.08",""
"Christophe Cartault","K1H","113.19","345.49","506.67",""
"Nathan Dalaine","K1H","113.94","351.89","515.63",""
"Pierre Louis Ferre","K1H","114.02","433.42","516.58",""
"Guillaume De Fierville","K1H","114.99","201.22","528.14",""
"Paul Besnard","K1H","115.18","361.55","530.42",""
"Quentin Gaule","K1H","116.05","370.62","540.8",""
"Gregoire Moury","K1H","118.6","312.54","571.21",""
"Theo Lecointe","K1H","121.42","930.34","604.87",""
"Samuel Breton","K1H","122.44","447.95","617.03",""
"Nicolas Petipez","K1H","127.64","411.35","679.07",""
"Steve Bruniquel","K1H","128.26","403.99","686.47",""
"Richard Gouget","K1H","132.02","607.27","731.33",""
"Arnaud Hery","K1H","133.81","523.82","752.68",""
"Benjamin Chausson","K1H","140.71","-","835.01",""
"Gerard Lemonnier","K1H","141.41","489.8","843.36",""
"Emilien Senneret","K1H","141.91","545.84","849.32",""
"Quentin Marie","K1H","147.31","718.12","913.75",""
"Christian Belouin","K1H","150.54","432.48","952.29",""
"Christophe Dieumegard","K1H","151.86","370.86","968.04",""
"Erwan Jonin","K1H","154.94","342.22","1004.79",""
"Antoine Grillier","K1H","156.4","-","1022.2",""
"Kevin Marquais","K1H","157.3","-","1032.94",""
"Mathieu Cruard","K1H","166.12","1556.07","1138.16",""
"Antoine Lanet","K1H","166.96","-","1148.19",""
"Thomas Le Lons","K1H","169.4","-","1177.3",""
"Jean-marc Vallee","K1H","169.55","-","1179.09",""
"Bastien Hirat","K1H","170.62","-","1191.86",""
"Maurice Pubert","K1H","173.15","640.03","1222.04",""
"Nicolas Candieu","K1H","173.98","550.38","1231.94",""
"Eric Pouradier","K1H","192.07","540.88","1447.77",""
"Nicolas Dequeant","K1H","193.59","923.98","1465.91",""
"Collin Pouradier","K1H","208.37","635.93","1642.24",""
"Fabrice Barras","K1H","216.76","-","1742.34",""
"Florent Bouderlique","K1H","234.02","-","1948.26",""
"Ghislain Guyon","K1H","307.98","-","2830.66",""
"Bastien Daguise","K1H","365.55","-","3517.52",""
"Kyllian Berrand","K1H","379.87","-","3688.37",""
"Pierre-antoine Alain","K1H","580.57","-","6082.87",""
"Alexis Marquais","K1H","Nt","-","-",""
"Bruno Logeais","K1H","Nt","-","-",""
"Frederic Vallee","K1H","Nt","-","-",""
"Enzo Rigollet","K1H","Nt","-","-",""
"Emmanuel Despont","K1H","Nt","-","-",""
"Thierry Dugue","K1H","Nt","-","-",""
"Olivier Mercier","K1H","Nt","-","-",""
"Emilien Licoine Mercy","K1H","Nt","-","-",""
"Josquin Dubois","K1H","Nt","-","-",""
"Nathan Rene Corail","K1H","Nt","-","-",""
"Nicolas Leconte","K1H","Nt","-","-",""
"Emmanuel Moreau","K1H","Nt","-","-",""
"Pierre Dehaudt","K1H","Nt","-","-",""
"Nicolas Thomas","K1H","Nt","-","-",""
"Vincent Froger","K1H","Nt","-","-",""
"Damien Launay","K1H","Nt","-","-",""
