"SLALOM REGIONAL DU CHAMBON - Chambon - 2008-11-22","Course 1","2008-11-22","Régional","168"
"Lionel De Miranda","K1H","270.58","-","566",""
"Philippe Audouin-dubreuil","K1H","271.65","-","573",""
"Mathieu Ribreaud","K1H","275.99","-","601",""
"Jean Blaudy","K1H","277.97","-","612",""
"Renaud Millieroux","K1H","281.45","-","634",""
"Jeremy Simon","K1H","282.52","1137","641",""
"Arnaud Glenet","K1H","282.76","-","642",""
"Benoit Graffeuil","K1H","288.29","-","677",""
"Roland Blaudy","K1H","288.35","797","678",""
"Sylvain Couteau","K1H","295.30","-","721",""
"Theo Pellennec","K1H","295.56","-","722",""
"Maxime Buton","K1H","301.28","-","758",""
"Aurelien Mikulec","K1H","303.96","-","775",""
"Jonathan Bourdier","K1H","310.76","1035","816",""
"Thibaud Soumagne","K1H","316.99","-","855",""
"Maurice Pubert","K1H","321.83","840","885",""
"Guillaume Pitre","K1H","328.50","1240","928",""
"Hippolyte Granados","K1H","337.31","-","981",""
"Pierre Chevalier","K1H","347.51","-","1046",""
"Thomas Laurent","K1H","377.00","-","1229",""
"Pierre Bellion","K1H","390.95","-","1316",""
"Daniel Bregazzi","K1H","391.79","2699","1321",""
"David Stas","K1H","408.78","-","1426",""
"Jean Renou","K1H","416.55","-","1476",""
