"Championnat Interrégional Slalom Sud-Ouest (finale N3) - Bassin Adison Forgues - Qualification - Manche 2 - 2016-06-04","Qualification - Manche 2","2016-06-04","Nationale 3","152"
"Baptiste Riviere","K1H","110.14","-","-",""
"Cyril Launay","K1H","110.14","-","-",""
"Felix Sperandio","K1H","110.16","-","-",""
"Thibault Clerc","K1H","110.62","-","-",""
"Gedeon Cothias-faure","K1H","111.13","-","-",""
"Kenae Brassier","K1H","111.39","-","-",""
"Stephane Perilhou","K1H","111.59","-","-",""
"Thibault Alcaras","K1H","111.84","-","-",""
"Antonin Beyneix","K1H","111.94","-","-",""
"Theo Dunie","K1H","112.47","-","-",""
"Jeremy Rouchereau","K1H","112.68","-","-",""
"Axel Delage","K1H","113.13","-","-",""
"Marceau Hugues","K1H","113.96","-","-",""
"Maxime Pourret","K1H","114.08","-","-",""
"Samuel De Severac","K1H","114.18","-","-",""
"Bruno Beneteau","K1H","114.38","-","-",""
"Jean Yves Courtiade","K1H","114.72","-","-",""
"Baptiste Lauroua","K1H","114.97","-","-",""
"Robin Genty","K1H","115.14","-","-",""
"Robin Mougel","K1H","115.93","-","-",""
"Thilbault Rucher","K1H","115.98","-","-",""
"Thimon Didier","K1H","116.22","-","-",""
"Julien Brice","K1H","116.34","-","-",""
"Nicolas Neveu","K1H","116.38","-","-",""
"Seraphin Margot","K1H","116.75","-","-",""
"Aven Gilham","K1H","116.79","-","-",""
"Tom Baillon","K1H","118.19","-","-",""
"Theophile Prunetfoch","K1H","121.28","-","-",""
"Pierre Adrien Plantion","K1H","121.28","-","-",""
"Timothee Megard","K1H","122.58","-","-",""
"Leam Auffret","K1H","123.04","-","-",""
"Eric Vidou","K1H","124","-","-",""
"Michel Daupeux","K1H","124.25","-","-",""
"GrÉgory Navail","K1H","125.54","-","-",""
"Damien Caillard","K1H","127.47","-","-",""
"Noah Dufenieux","K1H","128.62","-","-",""
"Thibault Beneteau","K1H","130.33","-","-",""
"Renaud Clerc","K1H","130.56","-","-",""
"Tom Gonzales","K1H","131.55","-","-",""
"Thierry Le Bonniec","K1H","132.79","-","-",""
"Eric Vuiet","K1H","136.64","-","-",""
"Elian Giondini","K1H","137.06","-","-",""
"Stewen Sourbe","K1H","149.1","-","-",""
"Luca Gri","K1H","153.13","-","-",""
"Jack Nattrass","K1H","154.04","-","-",""
"NaËl Rajoub","K1H","154.48","-","-",""
"Clement Sempe","K1H","154.49","-","-",""
"Thair Benzougar","K1H","164.29","-","-",""
"Maurice Pubert","K1H","166.28","-","-",""
"Alexandre Dubrous","K1H","168.38","-","-",""
"Etienne Lewkowiez","K1H","177.68","-","-",""
"Steeve Fillastre","K1H","182.72","-","-",""
"Adrien Ricaud","K1H","187.05","-","-",""
"Jean Cougul","K1H","195.65","-","-",""
"Anatole Fourcade","K1H","199.66","-","-",""
"Yanis Clerc","K1H","203.83","-","-",""
"Franck Vanhoutteghem","K1H","250.7","-","-",""
"Luc Monpouillan","K1H","339.98","-","-",""
"Adrien Mesmoudi","K1H","Dsq","-","-",""
