"Sélectif N3 nord - Picquigny - 2010-05-23","Course 1","2010-05-23","Nationale 3","119"
"Pierre Dampeyrou","K1H","136.49","478","459",""
"Julien Audren","K1H","136.53","468","459",""
"Camille Simonin","K1H","136.54","427","459",""
"Sylvain Barrois","K1H","137.61","380","470",""
"Samuel Bonvalet","K1H","139.17","468","486",""
"Florian El Assali","K1H","139.41","494","489",""
"Thibault Dhennin","K1H","139.45","323","489",""
"Eric Bernard","K1H","142.10","539","516",""
"Antoine Martin","K1H","142.62","423","522",""
"Johann Sacleux","K1H","149.44","536","592",""
"Christophe Simonin","K1H","154.06","629","639",""
"Jose Santos","K1H","160.21","647","702",""
"Arnaud Gallois","K1H","164.90","257","750",""
"Loic Durand","K1H","167.05","552","772",""
"Adrien Barlier","K1H","167.55","637","777",""
"Remi Lengagne","K1H","180.64","423","911",""
"Quentin Deroubaix","K1H","189.27","443","1000",""
"Raphael Lemonnier","K1H","196.47","623","1074",""
"Guilherme Goncalves Maghin","K1H","229.89","306","1416",""
"Philippe Valeri","K1H","Nt","-","-",""
"Maxime Boisgontier","K1H","Nt","-","-",""
"Matthieu Rousseau","K1H","Nt","-","-",""
"Pierre Lecorre","K1H","Nt","-","-",""
"Thibault Mas-cerda","K1H","Nt","-","-",""
