"Challenge Bastien Damien. Beaurainville  sur  Montreuil - 62170 Montreuil - Course n∞2 | Finale - 2019-10-13","Course n∞2 | Finale","2019-10-13","RÈgional","147"
"Antonin Costa","K1HM","143.4","885.99","980.57","Course n∞2 | Finale A"
"Romain Podevin","K1HM","148.27","1033.95","1046.49","Course n∞2 | Finale A"
"Bazil Grignon","K1HM","150.32","872.55","1074.23","Course n∞2 | Finale A"
"Elise Vegnaduzzo","C1D","136.49","626.17","584.12","Course n∞2 | Finale B"
"Manon Le Lay","C1D","137.03","639.97","590.22","Course n∞2 | Finale B"
"Julie Dupas","C1D","145.02","573.29","680.34","Course n∞2 | Finale B"
"Louis Marescot","C1H","121.51","454.71","610.95","Course n∞2 | Finale B"
"Thibaut Evrard","C1H","123.42","721.03","635.57","Course n∞2 | Finale B"
"Baptiste Duboc","C1H","127.23","581.56","684.68","Course n∞2 | Finale B"
"Denis Parizia","C1H","129.31","676.13","711.5","Course n∞2 | Finale B"
"Jean Messialle","C1H","134.36","753.92","776.6","Course n∞2 | Finale B"
"Samuel Lhote","C1H","135.75","791.67","794.52","Course n∞2 | Finale B"
"Louis Marvillet","C1H","139.87","1079.05","847.64","Course n∞2 | Finale B"
"Tom Raynaud","C1H","144.23","1133.14","903.84","Course n∞2 | Finale B"
"Benoit Guernic","C1H","146.33","737.32","930.91","Course n∞2 | Finale B"
"Xavier Perreau","C1H","169.27","982.2","1226.64","Course n∞2 | Finale B"
"Leo Le Sort","C1HM","150.08","1122.78","979.25","Course n∞2 | Finale B"
"Nathan Morris","C1HM","161.05","1115.81","1120.67","Course n∞2 | Finale B"
"Romain Podevin","C1HM","187.11","1311.29","1456.61","Course n∞2 | Finale B"
"Raphael Paul Donatien","C1HM","260.01","2044.87","2396.39","Course n∞2 | Finale B"
"Pauline Lybrecht","K1D","133.46","591.1","643.19","Course n∞2 | Finale B"
"Charline Dole","K1D","144.07","738.16","770.29","Course n∞2 | Finale B"
"Angeline Dheilly","K1D","152.07","899.28","866.11","Course n∞2 | Finale B"
"Catherine Boulan","K1D","168.2","918.35","1059.34","Course n∞2 | Finale B"
"Lou-ann Delmotte","K1D","176.61","1358.93","1160.07","Course n∞2 | Finale B"
"Lola Arroyo","K1D","187.17","988.35","1286.56","Course n∞2 | Finale B"
"Manon Venet","K1D","190","1111.07","1320.47","Course n∞2 | Finale B"
"Laure Prieur","K1DM","162.41","1005.36","989.98","Course n∞2 | Finale B"
"Zoe Seine","K1DM","163.17","1009.85","999.08","Course n∞2 | Finale B"
"Lea Brioiskheroufi","K1DM","166.86","1163","1043.28","Course n∞2 | Finale B"
"Thibaud Collaert","K1H","92.15","280.31","291.86","Course n∞2 | Finale B"
"Louis Marvillet","K1H","111.35","560.14","551.75","Course n∞2 | Finale B"
"Thibaut Jumetz","K1H","111.62","633.76","555.4","Course n∞2 | Finale B"
"Benjamin Georgin","K1H","111.75","477.22","557.16","Course n∞2 | Finale B"
"Quentin Podevin","K1H","112.06","494.95","561.36","Course n∞2 | Finale B"
"Maxime Cousin","K1H","117.89","1053.73","640.27","Course n∞2 | Finale B"
"Arnaud Delattre","K1H","118.21","485.5","644.6","Course n∞2 | Finale B"
"Erwan Laloux","K1H","118.28","540.09","645.55","Course n∞2 | Finale B"
"Paul Lecomte","K1H","118.63","615.15","650.29","Course n∞2 | Finale B"
"Maixent De Poucques","K1H","119.23","664.68","658.41","Course n∞2 | Finale B"
"Garvan Boulben","K1H","119.51","685.96","662.2","Course n∞2 | Finale B"
"Pierre Carton","K1H","122.84","744.08","707.27","Course n∞2 | Finale B"
"Philippe Valeri","K1H","123.38","583.19","714.58","Course n∞2 | Finale B"
"Yann Castryck- -genereux","K1H","123.48","609.76","715.94","Course n∞2 | Finale B"
"Louis Marescot","K1H","125.19","627.88","739.08","Course n∞2 | Finale B"
"Laurent Babeur","K1H","125.94","709.37","749.23","Course n∞2 | Finale B"
"Esteban Saussereau","K1H","126.23","1257.97","753.16","Course n∞2 | Finale B"
"Rayan Serrakh","K1H","131.69","606.07","827.06","Course n∞2 | Finale B"
"Guillaume Coutellier","K1H","137.35","1690.34","903.68","Course n∞2 | Finale B"
"Eric Bernard","K1H","139.83","819.19","937.24","Course n∞2 | Finale B"
"Sebastien Marchandin","K1H","140.53","919.59","946.72","Course n∞2 | Finale B"
"Arnaud Grignon","K1H","143.01","947.87","980.29","Course n∞2 | Finale B"
"Julien Dupriez","K1H","147.24","1127.74","1037.54","Course n∞2 | Finale B"
"Maxime Prosche","K1H","147.54","984.04","1041.61","Course n∞2 | Finale B"
"Erwan Masson","K1H","158.85","752.92","1194.7","Course n∞2 | Finale B"
"Philippe Podvin","K1H","186.72","830.01","1571.94","Course n∞2 | Finale B"
"Evan Maesse","K1H","187.86","1843.38","1587.37","Course n∞2 | Finale B"
"Pascal Levardon","K1H","Des","-","-","Course n∞2 | Finale B"
"Timothee Clep","K1HM","117.55","623.59","635.67","Course n∞2 | Finale B"
"Ira Bepoix","K1HM","154.95","1423.21","1141.91","Course n∞2 | Finale B"
"Louis Rolland","K1HM","156.01","1072.36","1156.25","Course n∞2 | Finale B"
"Hugo Jouvry","K1HM","164.41","1060.78","1269.95","Course n∞2 | Finale B"
"Samuel Marquant","K1HM","167.38","2669.19","1310.16","Course n∞2 | Finale B"
"Nathan Gobert","K1HM","170.09","1219.64","1346.84","Course n∞2 | Finale B"
"Dimitri Zavodszki","K1HM","170.86","1859.96","1357.26","Course n∞2 | Finale B"
"Sebastien De La Rosa","K1HM","176.51","1383.26","1433.74","Course n∞2 | Finale B"
"Titouan Roussel","K1HM","181.39","1510.08","1499.79","Course n∞2 | Finale B"
"Matteo Varlet","K1HM","189.99","1873.57","1616.2","Course n∞2 | Finale B"
"Helois Dargent","K1HM","215.15","1466.61","1956.76","Course n∞2 | Finale B"
