"Sélectif Régional Slalom - Bagnere De Bigorre - 2008-11-16","Course 1","2008-11-16","Régional","201"
"Laura Combot","K1D","250.30","84","131",""
"Perrine Beguery","K1D","250.60","79","133",""
"Berenice Kolenc","K1D","256.60","244","162",""
"Cecile Tixier","K1D","257.00","-","164",""
"Charlotte Le Borgne","K1D","259.90","-","178",""
"Violaine Truche","K1D","263.40","223","195",""
"Laetitia Thueux","K1D","263.90","266","198",""
"Harmony Thery","K1D","265.50","200","206",""
"Sixtine Malaterre","K1D","266.00","-","208",""
"Soriana Dupire","K1D","267.60","266","216",""
"Alice Cailhol","K1D","268.10","297","218",""
"Jessica Joyau","K1D","268.30","295","219",""
"Audrey Picco","K1D","268.80","243","221",""
"Stephanie Kaczmarek","K1D","268.90","-","221",""
"Zoe Guillerm","K1D","277.10","533","262",""
"Alice Janecek","K1D","288.60","433","318",""
"Marie Cassar","K1D","288.60","555","318",""
"Julie Roux","K1D","295.50","370","351",""
"Anouk Desbieys","K1D","296.80","355","358",""
"Florence Mars","K1D","297.60","-","361",""
"Melanie Roger","K1D","299.10","-","369",""
"Marlene Rio","K1D","303.50","338","390",""
"Laure Udari","K1D","308.60","135","415",""
"Joelle Toregrossa","K1D","315.40","-","449",""
"Aurore Berger","K1D","345.90","568","597",""
"Gaelle Lacombe","K1D","366.10","-","696",""
"Lydie Moreaud","K1D","381.20","539","770",""
"Camille Giraud","K1D","386.60","-","796",""
"Jane Avinens","K1D","481.90","-","1260",""
"Sebastien Combot","K1H","210.00","13","58",""
"Fabien Lefevre","K1H","212.80","0","73",""
"Boris Neveu","K1H","213.90","7","79",""
"Pierre Bourliaud","K1H","214.50","8","83",""
"Benoit Guillaume","K1H","219.80","31","111",""
"Louis Georges Lafont","K1H","220.00","46","112",""
"Aurelien Maynadier","K1H","220.30","28","114",""
"Benjamin Renia","K1H","220.70","38","116",""
"Loris Minvielle","K1H","220.80","35","116",""
"Vivien Colober","K1H","221.00","30","117",""
"Thomas Bersinger","K1H","221.10","22","118",""
"Benjamin Travostino","K1H","223.60","31","132",""
"Julien Dekarczyk","K1H","224.20","27","135",""
"Hugo Cailhol","K1H","226.00","55","145",""
"Nathanael Renia","K1H","226.60","112","149",""
"Damien Laborde","K1H","226.60","32","149",""
"Virgile Pigache-donnet","K1H","226.80","139","150",""
"Michael Guyon","K1H","227.40","73","152",""
"Florent Boulet","K1H","228.10","124","156",""
"Romain Chabrol","K1H","230.20","110","168",""
"Aymeric Maynadier","K1H","231.00","259","172",""
"Stephane Labouille","K1H","231.20","125","173",""
"Sylvain Colonnier","K1H","232.10","158","178",""
"Guillaume Bernis","K1H","233.30","179","184",""
"Jean Baptiste Morera","K1H","233.60","187","187",""
"Jonathan Delagnes","K1H","233.60","90","187",""
"Franck Peyrical","K1H","234.60","166","192",""
"Benoit Rouffet","K1H","235.30","72","196",""
"Tom Scianimanico","K1H","236.10","-","200",""
"Hugo Biso","K1H","237.30","-","207",""
"Remy Guerinet","K1H","237.70","243","209",""
"Marc Laborde","K1H","238.70","191","215",""
"Marc Darribere","K1H","239.20","229","217",""
"Benoit Guiraud","K1H","239.40","196","218",""
"Jeremy Moureaux","K1H","240.50","191","224",""
"Fernando Denninger","K1H","240.80","266","226",""
"Pierre Portais","K1H","240.90","232","226",""
"Jose Pereira","K1H","241.50","236","229",""
"Arnaud Hybois","K1H","241.70","-","230",""
"Nicolas Scianimanico","K1H","241.80","-","231",""
"Fabrice Poueyto","K1H","242.50","217","235",""
"Sylvain Mendez","K1H","244.50","199","246",""
"Franck Guarderia","K1H","245.10","-","249",""
"Clement Guiraud","K1H","247.00","304","259",""
"Valerian Boulet","K1H","247.20","265","261",""
"Jean-francois Souville","K1H","248.20","245","266",""
"Frederic Descot","K1H","249.10","251","271",""
"Damien Mareau","K1H","249.30","-","272",""
"Thomas Ducoms","K1H","249.50","411","273",""
"Thibault Dufour","K1H","249.80","-","275",""
"Pierrick Gaudin","K1H","249.80","225","275",""
"Tony Deshayes","K1H","249.80","360","275",""
"Julien Lenaour","K1H","249.90","-","275",""
"Boris Lesimple","K1H","251.00","218","282",""
"Jeancharles Bernis","K1H","251.00","354","282",""
"Jean Francois Bry","K1H","251.20","276","283",""
"Maxime Mitaut","K1H","251.30","-","283",""
"Jonathan Figarol","K1H","251.40","-","284",""
"Guillaume Dumora","K1H","251.50","-","284",""
"Antoine Demateis","K1H","252.90","383","292",""
"Valentin Pahon","K1H","253.30","303","294",""
"Stanislas Pradeleix","K1H","254.60","192","301",""
"Morgan Forget","K1H","254.70","415","302",""
"Lionel Blank","K1H","254.80","277","302",""
"Olivier Cain","K1H","255.10","-","304",""
"Mathieu Pouchet","K1H","256.10","271","310",""
"Guillaume Marmer","K1H","256.10","305","310",""
"Nicolas Caussanel","K1H","256.70","267","312",""
"Maxime Le Henaff","K1H","257.50","401","317",""
"Herve Mars","K1H","258.40","334","322",""
"Brice Desbieys","K1H","260.10","-","331",""
"Nathanael Jay","K1H","260.10","301","331",""
"Sebastien Martel","K1H","260.70","-","334",""
"Igor Verdy","K1H","261.90","316","341",""
"Baptiste Soulat","K1H","263.50","-","350",""
"Nicolas Herr","K1H","263.50","-","350",""
"Samuel Hernanz","K1H","266.30","22","365",""
"Thibault Le Henaff","K1H","266.90","394","368",""
"Benjamin Boniface","K1H","267.40","-","371",""
"Thomas Wingerter","K1H","269.30","428","381",""
"Gurgen Brun","K1H","269.50","294","383",""
"Eric Vidou","K1H","269.60","-","383",""
"Alain Minvielle","K1H","269.70","-","384",""
"Florian Campagnole","K1H","269.80","592","384",""
"Marc Cailhol","K1H","270.40","435","387",""
"Kevin Monlezun","K1H","271.60","-","394",""
"Luc Formet","K1H","271.90","-","396",""
"Gregoire Olivier","K1H","272.50","506","399",""
"Jean Bernard Lacave","K1H","272.50","456","399",""
"Victor Chaulet","K1H","273.10","-","402",""
"Gaetan Coat","K1H","275.40","418","415",""
"Jolan Konig","K1H","276.40","551","421",""
"Elie Compain","K1H","277.00","678","423",""
"Romain Cazaux-lerou","K1H","280.90","-","445",""
"Nicolas Fayol","K1H","281.30","-","446",""
"Nicolas Neveu","K1H","281.40","-","447",""
"Pierre Adrien Plantion","K1H","283.80","619","461",""
"Baptiste Mignot","K1H","285.70","-","471",""
"Marc Lalande","K1H","287.40","-","480",""
"Robin Bourianne","K1H","288.70","626","488",""
"Maxime Lefebvre","K1H","288.90","-","489",""
"Ludovic Carniaux","K1H","294.50","576","519",""
"Manuel Dolie","K1H","296.20","342","528",""
"Sebastien Mathieu","K1H","296.50","-","530",""
"Aurelien Penicaud","K1H","298.40","845","540",""
"Sylvain Thouvenot","K1H","303.80","-","569",""
"Romain Chudy","K1H","314.60","-","629",""
"Alexandre Carre","K1H","317.00","-","642",""
"Paul Mabille","K1H","319.60","-","656",""
"Olivier Ramos","K1H","323.90","-","679",""
"Alexis Reigne","K1H","324.80","-","685",""
"Maurice Pubert","K1H","331.60","920","722",""
"Nicolas Munoz","K1H","337.30","-","753",""
"Vincent Lapeyrigne","K1H","343.60","-","787",""
"Kevin Alves","K1H","356.60","-","858",""
"Komlangan Gassou","K1H","357.50","-","863",""
"Damien Berger","K1H","370.80","843","935",""
"Adrien Chatignol","K1H","386.40","-","1021",""
"Olivier Pegaz","K1H","393.40","-","1059",""
"Galaad Pereyron","K1H","412.80","-","1165",""
"Sylvain Bonneau","K1H","442.30","-","1326",""
"Mathieu Claverie","K1H","492.30","-","1599",""
"Tanguy Pineau","K1H","522.30","-","1763",""
"Lucas Ganosse","K1H","787.20","-","3210",""
