"Sélectif nationale 2 du pont des grottes - Saint Pé De Bigorre - 2009-05-09","Course 1","2009-05-09","Nationale 2","123"
"Jessica Joyau","K1D","244.79","-","-",""
"Aurelie Divoux","K1D","245.09","-","-",""
"Alice Cailhol","K1D","327.07","-","-",""
"Barbara Gibert","K1D","331.21","-","-",""
"Marlene Rio","K1D","514.76","-","-",""
"Harmony Thery","K1D","Nt","-","-",""
"Stephanie Le Mercier","K1D","Nt","-","-",""
"Erell Chardon Vivier","K1D","Nt","-","-",""
"Clemence Debien","K1D","Nt","-","-",""
"Nathanael Renia","K1H","104.58","-","-",""
"Antoine Lhermite","K1H","104.66","-","-",""
"Nicolas Coudert","K1H","104.84","-","-",""
"Yann Le Govic","K1H","105.52","-","-",""
"Kendaor Le Huitou","K1H","106.58","-","-",""
"Sebastien Halilou","K1H","106.80","-","-",""
"Louis-maxime Main","K1H","107.40","-","-",""
"Romain Chabrol","K1H","107.70","-","-",""
"Guillaume Picco","K1H","107.71","-","-",""
"Jean Baptiste Morera","K1H","108.05","-","-",""
"Lucas Kelifaoui","K1H","108.55","-","-",""
"Bertrand Gourrat","K1H","108.86","-","-",""
"Bastien Salame","K1H","110.01","-","-",""
"Virgile Pigache-donnet","K1H","110.15","-","-",""
"Franck Peyrical","K1H","110.51","-","-",""
"Tristan Bronsard","K1H","110.89","-","-",""
"Florian Gosselin","K1H","111.25","-","-",""
"Benoit Guiraud","K1H","111.55","-","-",""
"Franck Delachair","K1H","112.10","-","-",""
"Olivier Blanc","K1H","112.29","-","-",""
"Benoit Rouffet","K1H","112.29","-","-",""
"Thibault Gibert","K1H","113.83","-","-",""
"Jeremy Vibert","K1H","114.00","-","-",""
"William Desnos","K1H","114.60","-","-",""
"Florian Ordonneau","K1H","115.61","-","-",""
"Sebastien Kerneis","K1H","115.91","-","-",""
"Riwal Chardon","K1H","116.32","-","-",""
"Florent Boulet","K1H","116.74","-","-",""
"David Riffaud","K1H","117.68","-","-",""
"Lois Desroches","K1H","117.83","-","-",""
"Damien Caillon","K1H","118.37","-","-",""
"Christophe Le Mercier","K1H","120.60","-","-",""
"Didier Niel","K1H","120.94","-","-",""
"Marc Darribere","K1H","121.36","-","-",""
"Yannick Besse","K1H","121.84","-","-",""
"Jean Messialle","K1H","121.96","-","-",""
"Thibault Gache","K1H","129.24","-","-",""
"Romain Guyomard","K1H","156.28","-","-",""
"Antoine Launay","K1H","156.67","-","-",""
"Adrien Roussel","K1H","156.75","-","-",""
"Bryan Seiler","K1H","158.24","-","-",""
"Colin Beziade","K1H","158.60","-","-",""
"Pierre Pans","K1H","159.51","-","-",""
"Benoit Jouan","K1H","159.79","-","-",""
"Nicolas Carduner","K1H","159.97","-","-",""
"Stephane Labouille","K1H","160.90","-","-",""
"Jerome Olhagaray","K1H","161.15","-","-",""
"Michael Guyon","K1H","162.70","-","-",""
"Guillaume Bernis","K1H","163.34","-","-",""
"Thibaud Lacour","K1H","164.25","-","-",""
"Stanislas Pradeleix","K1H","166.23","-","-",""
"Sylvain Colonnier","K1H","166.84","-","-",""
"Quentin De Fierville","K1H","166.90","-","-",""
"Tom Scianimanico","K1H","167.17","-","-",""
"Herve Launay","K1H","167.46","-","-",""
"Alain Droniou","K1H","167.88","-","-",""
"Lionel Tinevez","K1H","168.16","-","-",""
"Anthony Deschamps","K1H","168.67","-","-",""
"Jose Pereira","K1H","169.77","-","-",""
"Fabien Cambon","K1H","171.17","-","-",""
"Alexandre Di Nisi","K1H","171.77","-","-",""
"Bertrand Avril","K1H","173.61","-","-",""
"Silvere Desongins","K1H","180.51","-","-",""
"Quentin Lyphout","K1H","210.87","-","-",""
"Thomas Dauvet","K1H","213.55","-","-",""
"Erwan Beyou","K1H","262.62","-","-",""
"Mathieu Cataldo","K1H","278.35","-","-",""
"Paul Storez","K1H","Nt","-","-",""
"Pierrick Gaudin","K1H","Nt","-","-",""
"Jules Domine","K1H","Nt","-","-",""
"Solen Le Bourles","K1H","Nt","-","-",""
