"Slalom Régional - Isle de la Serre - Sault Brenaz - 2011-03-13","Course 2","2011-03-13","Régional","191"
"Nicolas Detheve","K1H","117.34","186.45","291.13",""
"Frederic Blanrue","K1H","117.78","222.27","295.97",""
"Damien Ferraud","K1H","118.12","300.71","299.71",""
"Lionel De Miranda","K1H","120.34","286","324.12",""
"Pierre Alexandre Facon","K1H","121.18","353.77","333.36",""
"Gabin Repellin","K1H","121.31","332.93","334.79",""
"Pierrealain Clerc","K1H","121.33","261.09","335.01",""
"Adrien Kaiser","K1H","121.61","335.48","338.09",""
"Anthony Oudot","K1H","122.14","360.59","343.91",""
"Jean Saez","K1H","122.73","221.8","350.4",""
"Alexandre Montabonnet","K1H","123.37","268","357.44",""
"Steve Soler","K1H","124.24","-","367.01",""
"Robin Malenfer","K1H","124.84","372.4","373.6",""
"Mathieu Lions","K1H","125","321.47","375.36",""
"Nicolas Vaz Da Costa","K1H","126.82","461.29","395.37",""
"Loic Joly","K1H","127.6","412.94","403.95",""
"Herve Valentin","K1H","129.4","343.96","423.74",""
"Clement Gourmelon","K1H","130.19","288.86","432.43",""
"Dylan Bard","K1H","130.72","400.52","438.26",""
"Marc Le Morvan","K1H","130.95","446.21","440.79",""
"Guillaume Armbruster","K1H","131.8","316.67","450.13",""
"Julien Duclaux","K1H","132.68","464.96","459.81",""
"Jimmy Peisey","K1H","133.12","404.22","464.65",""
"Mathias Guillot","K1H","135.51","539.49","490.93",""
"Antoine Montabonnet","K1H","139.79","400.75","537.99",""
"Jonathan Courduries","K1H","140.4","421.29","544.7",""
"Julien Mayoux","K1H","141.72","544.4","559.21",""
"Bastien Huguenin","K1H","143.53","831.93","579.12",""
"Alexis Chauville","K1H","145.61","1447.56","601.99",""
"Corentin Mounier","K1H","149.6","748.61","645.86",""
"Lucas Barriere","K1H","152.44","-","677.09",""
"Antoine Trichet","K1H","156.71","854.79","724.04",""
"Yannick Grizaud","K1H","157.17","538.19","729.1",""
"Theophile Gaillard","K1H","163.05","641.15","793.76",""
"Maurice Pubert","K1H","174.63","694.93","921.09",""
"Sofiane Morin","K1H","193.68","-","1130.57",""
"Corentin Leroy","K1H","226.25","923.86","1488.71",""
"Jason Gantner","K1H","Nt","-","-",""
"Arturo Maeder","K1H","Nt","-","-",""
"Lucas Saudon","K1H","Nt","-","-",""
"Antoni Zaki","K1H","Nt","-","-",""
"Yann Burgod-derrier","K1H","Nt","-","-",""
"Pierre Moreau","K1H","Nt","-","-",""
"Jules Marragou","K1H","Nt","-","-",""
"Youcef Bahlat","K1H","Nt","-","-",""
"Emmanuel Moreau","K1H","Nt","-","-",""
"Hafiz Ali Hassan","K1H","Nt","-","-",""
"Cedric Bron","K1H","Nt","-","-",""
