"Sélectif Régional Slalom (Double) - Beaumont Le Roger - Course n°1 | Finale - 2017-10-21","Course n°1 | Finale","2017-10-21","Régional","139"
"Benoit Letellier","K1H","97.89","213.64","316.13","Course n°1 | Finale A"
"Thomas Martinet","K1H","98.62","377.68","325.66","Course n°1 | Finale A"
"Quentin Mannier","K1H","103.24","321.34","385.97","Course n°1 | Finale A"
"Nicolas Candieu","K1H","104.95","338.8","408.29","Course n°1 | Finale A"
"Theo Moalic","K1H","104.99","384.38","408.81","Course n°1 | Finale A"
"Estephe Decarsin","K1H","105.17","450.03","411.16","Course n°1 | Finale A"
"Mathieu Aussant","K1H","105.58","407.98","416.51","Course n°1 | Finale A"
"Mickael Louchard","K1H","105.87","346.03","420.3","Course n°1 | Finale A"
"Alan Le Goff","K1H","105.93","424.84","421.08","Course n°1 | Finale A"
"Romain Bouillon","K1H","107.65","447.41","443.53","Course n°1 | Finale A"
"Dimitri Houlier","K1H","109.1","538.24","462.46","Course n°1 | Finale A"
"Guillaume Doutreix","K1H","109.71","362.68","470.42","Course n°1 | Finale A"
"Virgile Bourlet De La Vallee","K1H","113.62","498.97","521.46","Course n°1 | Finale A"
"Charles Moalic","K1H","113.74","-","523.02","Course n°1 | Finale A"
"Thibaut Evrard","K1H","114.52","464.28","533.2","Course n°1 | Finale A"
"Jeansebastien Simonklein","K1H","115.49","545.23","545.87","Course n°1 | Finale A"
"Kevin Tanay","K1H","116.27","594.04","556.05","Course n°1 | Finale A"
"Clement Font-boinel","K1H","116.81","362.14","563.1","Course n°1 | Finale A"
"Thomas Gossieaux","K1H","118.43","636.24","584.24","Course n°1 | Finale A"
"Nicolas Villaume","K1H","118.93","612.44","590.77","Course n°1 | Finale A"
"Niels Beaumont","K1H","120.65","553.12","613.22","Course n°1 | Finale A"
"Hugo Lecointe","K1H","122.24","556.9","633.97","Course n°1 | Finale A"
"Fabien Bonvalet","K1HM","118.96","510.54","591.16","Course n°1 | Finale A"
"Mathis Pomares","K1HM","127.09","786.95","697.28","Course n°1 | Finale A"
"Esteban Olivier","K1HM","130.49","795.5","741.66","Course n°1 | Finale A"
"Justin Collemiche","K1HM","131.11","-","749.75","Course n°1 | Finale A"
"Elias Schieber","K1HM","157.27","1344.61","1091.22","Course n°1 | Finale A"
"Estephe Decarsin","C1H","125.52","667.01","603.77","Course n°1 | Finale B"
"Bertrand Avril","C1H","130.11","605.84","660.82","Course n°1 | Finale B"
"Mathieu Aussant","C1H","131.87","645.35","682.7","Course n°1 | Finale B"
"Kevin Tanay","C1H","133.11","-","698.12","Course n°1 | Finale B"
"Mathias Felix","C1H","135.27","-","724.98","Course n°1 | Finale B"
"Axel Kottelanne","C1H","136.4","768.1","739.03","Course n°1 | Finale B"
"Elie Gerault","C1H","145.43","-","851.28","Course n°1 | Finale B"
"Jess Masson","C1H","149.48","-","901.63","Course n°1 | Finale B"
"Thibaut Evrard","C1H","150.54","705.74","914.8","Course n°1 | Finale B"
"Donatien Lamoureux","C1H","154.99","738","970.13","Course n°1 | Finale B"
"Kevin Langlois","C1H","161.03","-","1045.21","Course n°1 | Finale B"
"Nicolas Villaume","C1H","188.46","-","1386.21","Course n°1 | Finale B"
"Jeansebastien Simonklein","C1H","199.37","-","1521.83","Course n°1 | Finale B"
"Estephe Decarsin-Kevin Tanay","C2H","143.34","-","744.3","Course n°1 | Finale B"
"Nicolas Candieu-Niels Beaumont","C2H","144.8","818.34","761.62","Course n°1 | Finale B"
"Hugo Lecointe-Leo Leveque","C2H","149.11","849.17","812.77","Course n°1 | Finale B"
"Pierre Sotto-Benoit Letellier","C2H","163.37","-","981.98","Course n°1 | Finale B"
"Kevin Langlois-Brice Langlois","C2H","205.08","-","1476.93","Course n°1 | Finale B"
"Melanie Brunet-Nicolas Villaume","C2M","157.3","-","754.4","Course n°1 | Finale B"
"Samuel Bonvalet-Marie Claude Lamoureux","C2M","161.63","835.35","801.51","Course n°1 | Finale B"
"Dante Bourlet De La Vallee-Albertine Binard","C2M","176.46","-","962.82","Course n°1 | Finale B"
"Marion Matura-Pierre Sotto","C2M","190.52","1011.15","1115.76","Course n°1 | Finale B"
"Melanie Brunet","K1D","144.58","820.53","713.47","Course n°1 | Finale B"
"Marion Matura","K1D","146.43","654.48","734.84","Course n°1 | Finale B"
"Albertine Binard","K1D","149.9","914.58","774.92","Course n°1 | Finale B"
"Nathalie Guelton","K1D","162.93","-","925.44","Course n°1 | Finale B"
"Ophelie Lailler","K1D","190.71","-","1246.33","Course n°1 | Finale B"
"Louison Laumondais","K1H","108.58","396.97","460.67","Course n°1 | Finale B"
"Tom Armand","K1H","117.08","688.16","571.62","Course n°1 | Finale B"
"Dante Bourlet De La Vallee","K1H","117.4","561","575.8","Course n°1 | Finale B"
"Kevin Langlois","K1H","121.18","718.87","625.14","Course n°1 | Finale B"
"Jess Masson","K1H","123.81","590.67","659.47","Course n°1 | Finale B"
"Antoine Gossieaux","K1H","125.02","653.92","675.26","Course n°1 | Finale B"
"Jason Leroy","K1H","125.22","802.34","677.87","Course n°1 | Finale B"
"Aurelien Fleurant","K1H","125.27","769.75","678.52","Course n°1 | Finale B"
"Samuel Bonvalet","K1H","128.81","637.05","724.73","Course n°1 | Finale B"
"Geoffroy Lauth","K1H","130.11","683.91","741.7","Course n°1 | Finale B"
"Axel Kottelanne","K1H","130.81","749.52","750.84","Course n°1 | Finale B"
"David Leroy","K1H","132.1","-","767.68","Course n°1 | Finale B"
"Loic Ozeray","K1H","133.24","-","782.56","Course n°1 | Finale B"
"Elie Gerault","K1H","133.43","870.07","785.04","Course n°1 | Finale B"
"Leo Leveque","K1H","134.21","807.4","795.22","Course n°1 | Finale B"
"Brice Langlois","K1H","149.21","-","991.01","Course n°1 | Finale B"
"Loic Perennes","K1H","155.46","-","1072.6","Course n°1 | Finale B"
"Andy Bouleux","K1H","158.33","-","1110.06","Course n°1 | Finale B"
"GrÉgoire Dorchat","K1H","158.46","-","1111.75","Course n°1 | Finale B"
"Mathias Felix","K1H","166.02","-","1210.44","Course n°1 | Finale B"
"Pierre Sotto","K1H","189.74","1622.39","1520.05","Course n°1 | Finale B"
"Leo Tellier","K1HM","138.14","1582.26","846.52","Course n°1 | Finale B"
"Martin Dubus","K1HM","139.99","1709.29","870.66","Course n°1 | Finale B"
"Tom Raynaud","K1HM","145.78","1093.81","946.24","Course n°1 | Finale B"
"Thomas Brunet","K1HM","188.55","991.8","1504.52","Course n°1 | Finale B"
"Tao Lamblin","K1HM","193.65","-","1571.09","Course n°1 | Finale B"
