"Sélectif Régional de Slalom - Saint Remy De La Vanne - Qualification - 2017-11-19","Qualification","2017-11-19","Régional","133"
"Charlotte Chauvey","K1DM","146.1","1167.35","534.56",""
"Julie Dupas","K1DM","147.4","732","547.88",""
"Souhayla Khattabi","K1DM","152.84","808.05","603.63",""
"Lisa Manach","K1DM","153.15","1370.15","606.81",""
"Erin Thibault","K1DM","177.1","-","852.24",""
"Valentine Jussy","K1DM","204.4","781.81","1132",""
"Charlotte Cadet","K1DM","222.52","1795.42","1317.68",""
"Noemie Garreau","K1DM","Abs","-","-",""
"Noe Perreau","K1H","104.76","236.13","250.48",""
"Benoit Chantry","K1H","107.94","146.42","287.31",""
"Andreas Dupuy","K1H","108.8","202.35","297.27",""
"Yohann Senechault","K1H","109.74","267.07","308.15",""
"Romain Huguenin","K1H","110.43","290.69","316.14",""
"Samuel Lhegu","K1H","111.06","170.82","323.44",""
"Nicolas Feuillard","K1H","112.67","186.13","342.08",""
"Jeremie Hepner","K1H","115.51","389.65","374.97",""
"Amaury Brucher","K1H","115.51","359.11","374.97",""
"Jeremy Huguenin","K1H","115.79","355.1","378.21",""
"Melvin Queudeville","K1H","116.18","393.76","382.73",""
"Laurent Rigaud","K1H","117.22","-","394.77",""
"Fabien De Almeida","K1H","117.24","281.24","395",""
"Enzo Claeys","K1H","117.27","434.7","395.35",""
"Francois Durand","K1H","119.39","415.53","419.9",""
"Theo Loury","K1H","119.83","315.9","424.99",""
"Cyprien Dufour","K1H","119.97","517.62","426.61",""
"Florent Bernard","K1H","122.34","369.01","454.06",""
"Matthieu Walfard","K1H","122.73","355.18","458.57",""
"Antoine Pas","K1H","123.34","386.72","465.64",""
"Paul Cascarino","K1H","125.17","502.32","486.83",""
"Eden Quevremont","K1H","128.49","331.46","525.27",""
"Gabriel Benoit","K1H","129.39","635.79","535.69",""
"Leonard Soland","K1H","129.92","638.87","541.83",""
"Gerard Lafargue","K1H","131.17","513.92","556.31",""
"Basile Drapier","K1H","133.31","456.81","581.09",""
"Theo Viallard","K1H","133.92","489.14","588.15",""
"Philippe Valeri","K1H","133.96","551.07","588.61",""
"Philippe Piat","K1H","134.35","501.53","593.13",""
"Noe Vannier","K1H","134.62","561.59","596.26",""
"Yunus Polat","K1H","134.94","966.06","599.96",""
"Adrien Thoumy","K1H","139.01","-","647.09",""
"Nathan Saintobert","K1H","139.88","658.76","657.17",""
"Gilles Lucas","K1H","141.96","575.48","681.25",""
"Alessandro Mosalini","K1H","143.88","-","703.49",""
"Alexis Loiseau","K1H","145.09","-","717.5",""
"Robin Lucas","K1H","145.64","-","723.87",""
"Maxime Kerbrat","K1H","149.41","1765.46","767.52",""
"Francois Vuillermot","K1H","154.02","821.91","820.91",""
"Vincent Delahaye","K1H","158.27","108.05","870.12",""
"Alain Brucher","K1H","164.99","1149.07","947.94",""
"Samuel Gornet","K1H","165.33","936.05","951.87",""
"Pierre Yves Tempier","K1H","165.52","789.73","954.07",""
"Ianis Fleury","K1H","167.7","321.54","979.32",""
"Bruno Brousselle","K1H","169.53","869.48","1000.51",""
"Ganny Dinally","K1H","200.82","-","1362.84",""
"Idriss Kebila","K1H","215.55","2083.24","1533.41",""
"Marc-olivier Dufour","K1H","276.94","1231.92","2244.29",""
"Julien Fougeron","K1H","Abs","-","-",""
"Romain Caupin","K1H","Abs","-","-",""
"Claude Breuzard","K1H","Abs","-","-",""
"Nathan Huguenin","K1HM","128.73","568.09","528.05",""
"Loick Manoury","K1HM","130.78","991.58","551.79",""
"Mathis Piepho","K1HM","131.63","504.96","561.63",""
"Dylan Simon","K1HM","137.28","-","627.06",""
"Leo Dos Santos","K1HM","144.19","1469.11","707.08",""
"Clery Girard","K1HM","147.78","641.02","748.65",""
"Tom Nerenhausen","K1HM","149.02","898.34","763.01",""
"Louis Marvillet","K1HM","154.68","1016.61","828.55",""
"Dimitri Tostain","K1HM","155.61","-","839.32",""
"Axel Girard","K1HM","156.3","1319.99","847.31",""
"Robin Le Mazurier","K1HM","156.32","983.68","847.54",""
"Theo Siguret","K1HM","163.41","2566.49","929.64",""
"Leo Bayard","K1HM","197.74","857.83","1327.17",""
"Erwan Laloux","K1HM","200.84","1728.82","1363.07",""
"Jerome Payen","K1HM","210.67","2648.95","1476.9",""
"Adrien Gaillot","K1HM","226.27","-","1657.55",""
"Mathias Devriese","K1HM","262.82","-","2080.79",""
