"Manche de la Coupe de France National 3 Slalom Sud-Est - 73600 Moutiers Tarentaise - Finale - 2019-04-21","Finale","2019-04-21","Nationale 3","129"
"Julien Signarbieux","K1H","92.63","344.12","335.78","Finale A"
"Cedric Mace","K1H","92.98","330.76","340.8","Finale A"
"Baptiste Duboc","K1H","93.04","414.78","341.66","Finale A"
"Guillaume Belet","K1H","94.26","317.42","359.14","Finale A"
"Gabin Chenal","K1H","94.74","473.05","366.02","Finale A"
"Arthur Talarmain","K1H","94.84","392.96","367.46","Finale A"
"Raphael Massot","K1H","94.9","301.93","368.32","Finale A"
"Nicolas Demofsqui","K1H","95.19","342","372.47","Finale A"
"Olivier Hardonniere","K1H","95.67","389.53","379.35","Finale A"
"Sebastien Lepaulard","K1H","96.2","359.12","386.95","Finale A"
"Erwan Cadio","K1H","96.3","314.85","388.38","Finale A"
"Benjamin Guyon","K1H","96.49","331.48","391.1","Finale A"
"Antonin Castille","K1H","97.55","500.91","406.29","Finale A"
"Pierre-yves Lebreton","K1H","97.77","405.86","409.45","Finale A"
"Yannick Grizaud","K1H","98.37","517.15","418.04","Finale A"
"Leo Parnotte","K1H","99.67","430.39","436.68","Finale A"
"Nicolas Detheve","K1H","99.76","379.14","437.97","Finale A"
"Matis Cote","K1H","99.76","511.09","437.97","Finale A"
"Esteban Reder-issartel","K1H","99.86","470.8","439.4","Finale A"
"Emmanuel Triomphe","K1H","100.23","389.43","444.7","Finale A"
"Jeremy Rouet","K1H","100.36","519.9","446.56","Finale A"
"Basile Monzerian","K1H","101.81","566.55","467.34","Finale A"
"Romain Bourguignon","K1H","101.83","398.14","467.63","Finale A"
"Alexandre Georgel","K1H","102.41","472.73","475.94","Finale A"
"Titouan Sourieau","K1H","103.61","521.88","493.14","Finale A"
"Nicolas Monzerian","K1H","103.85","465.82","496.58","Finale A"
"Mathieu Hayet","K1H","104.31","510.33","503.17","Finale A"
"Baptiste Guillaubez","K1H","104.57","550.12","506.9","Finale A"
"Mathis Borie","K1H","106.3","793.24","531.69","Finale A"
"Arthur Blocquaux","K1H","106.32","526.27","531.98","Finale A"
"Damien Chamblay","K1H","116.39","500.77","676.3","Finale A"
"Daniel Chambert","K1H","117.07","471.8","686.04","Finale A"
"Ugo Zanellato","K1H","143.82","369.36","1069.4","Finale A"
"Zelie Ferraris","C1D","119.41","503.38","439.36","Finale B"
"Eve Vitali-guilbert","C1D","127.57","489.03","536.81","Finale B"
"Iana Gonseth","C1D","199.39","679.37","1394.54","Finale B"
"Cedric Mace","C1H","115.89","487.22","595.03","Finale B"
"Mathieu Hayet","C1H","117.66","710.38","619.2","Finale B"
"Clement Raul","C1H","119.66","799.01","646.5","Finale B"
"Raphael Wiche","C1H","129.51","673.89","780.94","Finale B"
"Gaspard Gonseth","C1H","129.83","747.31","785.31","Finale B"
"Titouan Carbon","C1H","129.91","905.67","786.4","Finale B"
"Tom Fioraso","C1H","132.31","800.03","819.16","Finale B"
"Elie Sutra","C1H","135.11","872.1","857.37","Finale B"
"Teo Touzet","C1H","136.11","847.55","871.03","Finale B"
"Axel Brossat","C1H","141.53","806.26","944.99","Finale B"
"Etienne Wiche-Benjamin Guyon","C2H","114.75","576.78","508.29","Finale B"
"Sacha Caron-Emilien Charrier","C2H","176.85","1241.58","1317.36","Finale B"
"Titouan Sourieau-Jules Sourieau","C2H","181.07","679.28","1372.34","Finale B"
"Lucie Adisson","K1D","118.57","818.94","517.04","Finale B"
"Merieme Bekkadour","K1D","118.57","514.01","517.04","Finale B"
"Emma Fauriel","K1D","122.42","649.89","565.87","Finale B"
"Clarisse Feramus","K1D","127.32","641.19","628.03","Finale B"
"Juliette Ribault","K1D","133.71","627.51","709.05","Finale B"
"Daphnee Guyard","K1D","141.73","825.05","810.78","Finale B"
"Valerie Lassausse","K1D","143.4","715.7","831.96","Finale B"
"Marguerite Mathey","K1D","171.47","719.06","1187.95","Finale B"
"Fantine Hortolan","K1D","186.7","622.65","1381.11","Finale B"
"Theo Brun","K1H","91.33","335.82","322.15","Finale B"
"Mohamed Saœd Bekkadour","K1H","95.06","334.35","375.61","Finale B"
"Thibaud Chovin","K1H","102.34","500.63","479.94","Finale B"
"Joao Normand","K1H","104.17","518.2","506.17","Finale B"
"Maxime Pilard","K1H","106.6","573.04","540.99","Finale B"
"Philippe Lelieur","K1H","107.21","529.36","549.73","Finale B"
"Jean-marc Suarez","K1H","108.25","646.22","564.64","Finale B"
"Gaspard Gonseth","K1H","108.49","588.67","568.08","Finale B"
"Laurent Brossat","K1H","108.7","532.48","571.09","Finale B"
"Erwann Buthod","K1H","108.9","390.33","573.95","Finale B"
"Sacha Caron","K1H","109.32","633.1","579.97","Finale B"
"Tom Fioraso","K1H","109.68","720.05","585.13","Finale B"
"Maxence Violy","K1H","109.76","827.79","586.28","Finale B"
"Tom Ollinet","K1H","110.12","579.18","591.44","Finale B"
"Elie Sutra","K1H","110.29","568.68","593.87","Finale B"
"Lucas Mancuso","K1H","110.63","676.97","598.75","Finale B"
"Jules Sourieau","K1H","111.81","567.47","615.66","Finale B"
"Matthieu Fontanez","K1H","111.91","609.77","617.09","Finale B"
"Guillaume Mele","K1H","112.46","836.55","624.97","Finale B"
"Axel Brossat","K1H","114.03","602.83","647.47","Finale B"
"Teo Touzet","K1H","114.48","741.48","653.92","Finale B"
"Alistair Storrar","K1H","114.81","876.69","658.65","Finale B"
"Clement Raul","K1H","117.67","684.35","699.64","Finale B"
"Francisco Lafarga","K1H","118.24","1663.83","707.81","Finale B"
"Gilles Lovera","K1H","119.05","538.55","719.42","Finale B"
"Emerick Billon","K1H","119.24","412.3","722.14","Finale B"
"Emilien Charrier","K1H","121.99","763.94","761.55","Finale B"
"Rafael Parnotte","K1H","123.35","857.33","781.04","Finale B"
"Antoine Raul","K1H","125.75","863.68","815.44","Finale B"
"Stephane Verdier","K1H","126.38","828.97","824.47","Finale B"
"Anicet Morel","K1H","128.03","1059.18","848.11","Finale B"
"Jules Roussel","K1H","131.54","867.81","898.41","Finale B"
"Victorien Pittion","K1H","135.93","839.26","961.33","Finale B"
"Clement Blancgras","K1H","156.07","748.84","1249.96","Finale B"
"Ga l Bonnot","K1H","162.36","914.07","1340.11","Finale B"
"Loris Allamachere","K1H","170.12","734.89","1451.32","Finale B"
"Clement Innocenti","K1H","187.37","781.51","1698.53","Finale B"
