"Slalom Régional - Picquigny - 2011-09-18","Course 2","2011-09-18","Régional","186"
"Romain Bove","C1H","Nt","-","-",""
"Justine Cougnet-Celine Roulot","C2D","238.15","613.72","1156.37",""
"Mathieu Dutendas-Thibaud Vielliard","C2H","115.39","-","219.92",""
"Quentin Bove-Romain Di Majo","C2H","121.56","227.88","281.27",""
"Benjamin Soroka-Edouard Gracias","C2H","127.84","265.47","343.71",""
"Frederic Momot-Matthieu Walfard","C2H","143.73","432.14","501.71",""
"Tom Barthelemy-Corentin Robin","C2H","150.15","-","565.54",""
"Adrien Herbert-Antoine Riard","C2H","152.71","434.24","590.99",""
"Pierre-yves Bernard-Charles Dampeyrou","C2H","157.47","-","638.32",""
"Alexis Averlant-Maxime Poupart","C2H","164.43","1452.51","707.52",""
"Romain Bertrand-Ludovic Ngo","C2H","167.08","-","733.87",""
"Louis Vandeville-Martin Rohaut","C2H","174.67","-","809.34",""
"Sebastien Paigneau-Clement Gangnon","C2H","203.65","-","1097.48",""
"Laurent Dheilly-Philippe Vermersch","C2H","222.52","-","1285.11",""
"Quentin Bove-Emmanuelle Delrue","C2M","122.11","217.78","204.42",""
"Anthony Thuillier-Camille Andrieux","C2M","132.34","-","299.25",""
"Romain Bove-Flora Bove","C2M","142.86","-","396.75",""
"Guillaume Doutreix-Marion Laurain","C2M","143.33","-","401.1",""
"Teddy Poulard-Alize Bachelot","C2M","151.88","421.32","480.36",""
"Emma Maujean-Louis Savart","C2M","160.33","-","558.68",""
"Mathilde Bouquin-Quentin Moreaux","C2M","165.53","-","606.88",""
"Agnes Gigan-Thibault Dhennin","C2M","170.51","652.53","653.03",""
"Claire Gaigeot","K1D","113.49","194.08","171.07",""
"Juliette Legendre","K1D","115.39","159.7","189.46",""
"Anne Sophie Le Bailly","K1D","115.47","-","190.23",""
"Camille Andrieux","K1D","115.52","172.38","190.72",""
"Berangere Baudart","K1D","116.3","148.68","198.26",""
"Marion Laurain","K1D","117.07","168.05","205.72",""
"Flora Bove","K1D","117.97","51.46","214.43",""
"Lea Gaigeot","K1D","119.18","199.48","226.14",""
"Lea Tobo","K1D","119.59","225.09","230.11",""
"Emeline Oudet","K1D","122.52","188.52","258.47",""
"Justine Traversa","K1D","130.88","288.88","339.39",""
"Juliette Pitrey","K1D","131.76","300.97","347.91",""
"Marianne Herault","K1D","132.87","298.43","358.65",""
"Celine Roulot","K1D","134.18","308.72","371.32",""
"Emma Maujean","K1D","134.28","299.66","372.3",""
"Justine Cougnet","K1D","134.73","291.35","376.65",""
"Alize Bachelot","K1D","135.61","255.98","385.17",""
"Emmanuelle Delrue","K1D","141.25","768.78","439.76",""
"Lisa Robin","K1D","143.07","-","457.38",""
"Mathilde Bouquin","K1D","144.81","-","474.21",""
"Elise Rousseau","K1D","146.47","388.21","490.28",""
"Julia Malphettes","K1D","158.32","-","604.98",""
"Natacha Giraud","K1D","161.81","-","638.76",""
"Laetitia Jauvert","K1D","181.89","-","833.12",""
"Agnes Gigan","K1D","194.52","1139.3","955.36",""
"Louise Muller","K1D","224.43","-","1244.86",""
"Maryse Viseur","K1D","238.39","483.27","1379.98",""
"Lea Cuasante","K1D","292.26","-","1901.38",""
"Laurene Cougnet","K1D","Nt","-","-",""
"Emile Devaux","K1H","95.34","-","115.36",""
"Quentin Bove","K1H","96.1","18.96","123.67",""
"Romain Bove","K1H","98.7","124.77","152.11",""
"Anthony Thuillier","K1H","99.73","114.14","163.37",""
"Quentin Moreaux","K1H","100.01","161","166.44",""
"Vincent Ablin","K1H","101.69","144.57","184.81",""
"Romain Bertrand","K1H","101.94","166.89","187.54",""
"Benoit Chantry","K1H","103.16","78.22","200.89",""
"Tristan Lejot","K1H","103.9","159.57","208.98",""
"Clement Travert","K1H","104.7","-","217.73",""
"Mikael Maupin","K1H","104.81","-","218.93",""
"Guillaume Doutreix","K1H","105.38","194.75","225.17",""
"Julien Antide","K1H","105.62","-","227.79",""
"Pierre Dampeyrou","K1H","105.94","262.51","231.29",""
"Romain Di Majo","K1H","106.67","294.15","239.28",""
"Luc Wojtasiak","K1H","106.94","252.53","242.23",""
"Tom Barthelemy","K1H","108.58","227.88","260.17",""
"Francois Palant","K1H","109.19","247.87","266.84",""
"Mathieu Dutendas","K1H","109.68","320.95","272.2",""
"Mathurin Madore","K1H","109.9","244.45","274.6",""
"Franck Dessaint","K1H","110.46","-","280.73",""
"Gaspard Gindt","K1H","110.59","213.54","282.15",""
"Jeremy Boisgibault","K1H","111.04","-","287.07",""
"Louis Savart","K1H","111.82","291.2","295.6",""
"Maxime Poupart","K1H","111.92","300.21","296.7",""
"Simon Bernard","K1H","112.14","336.49","299.1",""
"Benjamin Soroka","K1H","112.47","274.01","302.71",""
"Florent Rambaud","K1H","113.02","308.05","308.73",""
"Robin Pilard","K1H","113.1","312.16","309.6",""
"Edouard Gracias","K1H","113.28","278.01","311.57",""
"Yohan Marck","K1H","116.3","308.99","344.6",""
"Bastien Meslet","K1H","116.35","328.62","345.15",""
"Thibault Dhennin","K1H","116.76","320.5","349.63",""
"Corentin Robin","K1H","116.96","213.36","351.82",""
"Benjamin Fourmet","K1H","117.93","-","362.43",""
"Robin Dheilly","K1H","118.33","417.35","366.81",""
"Alexis Averlant","K1H","118.71","385.62","370.96",""
"Johann Beldame","K1H","118.97","398.34","373.81",""
"Clement Sannier","K1H","120.32","336.95","388.57",""
"Alban Duboc","K1H","120.37","419.92","389.12",""
"Tristan Mignard","K1H","120.93","452.26","395.24",""
"Dylan Garin","K1H","121.51","-","401.59",""
"Laurent Dupuis","K1H","121.6","321.72","402.57",""
"Jules Guilbaud","K1H","121.81","-","404.87",""
"Yoann Nurit","K1H","122.03","323.9","407.27",""
"Philippe Valeri","K1H","123.43","334.56","422.59",""
"Louis Vandeville","K1H","123.86","-","427.29",""
"Joe Cook","K1H","124.01","458.95","428.93",""
"Alexandre Tison","K1H","124.1","651.91","429.91",""
"Maxime Pilard","K1H","125.66","462.73","446.98",""
"Aymeric Dollat","K1H","126.52","-","456.38",""
"Salim Raye","K1H","128.16","430.09","474.32",""
"Ludovic Ngo","K1H","128.97","536.17","483.18",""
"Benoit Le Mazurier","K1H","130.84","414.85","503.63",""
"Anthony Codemo","K1H","131.83","-","514.46",""
"Johann Sacleux","K1H","131.85","401.06","514.68",""
"Louis Heroguer","K1H","132.5","-","521.79",""
"Jean Rassez","K1H","133.56","438.1","533.38",""
"Loic Durand","K1H","134.25","500.36","540.93",""
"Adrien Barlier","K1H","134.76","424.92","546.5",""
"Josselin Laurain","K1H","135.56","-","555.25",""
"Arthur Barrachin","K1H","138.31","655.71","585.33",""
"Eric Bernard","K1H","143.25","580.95","639.36",""
"Marvin Tinchon","K1H","143.97","565.51","647.24",""
"Clement Pinard","K1H","151.15","-","725.77",""
"Benjamin Alexandre","K1H","154.67","-","764.27",""
"Pascal Andrieux","K1H","156.03","545.8","779.14",""
"Teddy Poulard","K1H","159.82","238.4","820.59",""
"Antoine Petit","K1H","161.07","684.55","834.26",""
"Yann Castryck- -genereux","K1H","162.31","-","847.83",""
"Melvin Deneux","K1H","169.28","-","924.06",""
"Paul Beteille","K1H","172.01","-","953.92",""
"Gaetan Laperle","K1H","176.99","-","1008.39",""
"Brice Dejonghe","K1H","188.72","-","1136.68",""
"Benjamin Dubert","K1H","189.53","419.2","1145.54",""
"Clement Gangnon","K1H","196.33","-","1219.91",""
"Batiste Morin","K1H","201.59","-","1277.44",""
"Clement Deneux","K1H","247.33","-","1777.71",""
"Clement Jacqueline","K1H","269.06","-","2015.38",""
"Andreas Pintaux","K1H","319.46","-","2566.62",""
"Pierre Ferrand","K1H","363.68","-","3050.26",""
"Olivier Alexandre","K1H","Nt","-","-",""
"Pierre Carton","K1H","Nt","-","-",""
"Wally Sahraoui","K1H","Nt","-","-",""
"Alban Petit","K1H","Nt","-","-",""
"Romain Denoeuveglise","K1H","Nt","-","-",""
"Gaetan Dheilly","K1H","Nt","-","-",""
"Yoann Hautecloche","K1H","Nt","-","-",""
"Bastien Damiens","K1H","Nt","-","-",""
