"SELECTION REGIONALE 1 - Lochrist - 2005-11-13","Course 1","2005-11-13","Régional","172"
"Josepha Longa","K1D","247.52","306","400",""
"Camille Gil","K1D","255.33","680","445",""
"Chloe Le Clezio","K1D","255.51","-","446",""
"Laetitia Odermatt","K1D","259.27","320","468",""
"Claire Pichon","K1D","262.57","458","487",""
"Julie Quesne","K1D","264.54","384","498",""
"Ferec Caroline","K1D","265.36","433","503",""
"Collet Aurore","K1D","279.79","-","586",""
"Aziliz Le Paih","K1D","281.04","431","593",""
"Sabri Myriam","K1D","283.81","433","609",""
"Charlene Le Corvaisier","K1D","292.33","400","659",""
"Bertho Laura","K1D","294.35","474","670",""
"Maud Sevaux","K1D","294.73","-","673",""
"Lucie Saucet","K1D","297.23","-","687",""
"Barbara Cavyn","K1D","321.89","-","829",""
"Chevalier Yvane","K1D","325.04","501","847",""
"Le Rouzic Charlotte","K1D","401.88","-","1290",""
"Hoellard Sabrina","K1D","589.50","871","2372",""
"Le Gal Emeline","K1D","731.66","-","3191",""
"Roger Jeremie","K1H","171.87","64","92",""
"Benoit Guillaume","K1H","172.35","69","96",""
"Mathieu Le Gal","K1H","175.37","88","116",""
"Adrien Ferec","K1H","176.50","102","123",""
"Laurent Le Touze","K1H","177.63","100","130",""
"Matthieu Le Gall","K1H","177.83","35","131",""
"Vivien Colober","K1H","178.26","205","135",""
"Erwan Cadio","K1H","178.39","99","136",""
"Pierre Marie Roussel","K1H","179.61","154","143",""
"Jerome Le Hegarat","K1H","179.72","186","144",""
"Thomas Masuy","K1H","180.14","94","146",""
"Julien Dosse","K1H","180.28","129","147",""
"Riwal Le Berre","K1H","180.46","141","148",""
"Nicolas Veillard","K1H","180.61","93","149",""
"Lionel Tinevez","K1H","181.18","176","154",""
"Franck Delachair","K1H","183.23","187","167",""
"Frederic Castryck","K1H","184.81","281","177",""
"Emeric Bertrand","K1H","184.84","-","177",""
"Guigo Luc","K1H","185.49","171","181",""
"Simon Despres","K1H","185.66","129","182",""
"Regnier Jeanmichel","K1H","186.35","234","187",""
"Emmanuel Cosse","K1H","186.95","224","191",""
"Fontaine Damien","K1H","187.11","140","192",""
"Brieuc Cadic","K1H","187.38","210","194",""
"Guillaume Huppert","K1H","187.58","317","195",""
"Christophe Le Mercier","K1H","187.84","195","197",""
"Tirel Paul","K1H","188.92","282","204",""
"Vincent Gourmel","K1H","189.30","215","206",""
"Laurent Rigaud","K1H","190.03","124","211",""
"Berthe Christophe","K1H","190.19","170","212",""
"Alain Droniou","K1H","192.22","233","226",""
"Anthony Cadoret","K1H","192.99","186","231",""
"Erwan Le Pen","K1H","193.04","187","231",""
"Reveillere Pierrick","K1H","193.40","258","233",""
"Joris Rocher","K1H","193.84","256","236",""
"Francois Adam","K1H","193.87","456","236",""
"Nicolas Carduner","K1H","194.12","192","238",""
"Gouello Jeremy","K1H","194.65","-","241",""
"Valentin Brindeau","K1H","194.96","261","243",""
"Kevin Gouabault","K1H","195.24","171","246",""
"Gwenael Marquer","K1H","195.36","232","246",""
"Manuel Coquelin","K1H","196.88","235","256",""
"Patrick Jegou","K1H","197.32","282","258",""
"Le Bouder Emilien","K1H","198.16","-","265",""
"Gardan Benjamin","K1H","198.88","272","269",""
"Regis Cabel","K1H","198.90","269","269",""
"Laurent Van Poucke","K1H","199.82","240","275",""
"Pierre-yves Lebreton","K1H","203.69","335","301",""
"Jean Yves Prigent","K1H","204.47","273","305",""
"Boris Pernelle","K1H","205.12","-","309",""
"Solen Le Bourles","K1H","206.32","344","317",""
"Romain Guyomard","K1H","207.80","213","327",""
"Beyou Vincent","K1H","208.28","460","330",""
"Rossignol Yves","K1H","210.04","315","342",""
"Le Troadec Brendan","K1H","210.67","-","346",""
"Chaumier Florian","K1H","211.52","340","351",""
"David Despierres","K1H","211.58","322","351",""
"Hugo Cailhol","K1H","211.79","273","353",""
"Corbeau Benjamin","K1H","211.90","323","353",""
"Debray Damien","K1H","213.37","320","363",""
"Charles Kerbellec","K1H","214.78","335","372",""
"Romain Richard","K1H","214.93","269","373",""
"Fabien Le Nechet","K1H","215.30","292","376",""
"Jacques Despierres","K1H","216.32","-","382",""
"Paul Fievet","K1H","217.89","361","392",""
"Melaine Caurant","K1H","221.17","395","414",""
"Guyomard Julien","K1H","225.35","364","441",""
"Le Pesquer Yann","K1H","225.92","229","445",""
"Melen Pilorge","K1H","227.07","396","453",""
"Croizer Brendan","K1H","228.55","-","462",""
"Yann Le Govic","K1H","229.23","-","466",""
"Froger Alexandre","K1H","234.44","415","500",""
"Ronan Gestin","K1H","235.65","479","509",""
"Chevallier Clément","K1H","236.28","376","513",""
"William Desnos","K1H","237.10","-","518",""
"Houel Nicolas","K1H","238.61","405","528",""
"Fabien Le Bourser","K1H","240.40","344","539",""
"Lefeuvre Kevin","K1H","240.42","494","539",""
"Cachau Heneillat Emmanuel","K1H","241.60","558","547",""
"Adrien Alusse","K1H","249.93","-","602",""
"Jeremy Froger","K1H","253.96","267","628",""
"Florian Lepretre","K1H","255.30","503","637",""
"Romain Fraisse","K1H","259.50","291","664",""
"Martin Fabien","K1H","267.27","-","715",""
"Pierre Yves Tanguy","K1H","268.62","305","723",""
"Ollivier Riwal","K1H","279.83","-","796",""
"Tristan Bronsard","K1H","280.32","-","799",""
"Pigeon Alan","K1H","282.13","-","811",""
"Vincent Lemonnier","K1H","292.08","-","876",""
"Hugo Le Guennic","K1H","314.78","-","1023",""
"Blayo Fabien","K1H","324.76","725","1089",""
"Justome Kevin","K1H","346.28","849","1229",""
