"coupe de lorraine manche 1 - Grosbliederstroff - Finale - 2016-09-18","Finale","2016-09-18","Régional","124"
"Audren Schiel","K1H","110.75","462.3","479.14","Finale A"
"Louis Sibille","K1H","114.9","507.7","534.03","Finale A"
"Loric Bertrand Delorme","K1H","126.36","432.97","685.62","Finale A"
"Mathieu Deloffre","K1H","127.6","-","702.03","Finale A"
"Etienne Rougeron","K1H","132.98","750.22","773.19","Finale A"
"Vincent Idriss Achaoui","K1H","156.51","414.53","1084.44","Finale A"
"Jules Vonderscher","K1H","166.63","-","1218.31","Finale A"
"Yann Becker","K1H","169.43","333.39","1255.35","Finale A"
"Jean Charles Hacquart","K1HM","97.91","301.97","309.29","Finale A"
"Loic Petel","K1HM","103.96","457.6","389.32","Finale A"
"Leo Collard","K1HM","117.22","-","564.72","Finale A"
"Vivien Stemmelen","K1HM","120.44","642.22","607.32","Finale A"
"Danil Buneev","K1HM","125.92","1042.41","679.8","Finale A"
"Antoine Paumier","K1HM","128.31","-","711.42","Finale A"
"Jules Latimier","K1HM","137.74","568.55","836.16","Finale A"
"Jeanne Bernard","C1D","147.44","1122.65","644.42","Finale B"
"Margot Perrin","C1D","Abd","-","-","Finale B"
"Agathe Caillet","C1DM","Abd","-","-","Finale B"
"Nicolas Gallais","C1H","136.96","687.02","744.57","Finale B"
"Maxime Aubertin","C1H","142.99","-","820.54","Finale B"
"Anthony Rouhier","C1H","146.43","729.6","863.87","Finale B"
"Bastien Delaubier","C1H","148.98","-","896","Finale B"
"Alexis Sevrez","C1H","155.94","-","983.67","Finale B"
"Constant Jeandon","C1HM","177.44","-","1254.53","Finale B"
"Hugo Humbrecht","C1HM","180.12","-","1288.3","Finale B"
"Danil Buneev","C1HM","185.58","-","1357.08","Finale B"
"Clementine Gegout-Nolwenn Schupp","C2D","439.64","-","3492.61","Finale B"
"Yann Becker-Vincent Idriss Achaoui","C2H","151.12","697.52","836.42","Finale B"
"Justine Clerc","K1D","119.75","406.76","420.95","Finale B"
"Maurine Laugel","K1D","133.47","533.85","581.56","Finale B"
"Clementine Gegout","K1D","156.14","-","846.94","Finale B"
"Nolwenn Schupp","K1D","362.1","-","3257.91","Finale B"
"Mylene Guilcher","K1DM","132.22","590.97","566.93","Finale B"
"Elise Nicot","K1DM","140.41","-","662.81","Finale B"
"Melissa Martinez","K1DM","160.26","-","895.17","Finale B"
"AnaË Bir","K1DM","202.87","-","1393.96","Finale B"
"Pauline Del Degan","K1DM","214.35","-","1528.34","Finale B"
"Philippe Potier","K1H","112.32","479.03","504.91","Finale B"
"Nicolas Gallais","K1H","114.27","505.08","530.7","Finale B"
"Bastien Delaubier","K1H","117.21","821.87","569.59","Finale B"
"Quentin Decotte","K1H","119.53","670.64","600.28","Finale B"
"Alexandre L'huillier","K1H","120","581.48","606.5","Finale B"
"Louis Gasser","K1H","122.48","698.94","639.3","Finale B"
"Jules Andrien","K1H","123.6","420.62","654.12","Finale B"
"Bastien Caillet","K1H","123.84","513.2","657.29","Finale B"
"Michel Bert","K1H","124.86","800.26","670.78","Finale B"
"Bertrand Bourguignon","K1H","126.41","-","691.29","Finale B"
"Alexis Sevrez","K1H","144.16","902.46","926.08","Finale B"
"Benjamin Gerondi","K1H","144.49","1264.95","930.45","Finale B"
"Fabian Huwig","K1H","146.2","-","953.06","Finale B"
"Quentin Decker","K1H","178.35","-","1378.34","Finale B"
"Stephane Cassin","K1H","191.77","1457.65","1555.86","Finale B"
"Stanislas Ledore","K1HM","129.82","857.64","736.39","Finale B"
"Constant Jeandon","K1HM","133.55","733.07","785.73","Finale B"
"Tanguy Malingre","K1HM","133.69","743.85","787.58","Finale B"
"Theophile Didierjean","K1HM","141.43","894.33","889.97","Finale B"
"Martin Francois","K1HM","144.59","-","931.77","Finale B"
"Hugo Humbrecht","K1HM","145.36","890.66","941.95","Finale B"
"Gregoire Rozain","K1HM","155.3","-","1073.44","Finale B"
